E,I32,I12,Ibg,Itot
699.435000,0.012792,0.000000,0.000000,0.011000
699.602559,0.013191,0.000023,0.000000,0.011423
699.770117,0.013607,0.000047,0.000000,0.011864
699.937676,0.014041,0.000071,0.000000,0.012322
700.105234,0.014492,0.000096,0.000000,0.012799
700.272793,0.014963,0.000121,0.000000,0.013296
700.440351,0.015455,0.000146,0.000000,0.013814
700.607910,0.015969,0.000172,0.000000,0.014355
700.775468,0.016506,0.000199,0.000000,0.014919
700.943027,0.017067,0.000226,0.000000,0.015509
701.110585,0.017655,0.000253,0.000000,0.016125
701.278144,0.018271,0.000282,0.000000,0.016770
701.445702,0.018916,0.000310,0.000000,0.017446
701.613261,0.019594,0.000340,0.000000,0.018154
701.780819,0.020306,0.000369,0.000000,0.018897
701.948378,0.021054,0.000400,0.000000,0.019677
702.115936,0.021842,0.000431,0.000000,0.020497
702.283495,0.022671,0.000463,0.000000,0.021360
702.451054,0.023546,0.000495,0.000000,0.022269
702.618612,0.024470,0.000528,0.000000,0.023228
702.786171,0.025446,0.000562,0.000000,0.024240
702.953729,0.026479,0.000596,0.000000,0.025310
703.121288,0.027574,0.000632,0.000000,0.026442
703.288846,0.028736,0.000668,0.000000,0.027641
703.456405,0.029970,0.000704,0.000000,0.028914
703.623963,0.031282,0.000742,0.000000,0.030267
703.791522,0.032681,0.000780,0.000000,0.031707
703.959080,0.034174,0.000820,0.000000,0.033242
704.126639,0.035770,0.000860,0.000000,0.034881
704.294197,0.037479,0.000901,0.000000,0.036634
704.461756,0.039313,0.000943,0.000000,0.038513
704.629314,0.041284,0.000986,0.000000,0.040531
704.796873,0.043408,0.001029,0.000000,0.042702
704.964431,0.045700,0.001074,0.000000,0.045044
705.131990,0.048181,0.001120,0.000000,0.047575
705.299548,0.050872,0.001168,0.000000,0.050318
705.467107,0.053798,0.001216,0.000000,0.053298
705.634666,0.056990,0.001265,0.000000,0.056545
705.802224,0.060482,0.001316,0.000000,0.060094
705.969783,0.064314,0.001368,0.000000,0.063985
706.137341,0.068533,0.001421,0.000000,0.068265
706.304900,0.073196,0.001475,0.000000,0.072991
706.472458,0.078369,0.001531,0.000000,0.078230
706.640017,0.084133,0.001588,0.000000,0.084061
706.807575,0.090583,0.001647,0.000000,0.090582
706.975134,0.097837,0.001707,0.000000,0.097909
707.142692,0.106036,0.001769,0.000000,0.106185
707.310251,0.115353,0.001832,0.000000,0.115583
707.477809,0.126002,0.001898,0.000000,0.126317
707.645368,0.138246,0.001965,0.000000,0.138649
707.812926,0.152405,0.002033,0.000000,0.152903
707.980485,0.168874,0.002104,0.000000,0.169472
708.148043,0.188128,0.002176,0.000000,0.188834
708.315602,0.210734,0.002251,0.000000,0.211556
708.483161,0.237344,0.002328,0.000000,0.238292
708.650719,0.268684,0.002407,0.000000,0.269767
708.818278,0.305505,0.002488,0.000000,0.306737
708.985836,0.348513,0.002571,0.000000,0.349906
709.153395,0.398247,0.002658,0.000000,0.399817
709.320953,0.454930,0.002746,0.000000,0.456691
709.488512,0.518273,0.002837,0.000000,0.520241
709.656070,0.587300,0.002931,0.000000,0.589487
709.823629,0.660196,0.003028,0.000000,0.662613
709.991187,0.734263,0.003128,0.000000,0.736915
710.158746,0.806007,0.003232,0.000000,0.808892
710.326304,0.871405,0.003338,0.000000,0.874516
710.493863,0.926323,0.003448,0.000000,0.929643
710.661421,0.967042,0.003561,0.000000,0.970550
710.828980,0.990795,0.003679,0.000000,0.994464
710.996538,0.996200,0.003800,0.000000,1.000000
