Edup,Idup,Eddn,Iddn,Epup,Ipup,Epdn,Ipdn,Eoctup,Ioctup,Eoctdn,Ioctdn
-18.274000,0.011978,-16.046000,-0.001089,-15.696000,0.001211,-8.221000,-1.881266,-6.790000,1.000000,-6.790000,-1.000000
-16.508000,0.023746,-16.026000,-0.000806,-13.638000,0.002164,-7.916000,-2.915757,-5.967000,3.000000,-5.967000,-3.000000
-15.696000,0.043219,-14.133000,-0.000841,-13.479000,0.003884,1.426000,-0.083917,-4.710000,3.000000,-4.710000,-3.000000
-14.948000,0.058981,-13.841000,-0.000369,-12.025000,0.007857,3.116000,-0.118051,-4.623000,3.000000,-4.623000,-3.000000
-14.401000,0.002937,-8.221000,-0.116970,-11.277000,0.009877,12.847000,-0.000116,-4.255000,3.000000,-4.255000,-3.000000
-13.973000,0.012152,-7.916000,-0.082760,-10.429000,0.055488,14.514000,-0.000368,,,,
-13.638000,0.051748,1.426000,-2.813257,-8.970000,0.021617,14.741000,-0.000184,,,,
-13.479000,0.325785,3.116000,-1.821558,-8.026000,0.030879,16.288000,-0.000197,,,,
-13.214000,0.013911,12.847000,-0.034479,-7.633000,0.048195,,,,,,
-12.595000,0.027502,14.514000,-0.036273,-6.737000,0.055522,,,,,,
-12.233000,0.002789,14.741000,-0.067486,-6.325000,0.215710,,,,,,
-12.025000,0.465850,16.288000,-0.023285,-5.804000,0.638524,,,,,,
-11.277000,0.131395,,,-4.054000,2.701380,,,,,,
-10.533000,0.002659,,,-3.000000,1.205413,,,,,,
-10.429000,0.568388,,,,,,,,,,
-8.970000,0.464633,,,,,,,,,,
-8.026000,0.115733,,,,,,,,,,
-7.633000,0.523099,,,,,,,,,,
-6.737000,0.087787,,,,,,,,,,
-6.325000,0.848371,,,,,,,,,,
-5.804000,0.375446,,,,,,,,,,
-4.054000,0.234731,,,,,,,,,,
-3.000000,0.606351,,,,,,,,,,
