E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-12.000000,0.424073,-0.000000,0.013405,-0.009723,0.008376,-0.008376,0.445854,-0.018099
-11.919732,0.423317,-0.000042,0.014195,-0.010168,0.008630,-0.008630,0.446142,-0.018840
-11.839465,0.415925,-0.000087,0.014985,-0.010643,0.008894,-0.008894,0.439803,-0.019623
-11.759197,0.403246,-0.000134,0.015803,-0.011151,0.009168,-0.009168,0.428217,-0.020454
-11.678930,0.387135,-0.000184,0.016686,-0.011696,0.009455,-0.009455,0.413276,-0.021334
-11.598662,0.369701,-0.000237,0.017680,-0.012280,0.009753,-0.009753,0.397135,-0.022270
-11.518395,0.353077,-0.000292,0.018834,-0.012908,0.010064,-0.010064,0.381975,-0.023265
-11.438127,0.339209,-0.000351,0.020200,-0.013585,0.010389,-0.010389,0.369797,-0.024326
-11.357860,0.329716,-0.000414,0.021831,-0.014316,0.010728,-0.010728,0.362275,-0.025459
-11.277592,0.325792,-0.000481,0.023780,-0.015107,0.011083,-0.011083,0.360655,-0.026671
-11.197324,0.328145,-0.000553,0.026083,-0.015965,0.011454,-0.011454,0.365682,-0.027972
-11.117057,0.336947,-0.000630,0.028755,-0.016897,0.011843,-0.011843,0.377545,-0.029370
-11.036789,0.351794,-0.000712,0.031776,-0.017914,0.012250,-0.012250,0.395819,-0.030876
-10.956522,0.371679,-0.000801,0.035072,-0.019026,0.012677,-0.012677,0.419428,-0.032504
-10.876254,0.395000,-0.000897,0.038515,-0.020245,0.013126,-0.013126,0.446641,-0.034268
-10.795987,0.419630,-0.001001,0.041923,-0.021587,0.013598,-0.013598,0.475151,-0.036186
-10.715719,0.443081,-0.001114,0.045068,-0.023071,0.014095,-0.014095,0.502244,-0.038279
-10.635452,0.462754,-0.001238,0.047708,-0.024716,0.014618,-0.014618,0.525079,-0.040573
-10.555184,0.476251,-0.001375,0.049612,-0.026551,0.015170,-0.015170,0.541033,-0.043096
-10.474916,0.481714,-0.001527,0.050601,-0.028607,0.015754,-0.015754,0.548070,-0.045887
-10.394649,0.478113,-0.001695,0.050574,-0.030925,0.016372,-0.016372,0.545059,-0.048993
-10.314381,0.465429,-0.001885,0.049528,-0.033559,0.017027,-0.017027,0.531984,-0.052471
-10.234114,0.444697,-0.002100,0.047566,-0.036577,0.017723,-0.017723,0.509985,-0.056400
-10.153846,0.417892,-0.002346,0.044879,-0.040073,0.018464,-0.018464,0.481234,-0.060883
-10.073579,0.387678,-0.002632,0.041726,-0.044176,0.019254,-0.019254,0.448658,-0.066062
-9.993311,0.357074,-0.002970,0.038397,-0.049068,0.020100,-0.020100,0.415572,-0.072139
-9.913043,0.329079,-0.003375,0.035180,-0.055017,0.021009,-0.021009,0.385268,-0.079400
-9.832776,0.306328,-0.003870,0.032324,-0.062408,0.021989,-0.021989,0.360641,-0.088267
-9.752508,0.290813,-0.004489,0.030023,-0.071814,0.023050,-0.023050,0.343886,-0.099352
-9.672241,0.283687,-0.005276,0.028396,-0.084065,0.024205,-0.024205,0.336289,-0.113547
-9.591973,0.285181,-0.006296,0.027488,-0.100359,0.025472,-0.025472,0.338142,-0.132128
-9.511706,0.294606,-0.007634,0.027276,-0.122380,0.026872,-0.026872,0.348754,-0.156886
-9.431438,0.310458,-0.009401,0.027680,-0.152430,0.028431,-0.028431,0.366569,-0.190262
-9.351171,0.330602,-0.011738,0.028583,-0.193541,0.030185,-0.030185,0.389371,-0.235465
-9.270903,0.352528,-0.014811,0.029849,-0.249545,0.032180,-0.032180,0.414557,-0.296536
-9.190635,0.373654,-0.018808,0.031347,-0.325032,0.034472,-0.034472,0.439473,-0.378312
-9.110368,0.391657,-0.023924,0.032965,-0.425164,0.037137,-0.037137,0.461759,-0.486225
-9.030100,0.404769,-0.030338,0.034633,-0.555286,0.040269,-0.040269,0.479670,-0.625892
-8.949833,0.412024,-0.038180,0.036327,-0.720306,0.043984,-0.043984,0.492335,-0.802470
-8.869565,0.413379,-0.047502,0.038076,-0.923859,0.048430,-0.048430,0.499885,-1.019791
-8.789298,0.409719,-0.058235,0.039954,-1.167324,0.053786,-0.053786,0.503459,-1.279345
-8.709030,0.402706,-0.070161,0.042066,-1.448830,0.060269,-0.060269,0.505041,-1.579260
