Ed,Id,Ep,Ip,Eoct,Ioct
18.274000,0.007059,15.696000,0.000093,6.790000,0.153235
16.508000,0.013995,13.638000,0.000166,5.967000,0.459704
16.046000,0.000642,13.479000,0.000298,4.710000,0.459704
16.026000,0.000475,12.025000,0.000602,4.623000,0.459704
15.696000,0.025472,11.277000,0.000757,4.255000,0.459704
14.948000,0.034761,10.429000,0.004251,,
14.401000,0.001731,8.970000,0.001656,,
14.133000,0.000496,8.221000,0.144138,,
13.973000,0.007162,8.026000,0.002366,,
13.841000,0.000218,7.916000,0.223398,,
13.638000,0.030498,7.633000,0.003693,,
13.479000,0.192006,6.737000,0.004254,,
13.214000,0.008199,6.325000,0.016527,,
12.595000,0.016209,5.804000,0.048922,,
12.233000,0.001644,4.054000,0.206973,,
12.025000,0.274555,3.000000,0.092356,,
11.277000,0.077439,,,,
10.533000,0.001567,,,,
10.429000,0.334988,,,,
8.970000,0.273838,,,,
8.221000,0.068938,,,,
8.026000,0.068209,,,,
7.916000,0.048776,,,,
7.633000,0.308296,,,,
6.737000,0.051739,,,,
6.325000,0.500000,,,,
5.804000,0.221274,,,,
4.054000,0.138342,,,,
3.000000,0.357362,,,,
