E,Id,Ip,Ioct,Itot,Ibg
-2.000000,0.000000,0.000026,0.000755,0.000000,nan
-1.943144,0.000026,0.000035,0.000781,0.000062,nan
-1.886288,0.000053,0.000044,0.000807,0.000125,nan
-1.829431,0.000081,0.000054,0.000834,0.000190,nan
-1.772575,0.000110,0.000065,0.000862,0.000257,nan
-1.715719,0.000139,0.000075,0.000891,0.000325,nan
-1.658863,0.000169,0.000086,0.000921,0.000396,nan
-1.602007,0.000201,0.000097,0.000951,0.000469,nan
-1.545151,0.000233,0.000108,0.000983,0.000544,nan
-1.488294,0.000266,0.000120,0.001015,0.000621,nan
-1.431438,0.000300,0.000132,0.001048,0.000701,nan
-1.374582,0.000335,0.000145,0.001082,0.000783,nan
-1.317726,0.000371,0.000158,0.001117,0.000867,nan
-1.260870,0.000408,0.000172,0.001154,0.000954,nan
-1.204013,0.000447,0.000185,0.001191,0.001044,nan
-1.147157,0.000487,0.000200,0.001229,0.001137,nan
-1.090301,0.000528,0.000215,0.001269,0.001233,nan
-1.033445,0.000571,0.000230,0.001310,0.001332,nan
-0.976589,0.000615,0.000246,0.001352,0.001434,nan
-0.919732,0.000661,0.000263,0.001396,0.001540,nan
-0.862876,0.000708,0.000280,0.001441,0.001650,nan
-0.806020,0.000757,0.000298,0.001488,0.001764,nan
-0.749164,0.000808,0.000316,0.001536,0.001881,nan
-0.692308,0.000861,0.000335,0.001586,0.002003,nan
-0.635452,0.000916,0.000355,0.001637,0.002130,nan
-0.578595,0.000973,0.000376,0.001691,0.002261,nan
-0.521739,0.001033,0.000397,0.001746,0.002397,nan
-0.464883,0.001094,0.000420,0.001803,0.002539,nan
-0.408027,0.001159,0.000443,0.001862,0.002686,nan
-0.351171,0.001226,0.000468,0.001924,0.002840,nan
-0.294314,0.001297,0.000493,0.001988,0.003000,nan
-0.237458,0.001370,0.000520,0.002054,0.003166,nan
-0.180602,0.001447,0.000548,0.002123,0.003340,nan
-0.123746,0.001527,0.000577,0.002194,0.003521,nan
-0.066890,0.001612,0.000608,0.002268,0.003711,nan
-0.010033,0.001700,0.000640,0.002346,0.003909,nan
0.046823,0.001794,0.000674,0.002426,0.004117,nan
0.103679,0.001892,0.000709,0.002510,0.004334,nan
0.160535,0.001995,0.000746,0.002598,0.004563,nan
