E,I
-0.837753,0.000000
-0.818358,0.000011
-0.798963,0.000021
-0.779568,0.000032
-0.760173,0.000043
-0.740778,0.000054
-0.721383,0.000065
-0.701988,0.000077
-0.682593,0.000089
-0.663198,0.000100
-0.643804,0.000112
-0.624409,0.000125
-0.605014,0.000137
-0.585619,0.000149
-0.566224,0.000162
-0.546829,0.000175
-0.527434,0.000188
-0.508039,0.000202
-0.488644,0.000215
-0.469249,0.000229
-0.449854,0.000243
-0.430459,0.000257
-0.411065,0.000272
-0.391670,0.000286
-0.372275,0.000301
-0.352880,0.000316
-0.333485,0.000332
-0.314090,0.000348
-0.294695,0.000363
-0.275300,0.000380
-0.255905,0.000396
-0.236510,0.000413
-0.217115,0.000430
-0.197721,0.000447
-0.178326,0.000465
-0.158931,0.000483
-0.139536,0.000501
-0.120141,0.000520
-0.100746,0.000539
-0.081351,0.000558
-0.061956,0.000578
-0.042561,0.000598
-0.023166,0.000618
-0.003771,0.000639
0.015624,0.000660
0.035018,0.000682
0.054413,0.000704
0.073808,0.000726
0.093203,0.000749
0.112598,0.000772
0.131993,0.000796
0.151388,0.000820
0.170783,0.000845
0.190178,0.000870
0.209573,0.000896
0.228968,0.000922
0.248363,0.000949
0.267757,0.000976
0.287152,0.001004
0.306547,0.001032
0.325942,0.001061
0.345337,0.001091
0.364732,0.001121
0.384127,0.001152
0.403522,0.001184
0.422917,0.001216
0.442312,0.001250
0.461707,0.001283
0.481102,0.001318
0.500496,0.001354
0.519891,0.001390
0.539286,0.001427
0.558681,0.001465
0.578076,0.001504
0.597471,0.001544
0.616866,0.001585
0.636261,0.001627
0.655656,0.001669
0.675051,0.001713
0.694446,0.001759
0.713840,0.001805
0.733235,0.001852
0.752630,0.001901
0.772025,0.001951
0.791420,0.002002
0.810815,0.002055
0.830210,0.002109
0.849605,0.002165
0.869000,0.002222
0.888395,0.002281
0.907790,0.002342
0.927185,0.002404
0.946579,0.002469
0.965974,0.002535
0.985369,0.002603
1.004764,0.002673
1.024159,0.002746
1.043554,0.002820
1.062949,0.002897
1.082344,0.002977
1.101739,0.003059
1.121134,0.003144
1.140529,0.003231
1.159924,0.003322
1.179318,0.003416
1.198713,0.003513
1.218108,0.003614
1.237503,0.003718
1.256898,0.003826
1.276293,0.003938
1.295688,0.004054
1.315083,0.004174
1.334478,0.004300
1.353873,0.004430
1.373268,0.004566
1.392662,0.004707
1.412057,0.004854
1.431452,0.005007
1.450847,0.005166
1.470242,0.005333
1.489637,0.005507
1.509032,0.005689
1.528427,0.005879
1.547822,0.006078
1.567217,0.006287
1.586612,0.006506
1.606007,0.006735
1.625401,0.006976
1.644796,0.007229
1.664191,0.007496
1.683586,0.007776
1.702981,0.008071
1.722376,0.008383
1.741771,0.008711
1.761166,0.009058
1.780561,0.009425
1.799956,0.009812
1.819351,0.010222
1.838746,0.010656
1.858140,0.011116
1.877535,0.011603
1.896930,0.012120
1.916325,0.012668
1.935720,0.013248
1.955115,0.013864
1.974510,0.014518
1.993905,0.015211
2.013300,0.015945
2.032695,0.016723
2.052090,0.017547
2.071485,0.018419
2.090879,0.019341
2.110274,0.020315
2.129669,0.021341
2.149064,0.022423
2.168459,0.023561
2.187854,0.024755
2.207249,0.026006
2.226644,0.027314
2.246039,0.028678
2.265434,0.030098
2.284829,0.031571
2.304223,0.033095
2.323618,0.034666
2.343013,0.036281
2.362408,0.037935
2.381803,0.039622
2.401198,0.041337
2.420593,0.043071
2.439988,0.044817
2.459383,0.046567
2.478778,0.048311
2.498173,0.050038
2.517568,0.051739
2.536962,0.053404
2.556357,0.055020
2.575752,0.056576
2.595147,0.058062
2.614542,0.059467
2.633937,0.060779
2.653332,0.061988
2.672727,0.063086
2.692122,0.064064
2.711517,0.064912
2.730912,0.065626
2.750307,0.066199
2.769701,0.066628
2.789096,0.066909
2.808491,0.067042
2.827886,0.067025
2.847281,0.066862
2.866676,0.066554
2.886071,0.066107
2.905466,0.065525
2.924861,0.064817
2.944256,0.063989
2.963651,0.063051
2.983045,0.062013
3.002440,0.060886
3.021835,0.059679
3.041230,0.058406
3.060625,0.057077
3.080020,0.055704
3.099415,0.054299
3.118810,0.052874
3.138205,0.051438
3.157600,0.050004
3.176995,0.048580
3.196390,0.047177
3.215784,0.045802
3.235179,0.044465
3.254574,0.043172
3.273969,0.041930
3.293364,0.040744
3.312759,0.039619
3.332154,0.038560
3.351549,0.037571
3.370944,0.036653
3.390339,0.035810
3.409734,0.035044
3.429129,0.034355
3.448523,0.033745
3.467918,0.033214
3.487313,0.032763
3.506708,0.032391
3.526103,0.032099
3.545498,0.031886
3.564893,0.031752
3.584288,0.031697
3.603683,0.031719
3.623078,0.031819
3.642473,0.031995
3.661868,0.032248
3.681262,0.032576
3.700657,0.032979
3.720052,0.033456
3.739447,0.034006
3.758842,0.034630
3.778237,0.035325
3.797632,0.036091
3.817027,0.036928
3.836422,0.037832
3.855817,0.038804
3.875212,0.039841
3.894606,0.040941
3.914001,0.042101
3.933396,0.043319
3.952791,0.044591
3.972186,0.045913
3.991581,0.047282
4.010976,0.048692
4.030371,0.050139
4.049766,0.051615
4.069161,0.053115
4.088556,0.054633
4.107951,0.056160
4.127345,0.057688
4.146740,0.059210
4.166135,0.060716
4.185530,0.062198
4.204925,0.063646
4.224320,0.065050
4.243715,0.066403
4.263110,0.067693
4.282505,0.068911
4.301900,0.070049
4.321295,0.071097
4.340690,0.072048
4.360084,0.072894
4.379479,0.073627
4.398874,0.074241
4.418269,0.074731
4.437664,0.075092
4.457059,0.075320
4.476454,0.075414
4.495849,0.075372
4.515244,0.075193
4.534639,0.074879
4.554034,0.074430
4.573429,0.073850
4.592823,0.073143
4.612218,0.072314
4.631613,0.071367
4.651008,0.070311
4.670403,0.069152
4.689798,0.067898
4.709193,0.066556
4.728588,0.065137
4.747983,0.063648
4.767378,0.062099
4.786773,0.060500
4.806167,0.058858
4.825562,0.057183
4.844957,0.055484
4.864352,0.053769
4.883747,0.052046
4.903142,0.050323
4.922537,0.048607
4.941932,0.046904
4.961327,0.045220
