E32,I32,E12,I12
641.700000,0.654861,653.400000,0.327430
645.688000,0.006260,657.388000,0.003130
646.668000,0.023018,658.368000,0.011509
647.884000,0.005756,659.584000,0.002878
651.001000,0.136467,662.701000,0.068233
651.739000,0.098344,663.439000,0.049172
652.653000,0.000872,664.353000,0.000436
653.060000,0.001166,664.760000,0.000583
653.917000,0.020689,665.617000,0.010344
654.782000,0.009232,666.482000,0.004616
655.336000,0.002645,667.036000,0.001322
658.250000,0.040595,669.950000,0.020298
