E,I32,I12,Ibg,Itot
629.697000,0.008928,0.000000,0.000000,0.006640
629.864559,0.009226,0.000022,0.000000,0.006962
630.032117,0.009537,0.000045,0.000000,0.007295
630.199676,0.009860,0.000068,0.000000,0.007643
630.367234,0.010197,0.000092,0.000000,0.008004
630.534793,0.010548,0.000116,0.000000,0.008380
630.702351,0.010914,0.000140,0.000000,0.008772
630.869910,0.011297,0.000165,0.000000,0.009180
631.037468,0.011697,0.000191,0.000000,0.009606
631.205027,0.012114,0.000217,0.000000,0.010051
631.372585,0.012552,0.000244,0.000000,0.010516
631.540144,0.013009,0.000271,0.000000,0.011002
631.707702,0.013489,0.000299,0.000000,0.011511
631.875261,0.013992,0.000327,0.000000,0.012044
632.042819,0.014521,0.000356,0.000000,0.012603
632.210378,0.015076,0.000386,0.000000,0.013189
632.377936,0.015659,0.000416,0.000000,0.013804
632.545495,0.016274,0.000447,0.000000,0.014451
632.713054,0.016921,0.000479,0.000000,0.015132
632.880612,0.017604,0.000511,0.000000,0.015849
633.048171,0.018325,0.000544,0.000000,0.016605
633.215729,0.019088,0.000578,0.000000,0.017403
633.383288,0.019894,0.000613,0.000000,0.018246
633.550846,0.020749,0.000648,0.000000,0.019139
633.718405,0.021656,0.000685,0.000000,0.020084
633.885963,0.022620,0.000722,0.000000,0.021088
634.053522,0.023645,0.000760,0.000000,0.022153
634.221080,0.024737,0.000799,0.000000,0.023287
634.388639,0.025903,0.000839,0.000000,0.024496
634.556197,0.027148,0.000880,0.000000,0.025785
634.723756,0.028482,0.000922,0.000000,0.027164
634.891314,0.029912,0.000965,0.000000,0.028640
635.058873,0.031448,0.001010,0.000000,0.030224
635.226431,0.033101,0.001055,0.000000,0.031927
635.393990,0.034885,0.001101,0.000000,0.033761
635.561548,0.036812,0.001149,0.000000,0.035741
635.729107,0.038901,0.001198,0.000000,0.037883
635.896666,0.041168,0.001248,0.000000,0.040206
636.064224,0.043637,0.001300,0.000000,0.042733
636.231783,0.046333,0.001353,0.000000,0.045487
636.399341,0.049283,0.001408,0.000000,0.048500
636.566900,0.052523,0.001464,0.000000,0.051803
636.734458,0.056093,0.001521,0.000000,0.055438
636.902017,0.060038,0.001581,0.000000,0.059452
637.069575,0.064416,0.001641,0.000000,0.063901
637.237134,0.069292,0.001704,0.000000,0.068852
637.404692,0.074746,0.001769,0.000000,0.074383
637.572251,0.080875,0.001835,0.000000,0.080593
637.739809,0.087794,0.001903,0.000000,0.087596
637.907368,0.095646,0.001974,0.000000,0.095537
638.074926,0.104604,0.002047,0.000000,0.104588
638.242485,0.114882,0.002122,0.000000,0.114965
638.410043,0.126743,0.002199,0.000000,0.126931
638.577602,0.140511,0.002278,0.000000,0.140811
638.745161,0.156585,0.002361,0.000000,0.157004
638.912719,0.175446,0.002446,0.000000,0.175994
639.080278,0.197671,0.002533,0.000000,0.198358
639.247836,0.223930,0.002624,0.000000,0.224768
639.415395,0.254973,0.002718,0.000000,0.255977
639.582953,0.291592,0.002814,0.000000,0.292777
639.750512,0.334544,0.002915,0.000000,0.335929
639.918070,0.384439,0.003018,0.000000,0.386044
640.085629,0.441579,0.003126,0.000000,0.443423
640.253187,0.505761,0.003237,0.000000,0.507865
640.420746,0.576077,0.003352,0.000000,0.578458
640.588304,0.650743,0.003472,0.000000,0.653417
640.755863,0.727020,0.003596,0.000000,0.729994
640.923421,0.801274,0.003724,0.000000,0.804549
641.090980,0.869220,0.003858,0.000000,0.872785
641.258538,0.926335,0.003997,0.000000,0.930171
641.426097,0.968409,0.004141,0.000000,0.972487
641.593656,0.992124,0.004291,0.000000,0.996407
641.761214,0.995552,0.004448,0.000000,1.000000
641.928773,0.978460,0.004611,0.000000,0.983032
642.096331,0.942349,0.004780,0.000000,0.947007
642.263890,0.890214,0.004957,0.000000,0.894929
642.431448,0.826092,0.005142,0.000000,0.830844
642.599007,0.754488,0.005334,0.000000,0.759268
642.766565,0.679811,0.005536,0.000000,0.684621
642.934124,0.605914,0.005746,0.000000,0.610764
643.101682,0.535803,0.005967,0.000000,0.540712
643.269241,0.471530,0.006197,0.000000,0.476522
643.436799,0.414240,0.006439,0.000000,0.419342
643.604358,0.364322,0.006693,0.000000,0.369563
643.771916,0.321603,0.006959,0.000000,0.327013
643.939475,0.285556,0.007239,0.000000,0.291163
644.107033,0.255461,0.007534,0.000000,0.261293
644.274592,0.230535,0.007844,0.000000,0.236621
644.442151,0.210019,0.008170,0.000000,0.216385
644.609709,0.193218,0.008515,0.000000,0.199890
644.777268,0.179521,0.008879,0.000000,0.186526
644.944826,0.168405,0.009264,0.000000,0.175771
645.112385,0.159428,0.009671,0.000000,0.167181
645.279943,0.152213,0.010103,0.000000,0.160383
645.447502,0.146442,0.010561,0.000000,0.155057
645.615060,0.141841,0.011048,0.000000,0.150934
645.782619,0.138177,0.011567,0.000000,0.147781
645.950177,0.135253,0.012119,0.000000,0.145403
646.117736,0.132900,0.012708,0.000000,0.143636
646.285294,0.130983,0.013338,0.000000,0.142346
646.452853,0.129397,0.014013,0.000000,0.141433
646.620411,0.128069,0.014737,0.000000,0.140828
646.787970,0.126958,0.015515,0.000000,0.140493
646.955528,0.126051,0.016352,0.000000,0.140423
647.123087,0.125363,0.017256,0.000000,0.140639
647.290645,0.124931,0.018233,0.000000,0.141186
647.458204,0.124812,0.019292,0.000000,0.142129
647.625763,0.125073,0.020443,0.000000,0.143543
647.793321,0.125787,0.021696,0.000000,0.145515
647.960880,0.127031,0.023065,0.000000,0.148134
648.128438,0.128879,0.024564,0.000000,0.151488
648.295997,0.131396,0.026211,0.000000,0.155662
648.463555,0.134640,0.028026,0.000000,0.160733
648.631114,0.138655,0.030035,0.000000,0.166771
648.798672,0.143468,0.032264,0.000000,0.173829
648.966231,0.149084,0.034749,0.000000,0.181950
649.133789,0.155484,0.037531,0.000000,0.191152
649.301348,0.162615,0.040660,0.000000,0.201436
649.468906,0.170389,0.044195,0.000000,0.212771
649.636465,0.178680,0.048210,0.000000,0.225106
649.804023,0.187319,0.052795,0.000000,0.238360
649.971582,0.196095,0.058061,0.000000,0.252435
650.139140,0.204766,0.064145,0.000000,0.267224
650.306699,0.213062,0.071214,0.000000,0.282624
650.474258,0.220699,0.079474,0.000000,0.298558
650.641816,0.227396,0.089175,0.000000,0.314994
650.809375,0.232895,0.100612,0.000000,0.331969
650.976933,0.236973,0.114129,0.000000,0.349605
651.144492,0.239466,0.130107,0.000000,0.368117
651.312050,0.240272,0.148940,0.000000,0.387802
651.479609,0.239366,0.171000,0.000000,0.409005
651.647167,0.236794,0.196572,0.000000,0.432058
651.814726,0.232672,0.225769,0.000000,0.457191
651.982284,0.227173,0.258437,0.000000,0.484422
652.149843,0.220512,0.294050,0.000000,0.513441
