Edup,Idup,Eddn,Iddn,Epup,Ipup,Epdn,Ipdn,Eoctup,Ioctup,Eoctdn,Ioctdn
-20.381000,0.041313,4.051000,-0.808715,-18.975000,0.000835,4.051000,-0.083219,-6.790000,1.000000,-6.790000,-1.000000
-18.975000,0.027486,4.123000,-2.615103,-15.303000,0.000466,4.123000,-0.072811,-4.006000,1.982000,-4.006000,-1.982000
-18.299000,0.001387,5.439000,-0.838914,-14.154000,0.000843,5.439000,-0.062923,-5.873000,2.991000,-5.873000,-2.991000
-17.662000,0.014886,15.281000,-0.191824,-13.851000,0.002952,15.281000,-0.000955,-5.967000,3.000000,-5.967000,-3.000000
-17.326000,0.006421,16.430000,-0.074039,-12.998000,0.008249,16.430000,-0.001193,-4.710000,3.000000,-4.710000,-3.000000
-16.794000,0.001446,16.508000,-0.062906,-12.002000,0.015266,16.508000,-0.001006,-4.623000,3.000000,-4.623000,-3.000000
-16.003000,0.000656,17.697000,-0.017293,-10.648000,0.016786,17.697000,-0.000247,-4.255000,3.000000,-4.255000,-3.000000
-15.510000,0.031990,18.051000,-0.068206,-9.949000,0.001765,18.051000,-0.000260,,,,
-15.303000,0.008717,19.177000,-0.014164,-8.730000,0.004189,19.177000,-0.000177,,,,
-15.177000,0.032817,19.363000,-0.032823,-7.811000,0.007151,19.363000,-0.000405,,,,
-15.090000,0.032864,19.419000,-0.046796,-7.561000,0.001668,19.419000,-0.000158,,,,
-14.989000,0.002709,,,-7.084000,0.007003,,,,,,
-14.587000,0.000590,,,-6.934000,0.008733,,,,,,
-14.242000,0.001274,,,-5.848000,0.176054,,,,,,
-14.154000,0.012724,,,-5.479000,0.377481,,,,,,
-13.851000,0.152136,,,-5.270000,1.327098,,,,,,
-12.998000,0.354412,,,-2.943000,1.639103,,,,,,
-12.632000,0.015935,,,-1.200000,0.401534,,,,,,
-12.002000,0.142641,,,0.439000,0.240466,,,,,,
-10.648000,0.107957,,,16.482000,0.000488,,,,,,
-10.554000,0.001608,,,,,,,,,,
-9.949000,0.032934,,,,,,,,,,
-8.730000,0.049193,,,,,,,,,,
-7.811000,0.054189,,,,,,,,,,
-7.561000,0.003035,,,,,,,,,,
-7.084000,0.034529,,,,,,,,,,
-6.934000,0.010713,,,,,,,,,,
-5.848000,0.083723,,,,,,,,,,
-5.479000,0.113341,,,,,,,,,,
-5.270000,1.052503,,,,,,,,,,
-2.943000,1.087677,,,,,,,,,,
-1.200000,0.484024,,,,,,,,,,
0.439000,0.718201,,,,,,,,,,
14.868000,0.009022,,,,,,,,,,
16.202000,0.000769,,,,,,,,,,
16.482000,0.030449,,,,,,,,,,
