E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-12.000000,0.159798,-0.000000,0.015837,-0.000000,0.011687,-0.011687,0.187321,-0.011687
-11.919732,0.149457,-0.000005,0.015713,-0.000000,0.012041,-0.012041,0.177211,-0.012047
-11.839465,0.138986,-0.000011,0.015398,-0.000001,0.012410,-0.012410,0.166794,-0.012421
-11.759197,0.128447,-0.000016,0.014938,-0.000001,0.012793,-0.012793,0.156179,-0.012810
-11.678930,0.118119,-0.000022,0.014404,-0.000001,0.013193,-0.013193,0.145716,-0.013216
-11.598662,0.108440,-0.000027,0.013878,-0.000001,0.013610,-0.013610,0.135928,-0.013639
-11.518395,0.099914,-0.000033,0.013445,-0.000002,0.014045,-0.014045,0.127404,-0.014079
-11.438127,0.093016,-0.000039,0.013181,-0.000002,0.014498,-0.014498,0.120695,-0.014539
-11.357860,0.088107,-0.000045,0.013139,-0.000002,0.014972,-0.014972,0.116218,-0.015019
-11.277592,0.085362,-0.000051,0.013346,-0.000002,0.015467,-0.015467,0.114176,-0.015520
-11.197324,0.084746,-0.000057,0.013797,-0.000003,0.015985,-0.015985,0.114529,-0.016045
-11.117057,0.086006,-0.000063,0.014454,-0.000003,0.016528,-0.016528,0.116989,-0.016594
-11.036789,0.088702,-0.000069,0.015254,-0.000003,0.017097,-0.017097,0.121052,-0.017169
-10.956522,0.092261,-0.000076,0.016110,-0.000004,0.017693,-0.017693,0.126064,-0.017772
-10.876254,0.096047,-0.000082,0.016931,-0.000004,0.018319,-0.018319,0.131297,-0.018405
-10.795987,0.099441,-0.000089,0.017625,-0.000004,0.018977,-0.018977,0.136043,-0.019070
-10.715719,0.101909,-0.000095,0.018115,-0.000005,0.019670,-0.019670,0.139695,-0.019770
-10.635452,0.103065,-0.000102,0.018350,-0.000005,0.020400,-0.020400,0.141815,-0.020507
-10.555184,0.102697,-0.000109,0.018305,-0.000005,0.021169,-0.021169,0.142171,-0.021284
-10.474916,0.100776,-0.000116,0.017988,-0.000006,0.021982,-0.021982,0.140746,-0.022104
-10.394649,0.097435,-0.000123,0.017434,-0.000006,0.022842,-0.022842,0.137711,-0.022971
-10.314381,0.092926,-0.000130,0.016699,-0.000006,0.023753,-0.023753,0.133377,-0.023889
-10.234114,0.087568,-0.000137,0.015850,-0.000007,0.024719,-0.024719,0.128136,-0.024864
-10.153846,0.081700,-0.000145,0.014955,-0.000007,0.025747,-0.025747,0.122402,-0.025899
-10.073579,0.075641,-0.000152,0.014079,-0.000008,0.026842,-0.026842,0.116562,-0.027002
-9.993311,0.069667,-0.000160,0.013273,-0.000008,0.028013,-0.028013,0.110952,-0.028181
-9.913043,0.063999,-0.000168,0.012578,-0.000008,0.029266,-0.029266,0.105844,-0.029442
-9.832776,0.058817,-0.000176,0.012018,-0.000009,0.030614,-0.030614,0.101449,-0.030799
-9.752508,0.054260,-0.000184,0.011606,-0.000009,0.032068,-0.032068,0.097935,-0.032262
-9.672241,0.050443,-0.000192,0.011349,-0.000009,0.033646,-0.033646,0.095438,-0.033847
-9.591973,0.047457,-0.000201,0.011243,-0.000010,0.035365,-0.035365,0.094065,-0.035576
-9.511706,0.045369,-0.000209,0.011284,-0.000010,0.037252,-0.037252,0.093905,-0.037471
-9.431438,0.044212,-0.000218,0.011463,-0.000011,0.039337,-0.039337,0.095012,-0.039566
-9.351171,0.043974,-0.000227,0.011769,-0.000011,0.041661,-0.041661,0.097404,-0.041899
