Ed,Id,Ep,Ip,Eoct,Ioct
20.381000,0.016684,18.975000,0.000070,6.790000,0.166667
18.975000,0.011100,15.303000,0.000039,4.006000,0.330333
18.299000,0.000560,14.154000,0.000070,5.873000,0.498500
17.662000,0.006012,13.851000,0.000246,5.967000,0.500000
17.326000,0.002593,12.998000,0.000687,4.710000,0.500000
16.794000,0.000584,12.002000,0.001272,4.623000,0.500000
16.003000,0.000265,10.648000,0.001399,4.255000,0.500000
15.510000,0.012919,9.949000,0.000147,,
15.303000,0.003520,8.730000,0.000349,,
15.177000,0.013253,7.811000,0.000596,,
15.090000,0.013272,7.561000,0.000139,,
14.989000,0.001094,7.084000,0.000584,,
14.587000,0.000238,6.934000,0.000728,,
14.242000,0.000514,5.848000,0.014671,,
14.154000,0.005139,5.479000,0.031457,,
13.851000,0.061440,5.270000,0.110592,,
12.998000,0.143128,2.943000,0.136592,,
12.632000,0.006435,1.200000,0.033461,,
12.002000,0.057605,,,,
10.648000,0.043598,,,,
10.554000,0.000649,,,,
9.949000,0.013300,,,,
8.730000,0.019866,,,,
7.811000,0.021884,,,,
7.561000,0.001226,,,,
7.084000,0.013944,,,,
6.934000,0.004327,,,,
5.848000,0.033811,,,,
5.479000,0.045772,,,,
5.270000,0.425049,,,,
2.943000,0.439254,,,,
1.200000,0.195471,,,,
