E,Id,Ip,Ioct,Itot,Ibg
-2.000000,0.000000,0.000178,0.000798,0.000000,nan
-1.943144,0.000035,0.000186,0.000826,0.000070,nan
-1.886288,0.000071,0.000194,0.000854,0.000144,nan
-1.829431,0.000109,0.000203,0.000883,0.000220,nan
-1.772575,0.000149,0.000212,0.000913,0.000299,nan
-1.715719,0.000191,0.000221,0.000944,0.000381,nan
-1.658863,0.000236,0.000231,0.000976,0.000467,nan
-1.602007,0.000282,0.000242,0.001008,0.000557,nan
-1.545151,0.000331,0.000253,0.001042,0.000651,nan
-1.488294,0.000383,0.000264,0.001076,0.000749,nan
-1.431438,0.000438,0.000277,0.001112,0.000852,nan
-1.374582,0.000497,0.000289,0.001148,0.000960,nan
-1.317726,0.000559,0.000303,0.001186,0.001074,nan
-1.260870,0.000625,0.000318,0.001225,0.001193,nan
-1.204013,0.000696,0.000333,0.001265,0.001319,nan
-1.147157,0.000771,0.000349,0.001306,0.001453,nan
-1.090301,0.000852,0.000367,0.001349,0.001594,nan
-1.033445,0.000939,0.000385,0.001393,0.001744,nan
-0.976589,0.001034,0.000405,0.001438,0.001903,nan
-0.919732,0.001136,0.000427,0.001485,0.002074,nan
-0.862876,0.001247,0.000450,0.001534,0.002257,nan
-0.806020,0.001369,0.000475,0.001584,0.002455,nan
-0.749164,0.001504,0.000503,0.001635,0.002669,nan
-0.692308,0.001654,0.000533,0.001689,0.002903,nan
-0.635452,0.001821,0.000567,0.001744,0.003161,nan
-0.578595,0.002012,0.000605,0.001802,0.003446,nan
-0.521739,0.002229,0.000648,0.001861,0.003767,nan
-0.464883,0.002482,0.000697,0.001923,0.004130,nan
-0.408027,0.002779,0.000754,0.001987,0.004549,nan
-0.351171,0.003133,0.000821,0.002053,0.005037,nan
-0.294314,0.003560,0.000901,0.002122,0.005613,nan
-0.237458,0.004081,0.000997,0.002193,0.006302,nan
-0.180602,0.004722,0.001115,0.002268,0.007136,nan
-0.123746,0.005517,0.001259,0.002345,0.008154,nan
-0.066890,0.006507,0.001437,0.002425,0.009403,nan
-0.010033,0.007740,0.001657,0.002509,0.010941,nan
0.046823,0.009274,0.001929,0.002597,0.012836,nan
0.103679,0.011172,0.002264,0.002688,0.015162,nan
0.160535,0.013504,0.002674,0.002783,0.018003,nan
0.217391,0.016344,0.003171,0.002882,0.021443,nan
0.274247,0.019763,0.003769,0.002986,0.025568,nan
0.331104,0.023826,0.004478,0.003094,0.030452,nan
0.387960,0.028583,0.005306,0.003208,0.036157,nan
0.444816,0.034063,0.006259,0.003328,0.042716,nan
0.501672,0.040265,0.007337,0.003453,0.050129,nan
0.558528,0.047153,0.008534,0.003585,0.058352,nan
0.615385,0.054644,0.009835,0.003723,0.067292,nan
0.672241,0.062610,0.011220,0.003869,0.076799,nan
0.729097,0.070877,0.012658,0.004024,0.086667,nan
0.785953,0.079224,0.014111,0.004187,0.096641,nan
0.842809,0.087398,0.015538,0.004360,0.106423,nan
0.899666,0.095120,0.016890,0.004544,0.115691,nan
0.956522,0.102106,0.018120,0.004739,0.124111,nan
1.013378,0.108085,0.019181,0.004948,0.131366,nan
1.070234,0.112813,0.020033,0.005172,0.137177,nan
1.127090,0.116102,0.020645,0.005412,0.141321,nan
1.183946,0.117824,0.020996,0.005672,0.143656,nan
1.240803,0.117932,0.021080,0.005954,0.144131,nan
1.297659,0.116461,0.020906,0.006260,0.142791,nan
1.354515,0.113530,0.020497,0.006596,0.139783,nan
1.411371,0.109334,0.019891,0.006965,0.135346,nan
1.468227,0.104135,0.019138,0.007374,0.129798,nan
1.525084,0.098246,0.018299,0.007829,0.123519,nan
1.581940,0.092015,0.017443,0.008340,0.116937,nan
1.638796,0.085809,0.016643,0.008915,0.110499,nan
1.695652,0.079994,0.015976,0.009567,0.104664,nan
1.752508,0.074927,0.015517,0.010312,0.099878,nan
1.809365,0.070939,0.015343,0.011165,0.096565,nan
1.866221,0.068331,0.015524,0.012147,0.095118,nan
1.923077,0.067365,0.016127,0.013282,0.095892,nan
1.979933,0.068260,0.017211,0.014599,0.099191,nan
2.036789,0.071186,0.018826,0.016130,0.105269,nan
2.093645,0.076256,0.021009,0.017912,0.114314,nan
2.150502,0.083523,0.023782,0.019989,0.126442,nan
2.207358,0.092965,0.027146,0.022409,0.141683,nan
2.264214,0.104480,0.031079,0.025228,0.159967,nan
2.321070,0.117875,0.035530,0.028506,0.181112,nan
