E,I
-0.837753,0.000000
-0.818358,0.000079
-0.798963,0.000161
-0.779568,0.000244
-0.760173,0.000329
-0.740778,0.000417
-0.721383,0.000507
-0.701988,0.000599
-0.682593,0.000693
-0.663198,0.000791
-0.643804,0.000890
-0.624409,0.000993
-0.605014,0.001098
-0.585619,0.001206
-0.566224,0.001318
-0.546829,0.001432
-0.527434,0.001550
-0.508039,0.001671
-0.488644,0.001795
-0.469249,0.001924
-0.449854,0.002056
-0.430459,0.002192
-0.411065,0.002332
-0.391670,0.002477
-0.372275,0.002626
-0.352880,0.002780
-0.333485,0.002939
-0.314090,0.003103
-0.294695,0.003273
-0.275300,0.003448
-0.255905,0.003629
-0.236510,0.003816
-0.217115,0.004010
-0.197721,0.004211
-0.178326,0.004418
-0.158931,0.004634
-0.139536,0.004857
-0.120141,0.005088
-0.100746,0.005328
-0.081351,0.005577
-0.061956,0.005836
-0.042561,0.006105
-0.023166,0.006385
-0.003771,0.006676
0.015624,0.006978
0.035018,0.007294
0.054413,0.007623
0.073808,0.007965
0.093203,0.008323
0.112598,0.008697
0.131993,0.009087
0.151388,0.009496
0.170783,0.009923
0.190178,0.010370
0.209573,0.010839
0.228968,0.011331
0.248363,0.011847
0.267757,0.012389
0.287152,0.012958
0.306547,0.013558
0.325942,0.014189
0.345337,0.014854
0.364732,0.015555
0.384127,0.016295
0.403522,0.017076
0.422917,0.017902
0.442312,0.018776
0.461707,0.019701
0.481102,0.020680
0.500496,0.021719
0.519891,0.022820
0.539286,0.023988
0.558681,0.025229
0.578076,0.026546
0.597471,0.027945
0.616866,0.029432
0.636261,0.031011
0.655656,0.032690
0.675051,0.034473
0.694446,0.036368
0.713840,0.038379
0.733235,0.040513
0.752630,0.042777
0.772025,0.045175
0.791420,0.047714
0.810815,0.050399
0.830210,0.053233
0.849605,0.056222
0.869000,0.059367
0.888395,0.062672
0.907790,0.066136
0.927185,0.069760
0.946579,0.073542
0.965974,0.077478
0.985369,0.081563
1.004764,0.085790
1.024159,0.090148
1.043554,0.094627
1.062949,0.099213
1.082344,0.103890
1.101739,0.108638
1.121134,0.113438
1.140529,0.118267
1.159924,0.123098
1.179318,0.127907
1.198713,0.132663
1.218108,0.137336
1.237503,0.141896
1.256898,0.146310
1.276293,0.150547
1.295688,0.154573
1.315083,0.158357
1.334478,0.161868
1.353873,0.165077
1.373268,0.167956
1.392662,0.170480
1.412057,0.172627
1.431452,0.174376
1.450847,0.175712
1.470242,0.176623
1.489637,0.177100
1.509032,0.177139
1.528427,0.176740
1.547822,0.175907
1.567217,0.174648
1.586612,0.172975
1.606007,0.170904
1.625401,0.168453
1.644796,0.165647
1.664191,0.162508
1.683586,0.159065
1.702981,0.155348
1.722376,0.151386
1.741771,0.147212
1.761166,0.142859
1.780561,0.138357
1.799956,0.133741
1.819351,0.129039
1.838746,0.124284
1.858140,0.119504
1.877535,0.114725
1.896930,0.109974
1.916325,0.105273
1.935720,0.100642
1.955115,0.096102
1.974510,0.091668
1.993905,0.087354
2.013300,0.083171
2.032695,0.079130
2.052090,0.075238
2.071485,0.071500
2.090879,0.067920
2.110274,0.064501
2.129669,0.061241
2.149064,0.058142
2.168459,0.055200
2.187854,0.052413
2.207249,0.049777
2.226644,0.047288
2.246039,0.044940
2.265434,0.042728
2.284829,0.040647
2.304223,0.038689
2.323618,0.036850
2.343013,0.035123
2.362408,0.033502
2.381803,0.031981
2.401198,0.030555
2.420593,0.029217
2.439988,0.027962
2.459383,0.026786
2.478778,0.025683
2.498173,0.024649
2.517568,0.023679
2.536962,0.022769
2.556357,0.021915
2.575752,0.021114
2.595147,0.020362
2.614542,0.019656
2.633937,0.018993
2.653332,0.018370
2.672727,0.017786
2.692122,0.017236
2.711517,0.016721
2.730912,0.016236
2.750307,0.015781
2.769701,0.015354
2.789096,0.014953
2.808491,0.014577
2.827886,0.014224
2.847281,0.013893
2.866676,0.013583
2.886071,0.013294
2.905466,0.013023
2.924861,0.012771
2.944256,0.012535
2.963651,0.012317
2.983045,0.012114
3.002440,0.011926
3.021835,0.011753
3.041230,0.011594
3.060625,0.011449
3.080020,0.011317
3.099415,0.011197
3.118810,0.011090
3.138205,0.010995
3.157600,0.010911
3.176995,0.010839
3.196390,0.010779
3.215784,0.010729
3.235179,0.010690
3.254574,0.010661
3.273969,0.010644
3.293364,0.010636
3.312759,0.010639
3.332154,0.010652
3.351549,0.010675
3.370944,0.010709
3.390339,0.010752
3.409734,0.010806
3.429129,0.010870
3.448523,0.010944
3.467918,0.011029
3.487313,0.011124
3.506708,0.011230
3.526103,0.011347
3.545498,0.011475
3.564893,0.011614
3.584288,0.011764
3.603683,0.011926
3.623078,0.012099
3.642473,0.012285
3.661868,0.012484
3.681262,0.012695
3.700657,0.012920
3.720052,0.013158
3.739447,0.013410
3.758842,0.013676
3.778237,0.013958
3.797632,0.014255
3.817027,0.014568
3.836422,0.014897
3.855817,0.015244
3.875212,0.015609
3.894606,0.015992
3.914001,0.016394
3.933396,0.016816
3.952791,0.017259
3.972186,0.017724
3.991581,0.018211
4.010976,0.018721
4.030371,0.019255
4.049766,0.019814
4.069161,0.020399
4.088556,0.021012
4.107951,0.021652
4.127345,0.022321
4.146740,0.023021
4.166135,0.023751
4.185530,0.024514
4.204925,0.025309
4.224320,0.026139
4.243715,0.027003
4.263110,0.027904
4.282505,0.028841
4.301900,0.029816
4.321295,0.030829
4.340690,0.031881
4.360084,0.032972
4.379479,0.034103
4.398874,0.035273
4.418269,0.036483
4.437664,0.037733
4.457059,0.039021
4.476454,0.040348
4.495849,0.041712
4.515244,0.043112
4.534639,0.044547
4.554034,0.046014
4.573429,0.047512
4.592823,0.049037
4.612218,0.050587
4.631613,0.052158
4.651008,0.053747
4.670403,0.055349
4.689798,0.056961
4.709193,0.058577
4.728588,0.060191
4.747983,0.061800
4.767378,0.063396
4.786773,0.064974
4.806167,0.066528
4.825562,0.068051
4.844957,0.069536
4.864352,0.070977
4.883747,0.072368
4.903142,0.073701
4.922537,0.074970
4.941932,0.076170
4.961327,0.077293
