E,I32,I12,Ibg,Itot
849.184000,0.000000,0.000000,0.000000,0.000000
849.253619,0.000318,0.000002,0.000008,0.000328
849.323237,0.000650,0.000004,0.000017,0.000670
849.392856,0.000997,0.000005,0.000025,0.001027
849.462475,0.001359,0.000007,0.000033,0.001400
849.532094,0.001739,0.000009,0.000039,0.001788
849.601712,0.002138,0.000011,0.000046,0.002194
849.671331,0.002555,0.000013,0.000052,0.002620
849.740950,0.002994,0.000015,0.000060,0.003068
849.810569,0.003455,0.000017,0.000067,0.003539
849.880187,0.003941,0.000018,0.000075,0.004034
849.949806,0.004453,0.000020,0.000082,0.004555
850.019425,0.004993,0.000022,0.000091,0.005106
850.089043,0.005564,0.000024,0.000099,0.005687
850.158662,0.006168,0.000026,0.000108,0.006302
850.228281,0.006809,0.000028,0.000119,0.006956
850.297900,0.007489,0.000030,0.000134,0.007653
850.367518,0.008213,0.000032,0.000149,0.008394
850.437137,0.008985,0.000034,0.000164,0.009183
850.506756,0.009810,0.000036,0.000179,0.010025
850.576375,0.010694,0.000038,0.000194,0.010926
850.645993,0.011643,0.000040,0.000208,0.011892
850.715612,0.012665,0.000043,0.000226,0.012933
850.785231,0.013769,0.000045,0.000246,0.014059
850.854849,0.014964,0.000047,0.000266,0.015277
850.924468,0.016264,0.000049,0.000286,0.016599
850.994087,0.017680,0.000051,0.000306,0.018038
851.063706,0.019230,0.000053,0.000334,0.019617
851.133324,0.020932,0.000056,0.000365,0.021353
851.202943,0.022808,0.000058,0.000397,0.023263
851.272562,0.024883,0.000060,0.000432,0.025375
851.342181,0.027185,0.000062,0.000490,0.027738
851.411799,0.029749,0.000065,0.000548,0.030362
851.481418,0.032613,0.000067,0.000606,0.033286
851.551037,0.035822,0.000069,0.000674,0.036565
851.620656,0.039425,0.000071,0.000742,0.040239
851.690274,0.043481,0.000074,0.000810,0.044365
851.759893,0.048053,0.000076,0.000870,0.048999
851.829512,0.053215,0.000079,0.000928,0.054222
851.899130,0.059047,0.000081,0.000987,0.060114
851.968749,0.065637,0.000083,0.001045,0.066766
852.038368,0.073083,0.000086,0.001135,0.074303
852.107987,0.081488,0.000088,0.001224,0.082801
852.177605,0.090966,0.000091,0.001314,0.092371
852.247224,0.101634,0.000093,0.001381,0.103108
852.316843,0.113614,0.000096,0.001447,0.115156
852.386462,0.127032,0.000098,0.001512,0.128642
852.456080,0.142014,0.000101,0.001577,0.143692
852.525699,0.158682,0.000104,0.001643,0.160428
852.595318,0.177154,0.000106,0.001898,0.179158
852.664936,0.197535,0.000109,0.002237,0.199881
852.734555,0.219919,0.000112,0.002350,0.222381
852.804174,0.244378,0.000114,0.002463,0.246956
852.873793,0.270961,0.000117,0.002576,0.273654
852.943411,0.299686,0.000120,0.002945,0.302751
853.013030,0.330538,0.000123,0.003368,0.334029
853.082649,0.363463,0.000125,0.003777,0.367366
853.152268,0.398363,0.000128,0.004439,0.402930
853.221886,0.435092,0.000131,0.005612,0.440835
853.291505,0.473455,0.000134,0.006267,0.479857
853.361124,0.513208,0.000137,0.006851,0.520196
