Edup,Idup,Eddn,Iddn,Epup,Ipup,Epdn,Ipdn,Eoctup,Ioctup,Eoctdn,Ioctdn
-22.906000,0.000014,-13.202000,-0.164244,-13.786000,0.007618,-13.202000,-0.003021,-5.048000,1.000000,-5.048000,-1.000000
-13.786000,0.128254,-11.097000,-0.018546,-13.202000,0.003021,-11.097000,-0.000557,-3.066000,1.996000,-3.066000,-1.996000
-13.202000,0.164244,-9.198000,-0.833133,-11.097000,0.000557,-9.198000,-0.044608,-4.394000,2.998500,-4.394000,-2.998500
-11.097000,0.018546,-4.066000,-0.366543,-10.983000,0.000689,-4.066000,-2.185544,-4.441000,3.000000,-4.441000,-3.000000
-10.983000,0.006122,-1.622000,-1.617528,-9.198000,0.044608,-1.622000,-0.766269,-3.512000,3.000000,-3.512000,-3.000000
-9.198000,0.833133,2.204000,-1.612538,-8.832000,0.153448,2.204000,-0.306657,-3.447000,3.000000,-3.447000,-3.000000
-8.832000,0.690732,14.744000,-0.079320,-4.580000,1.127217,14.744000,-0.001485,-3.176000,3.000000,-3.176000,-3.000000
-4.580000,0.199306,,,-4.066000,2.185544,,,,,,
-4.066000,0.366543,,,-1.622000,0.766269,,,,,,
-1.622000,1.617528,,,-0.600000,0.711027,,,,,,
-0.600000,0.975572,,,,,,,,,,
