E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-12.000000,0.011853,-0.010983,0.000324,-0.000237,0.000000,-0.000000,0.012177,-0.011220
-11.919732,0.010376,-0.009368,0.000325,-0.000218,0.000000,-0.000000,0.010701,-0.009586
-11.839465,0.009864,-0.008628,0.000353,-0.000217,0.000000,-0.000000,0.010216,-0.008846
-11.759197,0.010119,-0.008579,0.000402,-0.000231,0.000000,-0.000000,0.010520,-0.008810
-11.678930,0.010952,-0.009046,0.000468,-0.000255,0.000000,-0.000000,0.011420,-0.009301
-11.598662,0.012185,-0.009864,0.000547,-0.000286,0.000000,-0.000000,0.012731,-0.010151
-11.518395,0.013649,-0.010884,0.000632,-0.000321,0.000000,-0.000000,0.014281,-0.011205
-11.438127,0.015188,-0.011968,0.000719,-0.000357,0.000000,-0.000000,0.015907,-0.012325
-11.357860,0.016663,-0.013003,0.000802,-0.000391,0.000000,-0.000000,0.017465,-0.013393
-11.277592,0.017957,-0.013896,0.000877,-0.000420,0.000000,-0.000000,0.018835,-0.014316
-11.197324,0.018991,-0.014593,0.000941,-0.000445,0.000000,-0.000000,0.019932,-0.015038
-11.117057,0.019734,-0.015081,0.000991,-0.000466,0.000000,-0.000000,0.020725,-0.015547
-11.036789,0.020217,-0.015404,0.001032,-0.000486,0.000000,-0.000000,0.021249,-0.015890
-10.956522,0.020555,-0.015678,0.001069,-0.000511,0.000000,-0.000000,0.021625,-0.016189
-10.876254,0.020963,-0.016102,0.001117,-0.000551,0.000000,-0.000000,0.022081,-0.016653
-10.795987,0.021776,-0.016973,0.001198,-0.000622,0.000000,-0.000000,0.022973,-0.017596
-10.715719,0.023466,-0.018707,0.001343,-0.000744,0.000000,-0.000000,0.024809,-0.019450
-10.635452,0.026670,-0.021841,0.001599,-0.000943,0.000000,-0.000000,0.028270,-0.022784
-10.555184,0.032199,-0.027051,0.002029,-0.001255,0.000000,-0.000000,0.034227,-0.028306
-10.474916,0.041046,-0.035139,0.002712,-0.001720,0.000000,-0.000000,0.043759,-0.036859
