Ed,Id,Ep,Ip,Eoct,Ioct
22.906000,0.000002,13.786000,0.000118,5.048000,0.009273
13.786000,0.019823,13.202000,0.000093,3.066000,0.018510
13.202000,0.050770,11.097000,0.000017,4.394000,0.027806
11.097000,0.005733,10.983000,0.000011,4.441000,0.027820
10.983000,0.000946,9.198000,0.001379,3.512000,0.027820
9.198000,0.257533,8.832000,0.002372,3.447000,0.027820
8.832000,0.106757,4.580000,0.017422,3.176000,0.027820
4.580000,0.030804,4.066000,0.067558,,
4.066000,0.113303,1.622000,0.023686,,
1.622000,0.500000,0.600000,0.010989,,
0.600000,0.150781,,,,
