E,Id,Ip,Ioct,Itot,Ibg
-0.590000,0.017801,0.001294,0.000004,0.017540,nan
-0.546555,0.021667,0.001575,0.000005,0.021695,nan
-0.503110,0.026185,0.001903,0.000006,0.026550,nan
-0.459666,0.031418,0.002283,0.000008,0.032174,nan
-0.416221,0.037431,0.002719,0.000010,0.038634,nan
-0.372776,0.044280,0.003215,0.000012,0.045993,nan
-0.329331,0.052015,0.003775,0.000015,0.054304,nan
-0.285886,0.060678,0.004400,0.000019,0.063611,nan
-0.242441,0.070297,0.005094,0.000023,0.073945,nan
-0.198997,0.080887,0.005855,0.000029,0.085320,nan
-0.155552,0.092448,0.006684,0.000035,0.097735,nan
-0.112107,0.104961,0.007578,0.000043,0.111171,nan
-0.068662,0.118392,0.008534,0.000052,0.125591,nan
-0.025217,0.132691,0.009546,0.000064,0.140937,nan
0.018227,0.147791,0.010608,0.000077,0.157138,nan
0.061672,0.163614,0.011712,0.000093,0.174108,nan
0.105117,0.180072,0.012849,0.000112,0.191751,nan
0.148562,0.197072,0.014011,0.000135,0.209964,nan
0.192007,0.214523,0.015186,0.000162,0.228647,nan
0.235452,0.232338,0.016366,0.000194,0.247704,nan
0.278896,0.250443,0.017540,0.000232,0.267051,nan
0.322341,0.268780,0.018700,0.000276,0.286624,nan
0.365786,0.287318,0.019839,0.000328,0.306384,nan
0.409231,0.306049,0.020952,0.000388,0.326320,nan
0.452676,0.324998,0.022035,0.000459,0.346454,nan
0.496120,0.344222,0.023087,0.000541,0.366845,nan
0.539565,0.363808,0.024108,0.000636,0.387580,nan
0.583010,0.383872,0.025104,0.000746,0.408783,nan
0.626455,0.404551,0.026078,0.000873,0.430598,nan
0.669900,0.426000,0.027038,0.001018,0.453188,nan
0.713344,0.448374,0.027994,0.001186,0.476723,nan
0.756789,0.471826,0.028954,0.001377,0.501366,nan
0.800234,0.496487,0.029928,0.001595,0.527259,nan
0.843679,0.522451,0.030924,0.001843,0.554511,nan
0.887124,0.549769,0.031950,0.002124,0.583182,nan
0.930569,0.578429,0.033010,0.002442,0.613268,nan
0.974013,0.608349,0.034107,0.002801,0.644692,nan
1.017458,0.639363,0.035237,0.003204,0.677293,nan
1.060903,0.671226,0.036396,0.003657,0.710819,nan
1.104348,0.703600,0.037573,0.004163,0.744931,nan
1.147793,0.736068,0.038753,0.004727,0.779198,nan
1.191237,0.768134,0.039919,0.005355,0.813111,nan
1.234682,0.799237,0.041048,0.006050,0.846092,nan
1.278127,0.828769,0.042116,0.006820,0.877510,nan
1.321572,0.856090,0.043094,0.007668,0.906704,nan
1.365017,0.880552,0.043956,0.008601,0.933003,nan
1.408462,0.901523,0.044673,0.009623,0.955749,nan
1.451906,0.918410,0.045218,0.010741,0.974328,nan
1.495351,0.930681,0.045566,0.011959,0.988187,nan
1.538796,0.937888,0.045698,0.013283,0.996864,nan
1.582241,0.939688,0.045595,0.014717,1.000000,nan
1.625686,0.935852,0.045246,0.016267,0.997361,nan
1.669130,0.926280,0.044647,0.017936,0.988845,nan
1.712575,0.911004,0.043796,0.019729,0.974488,nan
1.756020,0.890188,0.042701,0.021649,0.954465,nan
1.799465,0.864125,0.041373,0.023698,0.929084,nan
1.842910,0.833222,0.039832,0.025880,0.898773,nan
1.886355,0.797991,0.038099,0.028194,0.864069,nan
1.929799,0.759026,0.036202,0.030643,0.825595,nan
1.973244,0.716987,0.034171,0.033225,0.784041,nan
2.016689,0.672574,0.032039,0.035940,0.740141,nan
2.060134,0.626507,0.029840,0.038785,0.694647,nan
2.103579,0.579502,0.027607,0.041757,0.648308,nan
2.147023,0.532255,0.025375,0.044851,0.601849,nan
2.190468,0.485418,0.023175,0.048064,0.555951,nan
2.233913,0.439586,0.021038,0.051387,0.511235,nan
2.277358,0.395289,0.018992,0.054813,0.468251,nan
2.320803,0.352979,0.017062,0.058334,0.427467,nan
2.364247,0.313025,0.015270,0.061941,0.389267,nan
2.407692,0.275716,0.013637,0.065621,0.353949,nan
2.451137,0.241260,0.012180,0.069365,0.321728,nan
2.494582,0.209789,0.010914,0.073158,0.292738,nan
2.538027,0.181366,0.009854,0.076987,0.267044,nan
2.581472,0.155994,0.009012,0.080840,0.244647,nan
2.624916,0.133623,0.008402,0.084699,0.225496,nan
2.668361,0.114165,0.008037,0.088552,0.209500,nan
2.711806,0.097499,0.007931,0.092381,0.196535,nan
2.755251,0.083482,0.008097,0.096171,0.186459,nan
2.798696,0.071959,0.008554,0.099906,0.179116,nan
2.842140,0.062768,0.009317,0.103571,0.174346,nan
2.885585,0.055750,0.010408,0.107149,0.171992,nan
2.929030,0.050750,0.011845,0.110624,0.171905,nan
2.972475,0.047622,0.013650,0.113983,0.173945,nan
3.015920,0.046232,0.015844,0.117211,0.177982,nan
3.059365,0.046456,0.018445,0.120293,0.183899,nan
3.102809,0.048181,0.021473,0.123218,0.191589,nan
3.146254,0.051306,0.024940,0.125972,0.200950,nan
3.189699,0.055734,0.028856,0.128546,0.211886,nan
3.233144,0.061375,0.033225,0.130929,0.224298,nan
3.276589,0.068137,0.038042,0.133112,0.238083,nan
3.320033,0.075930,0.043294,0.135089,0.253128,nan
3.363478,0.084656,0.048958,0.136851,0.269306,nan
3.406923,0.094211,0.055001,0.138396,0.286475,nan
3.450368,0.104479,0.061377,0.139717,0.304469,nan
3.493813,0.115334,0.068030,0.140813,0.323103,nan
3.537258,0.126637,0.074893,0.141683,0.342168,nan
3.580702,0.138237,0.081888,0.142325,0.361436,nan
3.624147,0.149972,0.088927,0.142741,0.380657,nan
3.667592,0.161671,0.095916,0.142932,0.399565,nan
3.711037,0.173155,0.102754,0.142901,0.417886,nan
3.754482,0.184243,0.109338,0.142651,0.435336,nan
3.797926,0.194755,0.115564,0.142187,0.451635,nan
3.841371,0.204514,0.121328,0.141515,0.466511,nan
3.884816,0.213355,0.126536,0.140639,0.479705,nan
3.928261,0.221125,0.131097,0.139567,0.490981,nan
3.971706,0.227690,0.134933,0.138305,0.500135,nan
4.015151,0.232936,0.137979,0.136861,0.506994,nan
4.058595,0.236776,0.140184,0.135242,0.511427,nan
4.102040,0.239150,0.141513,0.133457,0.513347,nan
4.145485,0.240024,0.141949,0.131513,0.512712,nan
4.188930,0.239396,0.141490,0.129420,0.509528,nan
4.232375,0.237291,0.140155,0.127185,0.503844,nan
4.275819,0.233762,0.137976,0.124818,0.495756,nan
4.319264,0.228887,0.135000,0.122328,0.485399,nan
4.362709,0.222766,0.131290,0.119724,0.472943,nan
4.406154,0.215518,0.126917,0.117014,0.458589,nan
4.449599,0.207278,0.121962,0.114207,0.442562,nan
4.493043,0.198189,0.116512,0.111313,0.425102,nan
4.536488,0.188404,0.110660,0.108341,0.406463,nan
4.579933,0.178078,0.104496,0.105300,0.386901,nan
4.623378,0.167363,0.098114,0.102198,0.366670,nan
4.666823,0.156410,0.091601,0.099045,0.346017,nan
4.710268,0.145358,0.085041,0.095849,0.325177,nan
4.753712,0.134339,0.078513,0.092620,0.304368,nan
4.797157,0.123474,0.072086,0.089366,0.283788,nan
4.840602,0.112866,0.065822,0.086095,0.263614,nan
4.884047,0.102608,0.059774,0.082817,0.244000,nan
4.927492,0.092776,0.053987,0.079540,0.225074,nan
