E,I
525.053481,0.000364
525.103137,0.000376
525.152792,0.000388
525.202448,0.000401
525.252104,0.000414
525.301759,0.000427
525.351415,0.000441
525.401070,0.000455
525.450726,0.000469
525.500382,0.000484
525.550037,0.000500
525.599693,0.000516
525.649349,0.000532
525.699004,0.000549
525.748660,0.000567
525.798315,0.000585
525.847971,0.000603
525.897627,0.000623
525.947282,0.000642
525.996938,0.000663
526.046594,0.000684
526.096249,0.000706
526.145905,0.000729
526.195560,0.000753
526.245216,0.000777
526.294872,0.000802
526.344527,0.000828
526.394183,0.000856
526.443838,0.000884
526.493494,0.000913
526.543150,0.000943
526.592805,0.000975
526.642461,0.001008
526.692117,0.001042
526.741772,0.001077
526.791428,0.001114
526.841083,0.001153
526.890739,0.001193
526.940395,0.001235
526.990050,0.001279
527.039706,0.001325
527.089362,0.001372
527.139017,0.001423
527.188673,0.001475
527.238328,0.001530
527.287984,0.001587
527.337640,0.001648
527.387295,0.001711
527.436951,0.001778
527.486606,0.001848
527.536262,0.001922
527.585918,0.001999
527.635573,0.002082
527.685229,0.002168
527.734885,0.002260
527.784540,0.002357
527.834196,0.002460
527.883851,0.002570
527.933507,0.002686
527.983163,0.002810
528.032818,0.002942
528.082474,0.003083
528.132130,0.003234
528.181785,0.003396
528.231441,0.003570
528.281096,0.003757
528.330752,0.003959
528.380408,0.004178
528.430063,0.004415
528.479719,0.004673
528.529375,0.004955
528.579030,0.005263
528.628686,0.005603
528.678341,0.005977
528.727997,0.006394
528.777653,0.006857
528.827308,0.007377
528.876964,0.007963
528.926619,0.008627
528.976275,0.009384
529.025931,0.010251
529.075586,0.011249
529.125242,0.012404
529.174898,0.013746
529.224553,0.015309
529.274209,0.017133
529.323864,0.019265
529.373520,0.021756
529.423176,0.024662
529.472831,0.028043
529.522487,0.031963
529.572143,0.036483
529.621798,0.041665
529.671454,0.047562
529.721109,0.054217
529.770765,0.061659
529.820421,0.069896
529.870076,0.078909
529.919732,0.088651
529.969388,0.099043
530.019043,0.109966
530.068699,0.121269
530.118354,0.132761
530.168010,0.144224
530.217666,0.155412
530.267321,0.166061
530.316977,0.175901
530.366632,0.184667
530.416288,0.192108
530.465944,0.198004
530.515599,0.202176
530.565255,0.204493
530.614911,0.204881
530.664566,0.203329
530.714222,0.199886
530.763877,0.194659
530.813533,0.187811
530.863189,0.179546
530.912844,0.170104
530.962500,0.159746
531.012156,0.148741
531.061811,0.137358
531.111467,0.125849
531.161122,0.114446
531.210778,0.103351
531.260434,0.092731
531.310089,0.082718
531.359745,0.073406
531.409401,0.064856
531.459056,0.057096
531.508712,0.050129
531.558367,0.043933
531.608023,0.038472
531.657679,0.033694
531.707334,0.029542
531.756990,0.025953
531.806645,0.022865
531.856301,0.020216
