E,I32,I12,Ibg,Itot
480.000000,0.001986,0.000000,0.000000,0.000869
480.234114,0.002048,0.000002,0.000000,0.000933
480.468227,0.002112,0.000005,0.000000,0.001000
480.702341,0.002179,0.000008,0.000000,0.001070
480.936455,0.002249,0.000010,0.000000,0.001142
481.170569,0.002321,0.000013,0.000000,0.001217
481.404682,0.002397,0.000015,0.000000,0.001296
481.638796,0.002476,0.000018,0.000000,0.001378
481.872910,0.002558,0.000021,0.000000,0.001463
482.107023,0.002644,0.000024,0.000000,0.001552
482.341137,0.002734,0.000027,0.000000,0.001644
482.575251,0.002828,0.000030,0.000000,0.001741
482.809365,0.002926,0.000033,0.000000,0.001843
483.043478,0.003029,0.000036,0.000000,0.001949
483.277592,0.003137,0.000039,0.000000,0.002060
483.511706,0.003250,0.000042,0.000000,0.002176
483.745819,0.003369,0.000045,0.000000,0.002299
483.979933,0.003494,0.000048,0.000000,0.002427
484.214047,0.003626,0.000051,0.000000,0.002562
484.448161,0.003764,0.000055,0.000000,0.002704
484.682274,0.003910,0.000058,0.000000,0.002853
484.916388,0.004064,0.000062,0.000000,0.003011
485.150502,0.004227,0.000065,0.000000,0.003178
485.384615,0.004399,0.000069,0.000000,0.003354
485.618729,0.004582,0.000072,0.000000,0.003540
485.852843,0.004775,0.000076,0.000000,0.003737
486.086957,0.004981,0.000080,0.000000,0.003947
486.321070,0.005200,0.000084,0.000000,0.004170
486.555184,0.005433,0.000088,0.000000,0.004407
486.789298,0.005681,0.000092,0.000000,0.004660
487.023411,0.005947,0.000096,0.000000,0.004930
487.257525,0.006231,0.000100,0.000000,0.005219
487.491639,0.006537,0.000104,0.000000,0.005529
487.725753,0.006865,0.000108,0.000000,0.005862
487.959866,0.007219,0.000113,0.000000,0.006220
488.193980,0.007601,0.000117,0.000000,0.006607
488.428094,0.008015,0.000122,0.000000,0.007026
488.662207,0.008464,0.000126,0.000000,0.007481
488.896321,0.008954,0.000131,0.000000,0.007976
489.130435,0.009489,0.000136,0.000000,0.008516
489.364548,0.010076,0.000141,0.000000,0.009109
489.598662,0.010722,0.000146,0.000000,0.009761
489.832776,0.011438,0.000151,0.000000,0.010483
490.066890,0.012234,0.000156,0.000000,0.011285
490.301003,0.013126,0.000162,0.000000,0.012183
490.535117,0.014132,0.000167,0.000000,0.013196
