E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-12.000000,0.217963,-0.217963,0.020377,-0.020377,0.078094,-0.078094,0.316434,-0.316434
-11.919732,0.220285,-0.220285,0.020807,-0.020807,0.082155,-0.082155,0.323246,-0.323246
-11.839465,0.219962,-0.219962,0.020985,-0.020985,0.086622,-0.086622,0.327569,-0.327569
-11.759197,0.217015,-0.217015,0.020915,-0.020915,0.091559,-0.091559,0.329489,-0.329489
-11.678930,0.211581,-0.211581,0.020615,-0.020615,0.097042,-0.097042,0.329238,-0.329238
-11.598662,0.203900,-0.203900,0.020117,-0.020117,0.103158,-0.103158,0.327176,-0.327176
-11.518395,0.194297,-0.194297,0.019464,-0.019464,0.110013,-0.110013,0.323775,-0.323775
-11.438127,0.183161,-0.183161,0.018703,-0.018703,0.117728,-0.117728,0.319591,-0.319591
-11.357860,0.170910,-0.170910,0.017884,-0.017884,0.126441,-0.126441,0.315235,-0.315235
-11.277592,0.157970,-0.157970,0.017057,-0.017057,0.136316,-0.136316,0.311343,-0.311343
-11.197324,0.144748,-0.144748,0.016263,-0.016263,0.147536,-0.147536,0.308547,-0.308547
-11.117057,0.131608,-0.131608,0.015539,-0.015539,0.160312,-0.160312,0.307459,-0.307459
-11.036789,0.118860,-0.118860,0.014911,-0.014911,0.174881,-0.174881,0.308652,-0.308652
-10.956522,0.106752,-0.106752,0.014396,-0.014396,0.191507,-0.191507,0.312654,-0.312654
-10.876254,0.095462,-0.095462,0.014002,-0.014002,0.210484,-0.210484,0.319947,-0.319947
-10.795987,0.085106,-0.085106,0.013731,-0.013731,0.232134,-0.232134,0.330971,-0.330971
-10.715719,0.075743,-0.075743,0.013579,-0.013579,0.256809,-0.256809,0.346131,-0.346131
-10.635452,0.067385,-0.067385,0.013538,-0.013538,0.284884,-0.284884,0.365807,-0.365807
-10.555184,0.060003,-0.060003,0.013599,-0.013599,0.316761,-0.316761,0.390363,-0.390363
-10.474916,0.053544,-0.053544,0.013751,-0.013751,0.352861,-0.352861,0.420156,-0.420156
-10.394649,0.047937,-0.047937,0.013982,-0.013982,0.393619,-0.393619,0.455538,-0.455538
-10.314381,0.043099,-0.043099,0.014285,-0.014285,0.439477,-0.439477,0.496861,-0.496861
-10.234114,0.038947,-0.038947,0.014650,-0.014650,0.490878,-0.490878,0.544475,-0.544475
-10.153846,0.035398,-0.035398,0.015072,-0.015072,0.548251,-0.548251,0.598721,-0.598721
-10.073579,0.032373,-0.032373,0.015546,-0.015546,0.612007,-0.612007,0.659926,-0.659926
-9.993311,0.029804,-0.029804,0.016067,-0.016067,0.682520,-0.682520,0.728391,-0.728391
-9.913043,0.027626,-0.027626,0.016636,-0.016636,0.760114,-0.760114,0.804376,-0.804376
-9.832776,0.025786,-0.025786,0.017249,-0.017249,0.845052,-0.845052,0.888087,-0.888087
-9.752508,0.024237,-0.024237,0.017908,-0.017908,0.937517,-0.937517,0.979663,-0.979663
-9.672241,0.022939,-0.022939,0.018614,-0.018614,1.037601,-1.037601,1.079154,-1.079154
-9.591973,0.021858,-0.021858,0.019369,-0.019369,1.145286,-1.145286,1.186513,-1.186513
-9.511706,0.020968,-0.020968,0.020174,-0.020174,1.260438,-1.260438,1.301580,-1.301580
-9.431438,0.020246,-0.020246,0.021032,-0.021032,1.382792,-1.382792,1.424070,-1.424070
-9.351171,0.019671,-0.019671,0.021948,-0.021948,1.511949,-1.511949,1.553569,-1.553569
-9.270903,0.019230,-0.019230,0.022926,-0.022926,1.647375,-1.647375,1.689531,-1.689531
-9.190635,0.018908,-0.018908,0.023970,-0.023970,1.788398,-1.788398,1.831277,-1.831277
-9.110368,0.018697,-0.018697,0.025086,-0.025086,1.934223,-1.934223,1.978006,-1.978006
-9.030100,0.018588,-0.018588,0.026281,-0.026281,2.083939,-2.083939,2.128808,-2.128808
-8.949833,0.018574,-0.018574,0.027560,-0.027560,2.236544,-2.236544,2.282679,-2.282679
-8.869565,0.018650,-0.018650,0.028934,-0.028934,2.390965,-2.390965,2.438549,-2.438549
-8.789298,0.018813,-0.018813,0.030410,-0.030410,2.546089,-2.546089,2.595311,-2.595311
-8.709030,0.019060,-0.019060,0.031998,-0.031998,2.700790,-2.700790,2.751849,-2.751849
-8.628763,0.019390,-0.019390,0.033712,-0.033712,2.853970,-2.853970,2.907072,-2.907072
-8.548495,0.019803,-0.019803,0.035565,-0.035565,3.004582,-3.004582,3.059950,-3.059950
-8.468227,0.020298,-0.020298,0.037572,-0.037572,3.151668,-3.151668,3.209538,-3.209538
-8.387960,0.020878,-0.020878,0.039751,-0.039751,3.294379,-3.294379,3.355008,-3.355008
-8.307692,0.021545,-0.021545,0.042123,-0.042123,3.432000,-3.432000,3.495668,-3.495668
-8.227425,0.022303,-0.022303,0.044712,-0.044712,3.563953,-3.563953,3.630968,-3.630968
