E,Id,Ip,Ioct,Itot,Ibg
-3.000000,0.000000,0.000032,0.000000,0.000000,nan
-2.939799,0.000124,0.000034,0.000010,0.000136,nan
-2.879599,0.000252,0.000036,0.000021,0.000276,nan
-2.819398,0.000386,0.000038,0.000031,0.000422,nan
-2.759197,0.000524,0.000039,0.000042,0.000573,nan
-2.698997,0.000668,0.000041,0.000053,0.000730,nan
-2.638796,0.000818,0.000043,0.000064,0.000892,nan
-2.578595,0.000973,0.000045,0.000075,0.001061,nan
-2.518395,0.001135,0.000047,0.000087,0.001236,nan
-2.458194,0.001303,0.000049,0.000099,0.001419,nan
-2.397993,0.001479,0.000051,0.000111,0.001609,nan
-2.337793,0.001661,0.000054,0.000123,0.001806,nan
-2.277592,0.001852,0.000056,0.000136,0.002012,nan
-2.217391,0.002051,0.000058,0.000149,0.002226,nan
-2.157191,0.002260,0.000061,0.000162,0.002450,nan
-2.096990,0.002477,0.000063,0.000175,0.002683,nan
-2.036789,0.002705,0.000066,0.000189,0.002927,nan
-1.976589,0.002943,0.000069,0.000203,0.003183,nan
-1.916388,0.003193,0.000072,0.000217,0.003450,nan
-1.856187,0.003455,0.000075,0.000232,0.003729,nan
-1.795987,0.003730,0.000078,0.000247,0.004022,nan
-1.735786,0.004020,0.000081,0.000262,0.004330,nan
-1.675585,0.004324,0.000084,0.000277,0.004653,nan
-1.615385,0.004644,0.000088,0.000293,0.004993,nan
-1.555184,0.004982,0.000092,0.000309,0.005351,nan
-1.494983,0.005338,0.000095,0.000326,0.005727,nan
-1.434783,0.005715,0.000099,0.000343,0.006125,nan
-1.374582,0.006113,0.000104,0.000360,0.006545,nan
-1.314381,0.006535,0.000108,0.000378,0.006989,nan
-1.254181,0.006983,0.000113,0.000396,0.007460,nan
-1.193980,0.007459,0.000117,0.000415,0.007959,nan
-1.133779,0.007965,0.000122,0.000434,0.008489,nan
-1.073579,0.008505,0.000128,0.000453,0.009053,nan
-1.013378,0.009080,0.000133,0.000473,0.009655,nan
-0.953177,0.009696,0.000139,0.000494,0.010297,nan
-0.892977,0.010356,0.000146,0.000515,0.010984,nan
-0.832776,0.011065,0.000152,0.000536,0.011722,nan
-0.772575,0.011829,0.000159,0.000558,0.012514,nan
-0.712375,0.012652,0.000167,0.000580,0.013368,nan
-0.652174,0.013544,0.000175,0.000604,0.014290,nan
-0.591973,0.014511,0.000183,0.000627,0.015290,nan
-0.531773,0.015565,0.000193,0.000652,0.016378,nan
-0.471572,0.016717,0.000203,0.000676,0.017564,nan
-0.411371,0.017982,0.000213,0.000702,0.018865,nan
-0.351171,0.019375,0.000225,0.000728,0.020297,nan
-0.290970,0.020920,0.000238,0.000755,0.021881,nan
-0.230769,0.022639,0.000252,0.000783,0.023642,nan
-0.170569,0.024566,0.000267,0.000811,0.025613,nan
-0.110368,0.026739,0.000284,0.000841,0.027832,nan
-0.050167,0.029204,0.000303,0.000871,0.030346,nan
0.010033,0.032020,0.000325,0.000902,0.033215,nan
0.070234,0.035259,0.000349,0.000933,0.036510,nan
0.130435,0.039009,0.000377,0.000966,0.040320,nan
0.190635,0.043377,0.000408,0.001000,0.044754,nan
0.250836,0.048493,0.000445,0.001034,0.049942,nan
0.311037,0.054513,0.000488,0.001070,0.056040,nan
0.371237,0.061621,0.000538,0.001107,0.063235,nan
0.431438,0.070032,0.000596,0.001145,0.071743,nan
0.491639,0.079994,0.000665,0.001184,0.081814,nan
0.551839,0.091787,0.000746,0.001224,0.093728,nan
0.612040,0.105720,0.000840,0.001266,0.107797,nan
0.672241,0.122124,0.000951,0.001309,0.124356,nan
0.732441,0.141348,0.001080,0.001353,0.143754,nan
0.792642,0.163741,0.001230,0.001399,0.166343,nan
0.852843,0.189637,0.001403,0.001446,0.192460,nan
0.913043,0.219333,0.001600,0.001495,0.222403,nan
0.973244,0.253065,0.001824,0.001546,0.256410,nan
1.033445,0.290980,0.002074,0.001598,0.294630,nan
1.093645,0.333107,0.002353,0.001653,0.337090,nan
1.153846,0.379326,0.002658,0.001709,0.383673,nan
1.214047,0.429349,0.002988,0.001767,0.434086,nan
1.274247,0.482694,0.003339,0.001827,0.487844,nan
1.334448,0.538676,0.003708,0.001890,0.544259,nan
1.394649,0.596405,0.004089,0.001955,0.602436,nan
1.454849,0.654803,0.004474,0.002023,0.661289,nan
1.515050,0.712621,0.004856,0.002093,0.719562,nan
1.575251,0.768489,0.005227,0.002166,0.775875,nan
1.635452,0.820958,0.005575,0.002243,0.828770,nan
1.695652,0.868569,0.005893,0.002322,0.876780,nan
1.755853,0.909919,0.006171,0.002405,0.918492,nan
1.816054,0.943732,0.006401,0.002491,0.952623,nan
1.876254,0.968930,0.006577,0.002582,0.978088,nan
1.936455,0.984687,0.006692,0.002676,0.994055,nan
1.996656,0.990481,0.006744,0.002775,1.000000,nan
2.056856,0.986122,0.006731,0.002878,0.995732,nan
2.117057,0.971764,0.006655,0.002987,0.981405,nan
2.177258,0.947894,0.006518,0.003102,0.957512,nan
2.237458,0.915307,0.006327,0.003222,0.924853,nan
2.297659,0.875058,0.006087,0.003349,0.884491,nan
2.357860,0.828407,0.005808,0.003482,0.837692,nan
