E,I
525.007080,0.000000
525.040503,0.000013
525.073927,0.000026
525.107350,0.000040
525.140774,0.000054
525.174197,0.000068
525.207620,0.000082
525.241044,0.000097
525.274467,0.000112
525.307891,0.000127
525.341314,0.000142
525.374737,0.000158
525.408161,0.000174
525.441584,0.000191
525.475007,0.000208
525.508431,0.000225
525.541854,0.000242
525.575278,0.000260
525.608701,0.000278
525.642124,0.000297
525.675548,0.000316
525.708971,0.000335
525.742394,0.000355
525.775818,0.000375
525.809241,0.000396
525.842665,0.000417
525.876088,0.000438
525.909511,0.000460
525.942935,0.000483
525.976358,0.000506
526.009782,0.000529
526.043205,0.000553
526.076628,0.000578
526.110052,0.000603
526.143475,0.000629
526.176898,0.000655
526.210322,0.000682
526.243745,0.000710
526.277169,0.000739
526.310592,0.000768
526.344015,0.000797
526.377439,0.000828
526.410862,0.000859
526.444286,0.000891
526.477709,0.000924
526.511132,0.000958
526.544556,0.000992
526.577979,0.001028
526.611402,0.001064
526.644826,0.001101
526.678249,0.001140
526.711673,0.001179
526.745096,0.001220
526.778519,0.001261
526.811943,0.001304
526.845366,0.001348
526.878789,0.001393
526.912213,0.001440
526.945636,0.001488
526.979060,0.001537
527.012483,0.001588
527.045906,0.001640
527.079330,0.001694
527.112753,0.001750
527.146177,0.001807
527.179600,0.001866
527.213023,0.001927
527.246447,0.001990
527.279870,0.002055
527.313293,0.002122
527.346717,0.002191
527.380140,0.002263
527.413564,0.002337
527.446987,0.002414
527.480410,0.002493
527.513834,0.002575
527.547257,0.002660
527.580681,0.002749
527.614104,0.002840
527.647527,0.002935
527.680951,0.003033
527.714374,0.003135
527.747797,0.003242
527.781221,0.003352
527.814644,0.003467
527.848068,0.003586
527.881491,0.003711
527.914914,0.003840
527.948338,0.003976
527.981761,0.004117
528.015184,0.004264
528.048608,0.004418
528.082031,0.004579
528.115455,0.004747
528.148878,0.004924
528.182301,0.005109
528.215725,0.005303
528.249148,0.005507
528.282572,0.005721
528.315995,0.005947
528.349418,0.006185
528.382842,0.006436
528.416265,0.006701
528.449688,0.006982
528.483112,0.007279
528.516535,0.007594
528.549959,0.007929
528.583382,0.008286
528.616805,0.008666
528.650229,0.009073
528.683652,0.009508
528.717076,0.009974
528.750499,0.010476
528.783922,0.011017
528.817346,0.011602
528.850769,0.012234
528.884192,0.012921
528.917616,0.013669
528.951039,0.014485
528.984463,0.015377
529.017886,0.016356
529.051309,0.017432
529.084733,0.018616
529.118156,0.019924
529.151579,0.021369
529.185003,0.022970
529.218426,0.024744
529.251850,0.026714
529.285273,0.028900
529.318696,0.031328
529.352120,0.034025
529.385543,0.037018
529.418967,0.040338
529.452390,0.044014
529.485813,0.048080
529.519237,0.052568
529.552660,0.057509
529.586083,0.062936
529.619507,0.068877
529.652930,0.075361
529.686354,0.082410
529.719777,0.090045
529.753200,0.098277
529.786624,0.107114
529.820047,0.116553
529.853471,0.126584
529.886894,0.137186
529.920317,0.148325
529.953741,0.159958
529.987164,0.172027
530.020587,0.184464
530.054011,0.197185
530.087434,0.210098
530.120858,0.223096
530.154281,0.236063
530.187704,0.248875
530.221128,0.261399
530.254551,0.273501
530.287974,0.285040
530.321398,0.295879
530.354821,0.305884
530.388245,0.314924
530.421668,0.322880
530.455091,0.329645
530.488515,0.335124
530.521938,0.339240
530.555362,0.341935
530.588785,0.343170
530.622208,0.342926
530.655632,0.341209
530.689055,0.338041
530.722478,0.333469
530.755902,0.327558
530.789325,0.320390
530.822749,0.312065
530.856172,0.302694
530.889595,0.292401
530.923019,0.281316
530.956442,0.269577
530.989866,0.257321
531.023289,0.244687
531.056712,0.231810
531.090136,0.218820
531.123559,0.205838
531.156982,0.192977
531.190406,0.180340
531.223829,0.168016
531.257253,0.156083
531.290676,0.144607
531.324099,0.133641
531.357523,0.123224
531.390946,0.113386
531.424369,0.104144
531.457793,0.095506
531.491216,0.087471
531.524640,0.080031
531.558063,0.073170
531.591486,0.066868
531.624910,0.061099
531.658333,0.055836
531.691757,0.051047
531.725180,0.046702
531.758603,0.042768
531.792027,0.039212
531.825450,0.036004
531.858873,0.033112
531.892297,0.030506
531.925720,0.028161
531.959144,0.026048
531.992567,0.024146
532.025990,0.022431
532.059414,0.020883
532.092837,0.019485
532.126261,0.018220
532.159684,0.017072
532.193107,0.016030
532.226531,0.015081
532.259954,0.014215
532.293377,0.013423
532.326801,0.012696
532.360224,0.012027
532.393648,0.011411
532.427071,0.010842
532.460494,0.010314
532.493918,0.009825
532.527341,0.009369
532.560764,0.008944
532.594188,0.008546
532.627611,0.008174
532.661035,0.007825
532.694458,0.007497
532.727881,0.007188
532.761305,0.006896
532.794728,0.006621
532.828152,0.006361
532.861575,0.006114
532.894998,0.005881
532.928422,0.005659
532.961845,0.005448
532.995268,0.005248
533.028692,0.005057
533.062115,0.004875
533.095539,0.004701
533.128962,0.004535
533.162385,0.004377
533.195809,0.004225
533.229232,0.004080
533.262656,0.003941
533.296079,0.003808
533.329502,0.003680
533.362926,0.003558
533.396349,0.003440
533.429772,0.003327
533.463196,0.003218
533.496619,0.003113
533.530043,0.003013
533.563466,0.002915
533.596889,0.002822
533.630313,0.002732
533.663736,0.002645
533.697159,0.002561
533.730583,0.002480
533.764006,0.002402
533.797430,0.002326
533.830853,0.002253
533.864276,0.002182
533.897700,0.002114
533.931123,0.002048
533.964547,0.001983
533.997970,0.001921
534.031393,0.001861
534.064817,0.001803
534.098240,0.001746
534.131663,0.001692
534.165087,0.001638
534.198510,0.001587
534.231934,0.001537
534.265357,0.001488
534.298780,0.001441
534.332204,0.001395
534.365627,0.001350
534.399051,0.001307
534.432474,0.001265
534.465897,0.001223
534.499321,0.001184
534.532744,0.001145
534.566167,0.001107
534.599591,0.001070
534.633014,0.001034
534.666438,0.000999
534.699861,0.000965
534.733284,0.000932
534.766708,0.000899
534.800131,0.000868
534.833554,0.000837
534.866978,0.000807
534.900401,0.000778
534.933825,0.000749
534.967248,0.000721
535.000671,0.000694
