E32,I32,E12,I12
462.400000,0.720971,484.800000,0.360485
463.344000,0.022585,485.744000,0.011293
466.105000,0.046428,488.505000,0.023214
468.425000,0.001356,490.825000,0.000678
472.495000,0.164931,494.895000,0.082465
472.586000,0.004010,494.986000,0.002005
473.197000,0.009740,495.597000,0.004870
475.655000,0.008374,498.055000,0.004187
477.020000,0.000836,499.420000,0.000418
481.225000,0.016637,503.625000,0.008318
481.763000,0.001430,504.163000,0.000715
487.951000,0.001152,510.351000,0.000576
