E,I32,I12,Ibg,Itot
450.000000,0.013579,0.000000,0.000000,0.008920
450.200669,0.014071,0.000012,0.000000,0.009426
450.401338,0.014588,0.000024,0.000000,0.009958
450.602007,0.015132,0.000037,0.000000,0.010517
450.802676,0.015705,0.000049,0.000000,0.011105
451.003344,0.016309,0.000062,0.000000,0.011725
451.204013,0.016947,0.000075,0.000000,0.012379
451.404682,0.017621,0.000088,0.000000,0.013070
451.605351,0.018334,0.000102,0.000000,0.013800
451.806020,0.019090,0.000116,0.000000,0.014573
452.006689,0.019892,0.000130,0.000000,0.015393
452.207358,0.020743,0.000144,0.000000,0.016263
452.408027,0.021649,0.000159,0.000000,0.017188
452.608696,0.022615,0.000173,0.000000,0.018173
452.809365,0.023646,0.000188,0.000000,0.019223
453.010033,0.024748,0.000204,0.000000,0.020346
453.210702,0.025928,0.000219,0.000000,0.021548
453.411371,0.027196,0.000235,0.000000,0.022837
453.612040,0.028559,0.000251,0.000000,0.024223
453.812709,0.030028,0.000268,0.000000,0.025716
454.013378,0.031616,0.000284,0.000000,0.027328
454.214047,0.033337,0.000302,0.000000,0.029074
454.414716,0.035207,0.000319,0.000000,0.030970
454.615385,0.037245,0.000337,0.000000,0.033035
454.816054,0.039473,0.000355,0.000000,0.035293
455.016722,0.041919,0.000373,0.000000,0.037768
455.217391,0.044613,0.000392,0.000000,0.040494
455.418060,0.047593,0.000411,0.000000,0.043507
455.618729,0.050904,0.000431,0.000000,0.046853
455.819398,0.054599,0.000451,0.000000,0.050587
456.020067,0.058745,0.000471,0.000000,0.054772
456.220736,0.063418,0.000492,0.000000,0.059488
456.421405,0.068713,0.000513,0.000000,0.064829
456.622074,0.074742,0.000534,0.000000,0.070908
456.822742,0.081638,0.000556,0.000000,0.077860
457.023411,0.089561,0.000579,0.000000,0.085842
457.224080,0.098695,0.000602,0.000000,0.095043
457.424749,0.109257,0.000625,0.000000,0.105678
457.625418,0.121490,0.000649,0.000000,0.117993
457.826087,0.135669,0.000674,0.000000,0.132263
458.026756,0.152095,0.000699,0.000000,0.148792
458.227425,0.171088,0.000724,0.000000,0.167901
458.428094,0.192979,0.000750,0.000000,0.189921
458.628763,0.218093,0.000777,0.000000,0.215180
458.829431,0.246731,0.000804,0.000000,0.243982
459.030100,0.279149,0.000832,0.000000,0.276581
459.230769,0.315527,0.000861,0.000000,0.313159
