Edup,Idup,Eddn,Iddn,Epup,Ipup,Epdn,Ipdn,Eoctup,Ioctup,Eoctdn,Ioctdn
-28.947000,0.000274,-19.396000,-0.007394,-11.304000,0.006162,-10.506000,-0.006995,-8.690000,1.000000,-8.690000,-1.000000
-28.925000,0.000154,-15.532000,-0.001797,-11.076000,0.010411,-6.551000,-0.002530,-5.670000,1.955000,-5.670000,-1.955000
-28.438000,0.000000,-14.303000,-0.004897,-5.095000,0.353117,-4.475000,-0.200000,-7.700000,2.977500,-7.700000,-2.977500
-27.263000,0.000002,-13.941000,-0.003541,-4.134000,1.799479,-3.986000,-0.591341,-7.867000,3.000000,-7.867000,-3.000000
-20.243000,0.009466,-12.006000,-0.001293,-2.258000,0.022364,-1.870000,-0.008390,-6.610000,3.000000,-6.610000,-3.000000
-20.064000,0.012491,-11.946000,-0.000266,-1.826000,0.051020,-1.794000,-0.002328,-6.523000,3.000000,-6.523000,-3.000000
-14.948000,0.031199,-10.506000,-0.125960,-0.817000,0.753935,-0.200000,-0.187626,-6.155000,3.000000,-6.155000,-3.000000
-14.076000,0.024033,-9.093000,-0.000008,4.010000,0.434649,1.147000,-0.214970,,,,
-12.405000,0.003032,-9.043000,-0.000017,9.212000,0.000736,4.858000,-0.348853,,,,
-11.976000,0.009433,-7.011000,-0.000107,10.705000,0.001561,7.707000,-0.000458,,,,
-11.304000,0.137139,-6.988000,-0.000211,11.775000,0.001513,8.200000,-0.000639,,,,
-11.076000,0.219506,-6.752000,-0.000125,13.034000,0.000511,10.710000,-0.000486,,,,
-9.550000,0.002665,-6.731000,-0.000063,14.994000,0.003365,11.206000,-0.001355,,,,
-8.918000,0.002257,-6.551000,-0.008894,,,12.276000,-0.001039,,,,
-5.095000,0.357142,-4.475000,-0.080916,,,12.363000,-0.001439,,,,
-4.134000,0.336696,-3.986000,-0.070143,,,14.305000,-0.000361,,,,
-2.258000,0.010480,-1.870000,-0.008574,,,15.577000,-0.003692,,,,
-1.826000,0.045222,-1.794000,-0.005366,,,,,,,,
-0.817000,1.792893,-0.200000,-0.684157,,,,,,,,
4.010000,1.404463,1.147000,-1.597620,,,,,,,,
9.212000,0.001974,4.858000,-1.483798,,,,,,,,
9.736000,0.003160,6.632000,-0.010029,,,,,,,,
10.705000,0.005076,7.707000,-0.004331,,,,,,,,
10.709000,0.000041,7.709000,-0.000035,,,,,,,,
11.775000,0.028790,8.200000,-0.005631,,,,,,,,
13.034000,0.011668,8.625000,-0.010568,,,,,,,,
14.994000,0.095259,10.178000,-0.002167,,,,,,,,
25.478000,0.002349,10.197000,-0.004895,,,,,,,,
27.645000,0.002389,10.666000,-0.008603,,,,,,,,
,,10.710000,-0.001762,,,,,,,,
,,11.206000,-0.005570,,,,,,,,
,,12.276000,-0.021715,,,,,,,,
,,12.363000,-0.134103,,,,,,,,
,,14.305000,-0.009333,,,,,,,,
,,15.577000,-0.111502,,,,,,,,
,,20.496000,-0.000714,,,,,,,,
,,20.945000,-0.000067,,,,,,,,
,,20.946000,-0.000067,,,,,,,,
,,23.733000,-0.000117,,,,,,,,
,,23.746000,-0.000117,,,,,,,,
,,24.954000,-0.005665,,,,,,,,
,,25.675000,-0.002350,,,,,,,,
,,27.889000,-0.003533,,,,,,,,
,,37.416000,-0.000017,,,,,,,,
,,38.411000,-0.000003,,,,,,,,
,,38.412000,-0.000003,,,,,,,,
