E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-12.000000,0.076390,-0.001839,0.004510,-0.000000,0.033661,-0.033661,0.114561,-0.035500
-11.919732,0.085426,-0.003200,0.005357,-0.000084,0.035265,-0.035265,0.126047,-0.038549
-11.839465,0.094656,-0.004831,0.006279,-0.000188,0.037023,-0.037023,0.137958,-0.042041
-11.759197,0.103856,-0.006777,0.007254,-0.000315,0.038962,-0.038962,0.150072,-0.046055
-11.678930,0.112765,-0.009083,0.008252,-0.000473,0.041118,-0.041118,0.162134,-0.050674
-11.598662,0.121099,-0.011789,0.009235,-0.000665,0.043529,-0.043529,0.173863,-0.055983
-11.518395,0.128566,-0.014922,0.010161,-0.000896,0.046248,-0.046248,0.184974,-0.062065
-11.438127,0.134881,-0.018492,0.010987,-0.001169,0.049333,-0.049333,0.195201,-0.068995
-11.357860,0.139789,-0.022484,0.011671,-0.001487,0.052861,-0.052861,0.204321,-0.076831
-11.277592,0.143082,-0.026853,0.012180,-0.001846,0.056918,-0.056918,0.212180,-0.085617
-11.197324,0.144615,-0.031519,0.012487,-0.002243,0.061612,-0.061612,0.218713,-0.095374
-11.117057,0.144316,-0.036367,0.012579,-0.002668,0.067069,-0.067069,0.223964,-0.106105
-11.036789,0.142197,-0.041248,0.012457,-0.003108,0.073439,-0.073439,0.228093,-0.117796
-10.956522,0.138350,-0.045985,0.012135,-0.003548,0.080897,-0.080897,0.231381,-0.130430
-10.876254,0.132939,-0.050384,0.011639,-0.003967,0.089645,-0.089645,0.234223,-0.143996
-10.795987,0.126191,-0.054246,0.011006,-0.004346,0.099920,-0.099920,0.237117,-0.158512
-10.715719,0.118377,-0.057383,0.010277,-0.004665,0.111989,-0.111989,0.240644,-0.174037
-10.635452,0.109793,-0.059636,0.009496,-0.004907,0.126157,-0.126157,0.245447,-0.190700
-10.555184,0.100740,-0.060884,0.008706,-0.005059,0.142765,-0.142765,0.252211,-0.208708
-10.474916,0.091506,-0.061061,0.007943,-0.005115,0.162192,-0.162192,0.261640,-0.228368
-10.394649,0.082351,-0.060161,0.007239,-0.005073,0.184854,-0.184854,0.274444,-0.250088
-10.314381,0.073497,-0.058236,0.006615,-0.004939,0.211204,-0.211204,0.291316,-0.274380
-10.234114,0.065118,-0.055393,0.006086,-0.004726,0.241730,-0.241730,0.312934,-0.301848
-10.153846,0.057343,-0.051782,0.005658,-0.004449,0.276945,-0.276945,0.339947,-0.333177
-10.073579,0.050252,-0.047587,0.005330,-0.004128,0.317391,-0.317391,0.372973,-0.369106
-9.993311,0.043885,-0.043004,0.005097,-0.003783,0.363620,-0.363620,0.412602,-0.410408
-9.913043,0.038246,-0.038231,0.004950,-0.003435,0.416192,-0.416192,0.459388,-0.457857
-9.832776,0.033311,-0.033449,0.004879,-0.003099,0.475660,-0.475660,0.513850,-0.512207
