Ed,Id,Ep,Ip,Eoct,Ioct
20.243000,0.002640,11.304000,0.000069,8.690000,0.033465
20.064000,0.003484,11.076000,0.000116,5.670000,0.065425
19.396000,0.002062,10.506000,0.000078,7.700000,0.099643
15.532000,0.000501,6.551000,0.000028,7.867000,0.100396
14.948000,0.008701,5.095000,0.003939,6.610000,0.100396
14.303000,0.001366,4.475000,0.002231,6.523000,0.100396
14.076000,0.006702,4.134000,0.020073,6.155000,0.100396
13.941000,0.000987,3.986000,0.006597,,
12.405000,0.000846,2.258000,0.000249,,
12.006000,0.000325,1.870000,0.000094,,
11.976000,0.002631,1.826000,0.000569,,
11.304000,0.038245,1.794000,0.000026,,
11.076000,0.061216,0.817000,0.008410,,
10.506000,0.035128,0.200000,0.002093,,
9.550000,0.000743,,,,
8.918000,0.000630,,,,
6.551000,0.002480,,,,
5.095000,0.099599,,,,
4.475000,0.022566,,,,
4.134000,0.093898,,,,
3.986000,0.019559,,,,
2.258000,0.002923,,,,
1.870000,0.001962,,,,
1.826000,0.012611,,,,
1.794000,0.000598,,,,
0.817000,0.500000,,,,
0.200000,0.190776,,,,
