E,Id,Ip,Ioct,Itot,Ibg
-3.000000,0.000000,0.000113,0.000000,0.000000,nan
-2.939799,0.000186,0.000117,0.000008,0.000198,nan
-2.879599,0.000383,0.000121,0.000015,0.000407,nan
-2.819398,0.000591,0.000126,0.000023,0.000628,nan
-2.759197,0.000812,0.000131,0.000031,0.000861,nan
-2.698997,0.001047,0.000136,0.000039,0.001109,nan
-2.638796,0.001296,0.000141,0.000048,0.001371,nan
-2.578595,0.001561,0.000146,0.000056,0.001650,nan
-2.518395,0.001844,0.000152,0.000065,0.001948,nan
-2.458194,0.002146,0.000158,0.000074,0.002266,nan
-2.397993,0.002471,0.000165,0.000083,0.002605,nan
-2.337793,0.002819,0.000172,0.000092,0.002970,nan
-2.277592,0.003195,0.000179,0.000101,0.003363,nan
-2.217391,0.003602,0.000187,0.000111,0.003787,nan
-2.157191,0.004043,0.000195,0.000121,0.004246,nan
-2.096990,0.004525,0.000204,0.000131,0.004747,nan
-2.036789,0.005053,0.000214,0.000141,0.005295,nan
-1.976589,0.005636,0.000224,0.000151,0.005899,nan
-1.916388,0.006283,0.000236,0.000162,0.006568,nan
-1.856187,0.007008,0.000248,0.000173,0.007317,nan
-1.795987,0.007827,0.000262,0.000184,0.008160,nan
-1.735786,0.008760,0.000277,0.000195,0.009120,nan
-1.675585,0.009833,0.000294,0.000207,0.010223,nan
-1.615385,0.011082,0.000313,0.000219,0.011503,nan
-1.555184,0.012547,0.000336,0.000231,0.013002,nan
-1.494983,0.014283,0.000361,0.000244,0.014777,nan
-1.434783,0.016356,0.000391,0.000256,0.016892,nan
-1.374582,0.018848,0.000426,0.000269,0.019432,nan
-1.314381,0.021857,0.000468,0.000283,0.022497,nan
-1.254181,0.025505,0.000517,0.000297,0.026208,nan
-1.193980,0.029931,0.000576,0.000311,0.030708,nan
-1.133779,0.035299,0.000647,0.000325,0.036162,nan
-1.073579,0.041797,0.000732,0.000340,0.042761,nan
-1.013378,0.049635,0.000834,0.000355,0.050716,nan
-0.953177,0.059042,0.000955,0.000370,0.060262,nan
-0.892977,0.070266,0.001100,0.000386,0.071647,nan
-0.832776,0.083563,0.001271,0.000403,0.085134,nan
-0.772575,0.099196,0.001473,0.000419,0.100987,nan
-0.712375,0.117421,0.001710,0.000436,0.119468,nan
-0.652174,0.138478,0.001986,0.000454,0.140820,nan
-0.591973,0.162581,0.002304,0.000472,0.165262,nan
-0.531773,0.189906,0.002668,0.000491,0.192973,nan
-0.471572,0.220575,0.003082,0.000510,0.224078,nan
-0.411371,0.254649,0.003548,0.000529,0.258642,nan
-0.351171,0.292114,0.004068,0.000549,0.296652,nan
-0.290970,0.332871,0.004644,0.000570,0.338010,nan
-0.230769,0.376729,0.005274,0.000591,0.382525,nan
-0.170569,0.423395,0.005958,0.000613,0.429902,nan
-0.110368,0.472474,0.006692,0.000636,0.479743,nan
-0.050167,0.523459,0.007471,0.000659,0.531536,nan
0.010033,0.575739,0.008287,0.000683,0.584662,nan
0.070234,0.628595,0.009132,0.000707,0.638393,nan
0.130435,0.681209,0.009993,0.000733,0.691899,nan
0.190635,0.732674,0.010856,0.000759,0.744261,nan
0.250836,0.782012,0.011707,0.000786,0.794481,nan
0.311037,0.828192,0.012527,0.000814,0.841515,nan
0.371237,0.870163,0.013298,0.000842,0.884291,nan
0.431438,0.906885,0.014002,0.000872,0.921750,nan
0.491639,0.937370,0.014618,0.000903,0.952886,nan
0.551839,0.960725,0.015131,0.000934,0.976787,nan
0.612040,0.976196,0.015524,0.000967,0.992686,nan
0.672241,0.983215,0.015785,0.001001,1.000000,nan
0.732441,0.981430,0.015905,0.001035,0.998370,nan
0.792642,0.970740,0.015880,0.001072,0.987691,nan
0.852843,0.951312,0.015710,0.001109,0.968127,nan
0.913043,0.923578,0.015401,0.001148,0.940120,nan
0.973244,0.888229,0.014962,0.001188,0.904368,nan
1.033445,0.846183,0.014408,0.001230,0.861806,nan
1.093645,0.798548,0.013756,0.001273,0.813556,nan
1.153846,0.746562,0.013027,0.001318,0.760880,nan
1.214047,0.691543,0.012242,0.001365,0.705117,nan
1.274247,0.634821,0.011424,0.001414,0.647619,nan
1.334448,0.577680,0.010594,0.001465,0.589692,nan
1.394649,0.521306,0.009771,0.001517,0.532541,nan
1.454849,0.466740,0.008973,0.001572,0.477227,nan
1.515050,0.414850,0.008215,0.001630,0.424630,nan
1.575251,0.366308,0.007508,0.001690,0.375435,nan
1.635452,0.321591,0.006859,0.001753,0.330127,nan
1.695652,0.280982,0.006274,0.001819,0.288994,nan
1.755853,0.244590,0.005754,0.001888,0.252148,nan
1.816054,0.212374,0.005300,0.001961,0.219546,nan
1.876254,0.184171,0.004908,0.002038,0.191026,nan
1.936455,0.159729,0.004577,0.002119,0.166330,nan
1.996656,0.138733,0.004302,0.002204,0.145143,nan
2.056856,0.120839,0.004080,0.002295,0.127115,nan
2.117057,0.105692,0.003907,0.002391,0.111890,nan
2.177258,0.092947,0.003782,0.002493,0.099121,nan
2.237458,0.082285,0.003703,0.002603,0.088488,nan
2.297659,0.073421,0.003670,0.002721,0.079709,nan
2.357860,0.066110,0.003686,0.002848,0.072540,nan
2.418060,0.060149,0.003755,0.002985,0.066784,nan
2.478261,0.055375,0.003882,0.003134,0.062286,nan
2.538462,0.051668,0.004075,0.003297,0.058933,nan
2.598662,0.048939,0.004343,0.003475,0.056650,nan
2.658863,0.047134,0.004696,0.003671,0.055394,nan
2.719064,0.046223,0.005148,0.003887,0.055152,nan
2.779264,0.046200,0.005712,0.004128,0.055934,nan
2.839465,0.047076,0.006403,0.004397,0.057769,nan
2.899666,0.048873,0.007233,0.004698,0.060698,nan
2.959866,0.051623,0.008219,0.005036,0.064772,nan
3.020067,0.055357,0.009372,0.005418,0.070041,nan
