E,I
520.000000,0.001059
520.100334,0.001097
520.200669,0.001135
520.301003,0.001175
520.401338,0.001215
520.501672,0.001257
520.602007,0.001300
520.702341,0.001344
520.802676,0.001389
520.903010,0.001436
521.003344,0.001484
521.103679,0.001533
521.204013,0.001584
521.304348,0.001637
521.404682,0.001691
521.505017,0.001746
521.605351,0.001804
521.705686,0.001863
521.806020,0.001924
521.906355,0.001987
522.006689,0.002053
522.107023,0.002120
522.207358,0.002190
522.307692,0.002262
522.408027,0.002336
522.508361,0.002413
522.608696,0.002493
522.709030,0.002576
522.809365,0.002662
522.909699,0.002751
523.010033,0.002843
523.110368,0.002939
523.210702,0.003038
523.311037,0.003141
523.411371,0.003249
523.511706,0.003361
523.612040,0.003477
523.712375,0.003599
523.812709,0.003725
523.913043,0.003857
524.013378,0.003995
524.113712,0.004140
524.214047,0.004291
524.314381,0.004449
524.414716,0.004614
524.515050,0.004788
524.615385,0.004971
524.715719,0.005163
524.816054,0.005365
524.916388,0.005578
525.016722,0.005803
525.117057,0.006040
525.217391,0.006292
525.317726,0.006559
525.418060,0.006843
525.518395,0.007145
525.618729,0.007468
525.719064,0.007812
525.819398,0.008182
525.919732,0.008579
526.020067,0.009008
526.120401,0.009471
526.220736,0.009975
526.321070,0.010524
526.421405,0.011126
526.521739,0.011789
526.622074,0.012524
526.722408,0.013344
526.822742,0.014267
526.923077,0.015315
527.023411,0.016517
527.123746,0.017914
527.224080,0.019562
527.324415,0.021539
527.424749,0.023955
527.525084,0.026966
527.625418,0.030789
527.725753,0.035710
527.826087,0.042087
527.926421,0.050316
528.026756,0.060764
528.127090,0.073638
528.227425,0.088823
528.327759,0.105722
528.428094,0.123169
528.528428,0.139503
528.628763,0.152820
528.729097,0.161391
528.829431,0.164099
528.929766,0.160748
529.030100,0.152128
529.130435,0.139795
529.230769,0.125665
529.331104,0.111572
529.431438,0.098941
529.531773,0.088637
529.632107,0.080997
529.732441,0.075971
529.832776,0.073286
529.933110,0.072600
530.033445,0.073587
530.133779,0.075988
530.234114,0.079613
530.334448,0.084338
530.434783,0.090078
530.535117,0.096770
530.635452,0.104350
530.735786,0.112738
530.836120,0.121818
530.936455,0.131429
531.036789,0.141354
531.137124,0.151325
531.237458,0.161029
531.337793,0.170127
531.438127,0.178280
531.538462,0.185180
531.638796,0.190575
531.739130,0.194295
531.839465,0.196258
531.939799,0.196474
532.040134,0.195027
532.140468,0.192059
532.240803,0.187746
532.341137,0.182278
532.441472,0.175844
532.541806,0.168627
532.642140,0.160798
532.742475,0.152521
532.842809,0.143951
532.943144,0.135236
533.043478,0.126515
533.143813,0.117916
533.244147,0.109553
533.344482,0.101518
533.444816,0.093886
533.545151,0.086706
533.645485,0.080011
533.745819,0.073812
533.846154,0.068105
533.946488,0.062877
534.046823,0.058104
534.147157,0.053758
534.247492,0.049806
534.347826,0.046216
534.448161,0.042955
534.548495,0.039993
