# E,I32,I12,Ibg,Itot
700.000000,0.006240,0.000000,0.000000,0.003831
700.167224,0.006437,0.000014,0.000051,0.004094
700.334448,0.006642,0.000028,0.000090,0.004352
700.501672,0.006855,0.000042,0.000144,0.004634
700.668896,0.007077,0.000056,0.000210,0.004936
700.836120,0.007307,0.000071,0.000248,0.005221
701.003344,0.007547,0.000086,0.000314,0.005542
701.170569,0.007797,0.000101,0.000370,0.005864
701.337793,0.008058,0.000117,0.000441,0.006211
701.505017,0.008330,0.000132,0.000515,0.006575
701.672241,0.008615,0.000148,0.000592,0.006953
701.839465,0.008912,0.000165,0.000644,0.007319
702.006689,0.009223,0.000181,0.000689,0.007693
702.173913,0.009549,0.000198,0.000746,0.008094
702.341137,0.009892,0.000216,0.000774,0.008482
702.508361,0.010251,0.000233,0.000800,0.008886
702.675585,0.010629,0.000251,0.000854,0.009336
702.842809,0.011026,0.000269,0.000904,0.009804
703.010033,0.011446,0.000288,0.000922,0.010261
703.177258,0.011888,0.000307,0.000939,0.010741
703.344482,0.012356,0.000326,0.000983,0.011273
703.511706,0.012852,0.000346,0.001066,0.011873
703.678930,0.013378,0.000366,0.001124,0.012478
703.846154,0.013937,0.000387,0.001163,0.013098
704.013378,0.014533,0.000408,0.001210,0.013763
704.180602,0.015169,0.000429,0.001293,0.014505
704.347826,0.015850,0.000451,0.001337,0.015254
704.515050,0.016580,0.000473,0.001410,0.016081
704.682274,0.017366,0.000496,0.001470,0.016952
704.849498,0.018215,0.000519,0.001521,0.017878
705.016722,0.019136,0.000543,0.001583,0.018886
705.183946,0.020138,0.000567,0.001641,0.019972
705.351171,0.021234,0.000592,0.001698,0.021153
705.518395,0.022440,0.000617,0.001745,0.022433
705.685619,0.023775,0.000643,0.001799,0.023852
705.852843,0.025266,0.000669,0.001893,0.025467
706.020067,0.026946,0.000696,0.001979,0.027264
706.187291,0.028860,0.000723,0.002085,0.029316
706.354515,0.031067,0.000751,0.002232,0.031704
706.521739,0.033650,0.000780,0.002403,0.034493
706.688963,0.036717,0.000810,0.002584,0.037778
706.856187,0.040416,0.000840,0.002797,0.041729
707.023411,0.044945,0.000870,0.003074,0.046577
707.190635,0.050564,0.000902,0.003360,0.052527
707.357860,0.057609,0.000934,0.003698,0.059960
707.525084,0.066509,0.000967,0.004105,0.069322
707.692308,0.077791,0.001001,0.004607,0.081167
707.859532,0.092087,0.001036,0.005230,0.096155
708.026756,0.110128,0.001071,0.005950,0.114995
708.193980,0.132720,0.001108,0.006758,0.138486
708.361204,0.160702,0.001145,0.007697,0.167512
708.528428,0.194886,0.001183,0.008729,0.202850
708.695652,0.235971,0.001222,0.009945,0.245289
708.862876,0.284436,0.001262,0.011230,0.295197
709.030100,0.340427,0.001304,0.012675,0.352811
709.197324,0.403641,0.001346,0.014266,0.417811
709.364548,0.473230,0.001390,0.016011,0.489357
709.531773,0.547734,0.001434,0.017954,0.566030
709.698997,0.625079,0.001480,0.020116,0.645770
709.866221,0.702625,0.001527,0.022413,0.725849
710.033445,0.777302,0.001576,0.024882,0.803224
710.200669,0.845802,0.001625,0.027548,0.874606
710.367893,0.904833,0.001677,0.030320,0.936603
710.535117,0.951393,0.001729,0.033138,0.986146
710.702341,0.983047,0.001783,0.036058,1.020852
710.869565,0.998161,0.001839,0.038978,1.038978
711.036789,0.996059,0.001897,0.041884,1.039835
711.204013,0.977102,0.001956,0.044798,1.023805
711.371237,0.942641,0.002017,0.047615,0.992138
711.538462,0.894894,0.002080,0.050375,0.947100
711.705686,0.836724,0.002145,0.053062,0.891541
711.872910,0.771375,0.002212,0.055663,0.828701
712.040134,0.702188,0.002281,0.058215,0.761968
712.207358,0.632337,0.002352,0.060633,0.694437
712.374582,0.564605,0.002426,0.062972,0.628954
712.541806,0.501232,0.002502,0.065206,0.567738
