Edup,Idup,Eddn,Iddn,Epup,Ipup,Epdn,Ipdn,Eoct,Iocgt
-28.493000,0.000024,1.592000,2.774538,-21.219000,0.000139,1.592000,0.104731,-38.250000,0.009446
-27.849000,0.000021,3.278000,1.777005,-19.250000,0.000221,3.278000,0.153390,-38.373000,0.020771
-26.529000,0.000025,13.934000,0.036632,-18.778000,0.001936,13.934000,0.000164,-7.690000,2.000000
-26.132000,0.000039,15.585000,0.039335,-17.403000,0.000904,15.585000,0.000540,-4.982000,3.979229
-21.219000,0.023386,15.933000,0.082751,-16.827000,0.000025,15.933000,0.000303,-6.795000,5.990554
-19.250000,0.028732,17.407000,0.028985,-16.319000,0.000118,17.407000,0.000336,-5.523000,6.000000
-18.778000,0.064827,32.280000,0.000054,-16.083000,0.002385,,,-6.867000,6.000000
-17.403000,0.089177,33.881000,0.000120,-15.699000,0.005012,,,-5.610000,6.000000
-16.827000,0.000613,34.134000,0.000525,-15.313000,0.002680,,,-5.155000,6.000000
-16.319000,0.009694,35.648000,0.000287,-14.638000,0.000137,,,,
-16.083000,0.051876,35.807000,0.000300,-14.298000,0.000185,,,,
-15.699000,0.369098,,,-13.731000,0.007442,,,,
-15.313000,0.050548,,,-13.148000,0.014640,,,,
-14.638000,0.008235,,,-12.493000,0.000101,,,,
-14.298000,0.002840,,,-12.233000,0.050136,,,,
-13.731000,0.366585,,,-12.019000,0.000258,,,,
-13.148000,0.173319,,,-10.409000,0.020481,,,,
-12.493000,0.003670,,,-9.499000,0.028971,,,,
-12.233000,0.469332,,,-9.009000,0.048500,,,,
-12.019000,0.008267,,,-8.043000,0.037810,,,,
-10.409000,0.393236,,,-7.410000,0.231831,,,,
-9.499000,0.106815,,,-7.013000,0.574969,,,,
-9.009000,0.518495,,,-4.503000,2.684856,,,,
-8.043000,0.065259,,,-3.300000,1.286261,,,,
-7.410000,0.927913,,,,,,,,
-7.013000,0.449671,,,,,,,,
-4.503000,0.253430,,,,,,,,
-3.300000,0.564840,,,,,,,,
