# E,dup,ddn,pup,pdn,oct,totup,totdn
-12.000000,0.278261,0.000000,0.055526,0.000000,0.553215,0.610394,0.276608
-11.919732,0.277284,0.000044,0.056259,0.000002,0.569171,0.618129,0.284632
-11.839465,0.276312,0.000089,0.056987,0.000005,0.585720,0.626159,0.292954
-11.759197,0.275395,0.000135,0.057727,0.000007,0.602889,0.634566,0.301586
-11.678930,0.274585,0.000181,0.058497,0.000010,0.620708,0.643436,0.310545
-11.598662,0.273933,0.000228,0.059317,0.000012,0.639208,0.652854,0.319845
-11.518395,0.273486,0.000277,0.060203,0.000015,0.658422,0.662901,0.329503
-11.438127,0.273285,0.000326,0.061174,0.000018,0.678384,0.673652,0.339535
-11.357860,0.273364,0.000375,0.062244,0.000020,0.699130,0.685173,0.349961
-11.277592,0.273747,0.000426,0.063425,0.000023,0.720699,0.697521,0.360799
-11.197324,0.274448,0.000478,0.064727,0.000026,0.743131,0.710741,0.372069
-11.117057,0.275474,0.000530,0.066159,0.000029,0.766467,0.724866,0.383793
-11.036789,0.276819,0.000584,0.067726,0.000031,0.790753,0.739921,0.395992
-10.956522,0.278470,0.000639,0.069431,0.000034,0.816034,0.755918,0.408690
-10.876254,0.280408,0.000694,0.071277,0.000037,0.842360,0.772865,0.421911
-10.795987,0.282608,0.000751,0.073265,0.000040,0.869782,0.790764,0.435682
-10.715719,0.285040,0.000808,0.075395,0.000043,0.898353,0.809611,0.450028
-10.635452,0.287674,0.000867,0.077667,0.000047,0.928129,0.829405,0.464978
-10.555184,0.290479,0.000927,0.080081,0.000050,0.959169,0.850144,0.480561
-10.474916,0.293426,0.000988,0.082638,0.000053,0.991533,0.871830,0.496808
-10.394649,0.296489,0.001050,0.085338,0.000056,1.025284,0.894469,0.513749
-10.314381,0.299644,0.001114,0.088182,0.000060,1.060488,0.918070,0.531417
-10.234114,0.302872,0.001178,0.091173,0.000063,1.097212,0.942651,0.549847
-10.153846,0.306156,0.001244,0.094314,0.000067,1.135524,0.968232,0.569073
-10.073579,0.309485,0.001311,0.097607,0.000070,1.175496,0.994840,0.589130
-9.993311,0.312846,0.001380,0.101056,0.000074,1.217200,1.022502,0.610054
-9.913043,0.316231,0.001450,0.104666,0.000078,1.260709,1.051252,0.631882
-9.832776,0.319633,0.001521,0.108441,0.000082,1.306095,1.081122,0.654650
-9.752508,0.323044,0.001594,0.112386,0.000085,1.353432,1.112146,0.678395
-9.672241,0.326456,0.001668,0.116508,0.000089,1.402791,1.144359,0.703153
-9.591973,0.329860,0.001744,0.120813,0.000093,1.454244,1.177794,0.728959
-9.511706,0.333247,0.001821,0.125310,0.000098,1.507856,1.212485,0.755847
-9.431438,0.336609,0.001900,0.130008,0.000102,1.563693,1.248464,0.783849
-9.351171,0.339938,0.001981,0.134921,0.000106,1.621811,1.285764,0.812993
-9.270903,0.343225,0.002063,0.140061,0.000110,1.682263,1.324418,0.843305
-9.190635,0.346466,0.002148,0.145446,0.000115,1.745092,1.364459,0.874808
-9.110368,0.349657,0.002233,0.151095,0.000119,1.810332,1.405918,0.907519
-9.030100,0.352798,0.002321,0.157028,0.000124,1.878006,1.448828,0.941448
-8.949833,0.355889,0.002411,0.163266,0.000129,1.948122,1.493216,0.976601
-8.869565,0.358934,0.002503,0.169832,0.000134,2.020675,1.539103,1.012974
-8.789298,0.361937,0.002596,0.176748,0.000139,2.095642,1.586505,1.050556
-8.709030,0.364902,0.002692,0.184032,0.000144,2.172979,1.635424,1.089326
-8.628763,0.367831,0.002790,0.191703,0.000149,2.252625,1.685846,1.129252
-8.548495,0.370722,0.002890,0.199769,0.000154,2.334493,1.737738,1.170291
-8.468227,0.373569,0.002993,0.208237,0.000160,2.418473,1.791042,1.212389
-8.387960,0.376357,0.003098,0.217100,0.000165,2.504429,1.845672,1.255478
-8.307692,0.379065,0.003205,0.226347,0.000171,2.592200,1.901512,1.299476
-8.227425,0.381661,0.003315,0.235950,0.000177,2.681596,1.958409,1.344290
-8.147157,0.384104,0.003427,0.245874,0.000183,2.772400,2.016178,1.389810
-8.066890,0.386346,0.003543,0.256068,0.000189,2.864370,2.074598,1.435916
-7.986622,0.388327,0.003660,0.266470,0.000195,2.957233,2.133414,1.482472
-7.906355,0.389983,0.003781,0.277009,0.000201,3.050696,2.192340,1.529330
-7.826087,0.391247,0.003905,0.287602,0.000208,3.144439,2.251068,1.576332
-7.745819,0.392049,0.004032,0.298159,0.000215,3.238125,2.309270,1.623308
-7.665552,0.392321,0.004161,0.308588,0.000221,3.331397,2.366607,1.670081
-7.585284,0.391999,0.004295,0.318798,0.000228,3.423885,2.422740,1.716465
-7.505017,0.391029,0.004431,0.328702,0.000235,3.515209,2.477336,1.762271
