Ed,Id,Ep,Ip,Eoct,Ioct
28.493000,0.000013,21.219000,0.000007,38.250000,0.000509
27.849000,0.000011,19.250000,0.000012,38.373000,0.001119
26.529000,0.000014,18.778000,0.000104,7.690000,0.107769
26.132000,0.000021,17.403000,0.000049,4.982000,0.214418
21.219000,0.012602,16.827000,0.000001,6.795000,0.322797
19.250000,0.015482,16.319000,0.000006,5.523000,0.323306
18.778000,0.034932,16.083000,0.000129,6.867000,0.323306
17.403000,0.048052,15.699000,0.000270,5.610000,0.323306
16.827000,0.000330,15.313000,0.000144,5.155000,0.323306
16.319000,0.005224,14.638000,0.000007,,
16.083000,0.027953,14.298000,0.000010,,
15.699000,0.198886,13.731000,0.000401,,
15.313000,0.027237,13.148000,0.000789,,
14.638000,0.004437,12.493000,0.000005,,
14.298000,0.001531,12.233000,0.002702,,
13.731000,0.197532,12.019000,0.000014,,
13.148000,0.093392,10.409000,0.001104,,
12.493000,0.001978,9.499000,0.001561,,
12.233000,0.252896,9.009000,0.002613,,
12.019000,0.004455,8.043000,0.002037,,
10.409000,0.211892,7.410000,0.012492,,
9.499000,0.057557,7.013000,0.030982,,
9.009000,0.279388,4.503000,0.144672,,
8.043000,0.035164,3.300000,0.069309,,
7.410000,0.500000,,,,
7.013000,0.242302,,,,
4.503000,0.136559,,,,
3.300000,0.304360,,,,
