# E,Id,Ip,Ioct,Itot,Ibg
-4.752080,0.000000,0.000000,0.000000,0.000000,nan
-4.685190,0.000063,0.000012,0.000056,0.000131,nan
-4.618301,0.000127,0.000024,0.000113,0.000265,nan
-4.551411,0.000193,0.000037,0.000171,0.000401,nan
-4.484522,0.000260,0.000050,0.000230,0.000540,nan
-4.417632,0.000328,0.000063,0.000290,0.000681,nan
-4.350743,0.000397,0.000077,0.000352,0.000825,nan
-4.283853,0.000468,0.000091,0.000415,0.000973,nan
-4.216963,0.000540,0.000105,0.000479,0.001123,nan
-4.150074,0.000613,0.000119,0.000544,0.001277,nan
-4.083184,0.000688,0.000134,0.000611,0.001433,nan
-4.016295,0.000765,0.000150,0.000679,0.001593,nan
-3.949405,0.000843,0.000165,0.000748,0.001756,nan
-3.882516,0.000922,0.000181,0.000819,0.001923,nan
-3.815626,0.001004,0.000198,0.000892,0.002093,nan
-3.748737,0.001087,0.000215,0.000965,0.002267,nan
-3.681847,0.001171,0.000232,0.001041,0.002444,nan
-3.614957,0.001258,0.000250,0.001118,0.002626,nan
-3.548068,0.001347,0.000268,0.001197,0.002811,nan
-3.481178,0.001437,0.000286,0.001278,0.003001,nan
-3.414289,0.001529,0.000306,0.001360,0.003195,nan
-3.347399,0.001624,0.000325,0.001444,0.003393,nan
-3.280510,0.001720,0.000346,0.001530,0.003596,nan
-3.213620,0.001819,0.000366,0.001618,0.003804,nan
-3.146730,0.001920,0.000388,0.001708,0.004016,nan
-3.079841,0.002024,0.000410,0.001800,0.004233,nan
-3.012951,0.002129,0.000432,0.001894,0.004456,nan
-2.946062,0.002238,0.000455,0.001991,0.004684,nan
-2.879172,0.002349,0.000479,0.002089,0.004918,nan
-2.812283,0.002462,0.000504,0.002190,0.005157,nan
-2.745393,0.002579,0.000529,0.002294,0.005402,nan
-2.678503,0.002698,0.000555,0.002400,0.005653,nan
-2.611614,0.002821,0.000582,0.002508,0.005911,nan
-2.544724,0.002946,0.000610,0.002619,0.006175,nan
-2.477835,0.003075,0.000638,0.002733,0.006446,nan
-2.410945,0.003207,0.000668,0.002850,0.006724,nan
-2.344056,0.003342,0.000698,0.002969,0.007010,nan
-2.277166,0.003482,0.000729,0.003092,0.007303,nan
-2.210277,0.003625,0.000762,0.003217,0.007604,nan
-2.143387,0.003771,0.000795,0.003346,0.007913,nan
-2.076497,0.003922,0.000830,0.003479,0.008231,nan
-2.009608,0.004078,0.000865,0.003614,0.008557,nan
-1.942718,0.004237,0.000902,0.003754,0.008893,nan
-1.875829,0.004402,0.000940,0.003897,0.009239,nan
-1.808939,0.004571,0.000980,0.004044,0.009594,nan
-1.742050,0.004745,0.001020,0.004195,0.009960,nan
-1.675160,0.004925,0.001063,0.004350,0.010337,nan
-1.608270,0.005110,0.001106,0.004509,0.010726,nan
-1.541381,0.005301,0.001152,0.004673,0.011126,nan
-1.474491,0.005498,0.001199,0.004842,0.011538,nan
-1.407602,0.005701,0.001248,0.005015,0.011964,nan
-1.340712,0.005911,0.001298,0.005193,0.012403,nan
-1.273823,0.006128,0.001351,0.005377,0.012856,nan
-1.206933,0.006353,0.001406,0.005566,0.013324,nan
-1.140043,0.006585,0.001462,0.005760,0.013807,nan
-1.073154,0.006825,0.001522,0.005961,0.014307,nan
-1.006264,0.007074,0.001583,0.006167,0.014824,nan
-0.939375,0.007332,0.001647,0.006380,0.015359,nan
-0.872485,0.007599,0.001714,0.006599,0.015913,nan
-0.805596,0.007877,0.001784,0.006826,0.016487,nan
-0.738706,0.008166,0.001857,0.007059,0.017081,nan
-0.671817,0.008465,0.001933,0.007300,0.017698,nan
-0.604927,0.008777,0.002012,0.007549,0.018338,nan
-0.538037,0.009102,0.002095,0.007806,0.019003,nan
-0.471148,0.009440,0.002182,0.008071,0.019694,nan
-0.404258,0.009793,0.002274,0.008346,0.020412,nan
-0.337369,0.010161,0.002369,0.008630,0.021160,nan
-0.270479,0.010545,0.002470,0.008923,0.021938,nan
-0.203590,0.010948,0.002575,0.009227,0.022750,nan
-0.136700,0.011369,0.002686,0.009542,0.023596,nan
-0.069810,0.011810,0.002802,0.009867,0.024480,nan
-0.002921,0.012273,0.002925,0.010205,0.025404,nan
0.063969,0.012760,0.003055,0.010555,0.026370,nan
0.130858,0.013272,0.003192,0.010918,0.027382,nan
0.197748,0.013811,0.003337,0.011294,0.028442,nan
0.264637,0.014380,0.003490,0.011685,0.029555,nan
0.331527,0.014981,0.003652,0.012092,0.030725,nan
0.398417,0.015617,0.003825,0.012514,0.031955,nan
0.465306,0.016291,0.004008,0.012953,0.033251,nan
0.532196,0.017007,0.004203,0.013409,0.034619,nan
0.599085,0.017768,0.004411,0.013885,0.036064,nan
0.665975,0.018579,0.004633,0.014380,0.037592,nan
0.732864,0.019446,0.004871,0.014896,0.039213,nan
0.799754,0.020374,0.005126,0.015434,0.040934,nan
0.866643,0.021370,0.005401,0.015996,0.042766,nan
0.933533,0.022441,0.005696,0.016582,0.044719,nan
1.000423,0.023597,0.006014,0.017195,0.046806,nan
1.067312,0.024847,0.006359,0.017836,0.049042,nan
1.134202,0.026203,0.006733,0.018507,0.051443,nan
1.201091,0.027680,0.007140,0.019209,0.054029,nan
1.267981,0.029292,0.007583,0.019946,0.056821,nan
1.334870,0.031059,0.008069,0.020718,0.059846,nan
1.401760,0.033003,0.008602,0.021529,0.063134,nan
1.468650,0.035148,0.009189,0.022382,0.066718,nan
1.535539,0.037524,0.009837,0.023278,0.070639,nan
1.602429,0.040165,0.010555,0.024223,0.074943,nan
1.669318,0.043110,0.011354,0.025217,0.079681,nan
1.736208,0.046403,0.012244,0.026267,0.084914,nan
1.803097,0.050095,0.013238,0.027376,0.090708,nan
1.869987,0.054240,0.014349,0.028548,0.097138,nan
1.936877,0.058898,0.015595,0.029790,0.104283,nan
2.003766,0.064132,0.016990,0.031105,0.112228,nan
2.070656,0.070005,0.018551,0.032502,0.121059,nan
2.137545,0.076578,0.020296,0.033986,0.130861,nan
2.204435,0.083906,0.022238,0.035566,0.141710,nan
2.271324,0.092029,0.024392,0.037251,0.153672,nan
2.338214,0.100971,0.026767,0.039049,0.166788,nan
2.405103,0.110732,0.029366,0.040973,0.181071,nan
2.471993,0.121276,0.032189,0.043034,0.196499,nan
2.538883,0.132532,0.035223,0.045247,0.213003,nan
2.605772,0.144385,0.038452,0.047627,0.230464,nan
2.672662,0.156674,0.041845,0.050193,0.248712,nan
2.739551,0.169194,0.045367,0.052965,0.267525,nan
2.806441,0.181699,0.048971,0.055966,0.286636,nan
2.873330,0.193911,0.052608,0.059225,0.305744,nan
2.940220,0.205536,0.056224,0.062772,0.324532,nan
3.007110,0.216275,0.059766,0.066643,0.342684,nan
3.073999,0.225844,0.063186,0.070880,0.359910,nan
3.140889,0.233995,0.066444,0.075533,0.375972,nan
3.207778,0.240533,0.069514,0.080657,0.390703,nan
3.274668,0.245326,0.072382,0.086317,0.404025,nan
3.341557,0.248323,0.075052,0.092589,0.415963,nan
3.408447,0.249550,0.077541,0.099559,0.426650,nan
3.475337,0.249111,0.079881,0.107328,0.436320,nan
3.542226,0.247181,0.082112,0.116007,0.445301,nan
3.609116,0.243986,0.084278,0.125725,0.453988,nan
3.676005,0.239787,0.086418,0.136621,0.462827,nan
3.742895,0.234862,0.088566,0.148851,0.472278,nan
3.809784,0.229478,0.090738,0.162576,0.482793,nan
3.876674,0.223882,0.092932,0.177970,0.494783,nan
3.943563,0.218278,0.095122,0.195202,0.508602,nan
4.010453,0.212822,0.097262,0.214437,0.524521,nan
4.077343,0.207615,0.099281,0.235824,0.542720,nan
4.144232,0.202709,0.101093,0.259481,0.563283,nan
4.211122,0.198106,0.102602,0.285485,0.586193,nan
4.278011,0.193773,0.103707,0.313858,0.611338,nan
4.344901,0.189653,0.104313,0.344552,0.638518,nan
4.411790,0.185678,0.104338,0.377434,0.667451,nan
4.478680,0.181780,0.103720,0.412282,0.697782,nan
4.545570,0.177903,0.102422,0.448772,0.729098,nan
4.612459,0.174011,0.100440,0.486480,0.760931,nan
4.679349,0.170093,0.097795,0.524885,0.792773,nan
4.746238,0.166165,0.094540,0.563382,0.824087,nan
4.813128,0.162268,0.090752,0.601298,0.854319,nan
4.880017,0.158468,0.086528,0.637914,0.882910,nan
4.946907,0.154846,0.081975,0.672498,0.909320,nan
5.013797,0.151497,0.077211,0.704331,0.933039,nan
5.080686,0.148522,0.072348,0.732743,0.953613,nan
5.147576,0.146023,0.067495,0.757150,0.970668,nan
5.214465,0.144097,0.062750,0.777076,0.983923,nan
5.281355,0.142838,0.058194,0.792190,0.993222,nan
5.348244,0.142329,0.053893,0.802318,0.998540,nan
5.415134,0.142644,0.049899,0.807457,1.000000,nan
5.482023,0.143851,0.046244,0.807781,0.997877,nan
5.548913,0.146008,0.042949,0.803634,0.992591,nan
5.615803,0.149166,0.040022,0.795510,0.984698,nan
5.682692,0.153374,0.037459,0.784029,0.974862,nan
5.749582,0.158674,0.035251,0.769907,0.963831,nan
5.816471,0.165103,0.033382,0.753909,0.952394,nan
5.883361,0.172694,0.031834,0.736810,0.941338,nan
5.950250,0.181475,0.030584,0.719348,0.931407,nan
6.017140,0.191460,0.029610,0.702185,0.923254,nan
6.084030,0.202655,0.028886,0.685862,0.917403,nan
6.150919,0.215044,0.028388,0.670781,0.914213,nan
6.217809,0.228592,0.028091,0.657178,0.913861,nan
6.284698,0.243236,0.027968,0.645123,0.916327,nan
6.351588,0.258883,0.027992,0.634521,0.921396,nan
6.418477,0.275402,0.028137,0.625135,0.928674,nan
6.485367,0.292627,0.028372,0.616611,0.937611,nan
6.552257,0.310353,0.028670,0.608516,0.947538,nan
6.619146,0.328335,0.029000,0.600375,0.957710,nan
6.686036,0.346299,0.029333,0.591715,0.967347,nan
6.752925,0.363939,0.029642,0.582102,0.975682,nan
6.819815,0.380933,0.029898,0.571173,0.982004,nan
6.886704,0.396951,0.030079,0.558662,0.985692,nan
6.953594,0.411666,0.030164,0.544412,0.986242,nan
7.020483,0.424773,0.030135,0.528381,0.983290,nan
7.087373,0.435998,0.029982,0.510636,0.976616,nan
7.154263,0.445112,0.029697,0.491338,0.966147,nan
7.221152,0.451948,0.029279,0.470723,0.951950,nan
7.288042,0.456404,0.028730,0.449081,0.934214,nan
7.354931,0.458452,0.028057,0.426726,0.913235,nan
7.421821,0.458140,0.027274,0.403981,0.889394,nan
7.488710,0.455589,0.026393,0.381152,0.863134,nan
7.555600,0.450990,0.025432,0.358517,0.834939,nan
7.622490,0.444591,0.024409,0.336315,0.805315,nan
7.689379,0.436686,0.023343,0.314744,0.774772,nan
7.756269,0.427600,0.022251,0.293955,0.743805,nan
7.823158,0.417674,0.021151,0.274059,0.712884,nan
7.890048,0.407249,0.020059,0.255132,0.682441,nan
7.956937,0.396651,0.018989,0.237219,0.652859,nan
8.023827,0.386177,0.017951,0.220339,0.624468,nan
8.090717,0.376085,0.016955,0.204496,0.597536,nan
8.157606,0.366585,0.016008,0.189677,0.572270,nan
8.224496,0.357836,0.015114,0.175861,0.548810,nan
8.291385,0.349939,0.014277,0.163018,0.527234,nan
8.358275,0.342946,0.013498,0.151114,0.507557,nan
8.425164,0.336855,0.012775,0.140109,0.489739,nan
8.492054,0.331622,0.012108,0.129962,0.473691,nan
8.558943,0.327162,0.011493,0.120627,0.459282,nan
8.625833,0.323365,0.010928,0.112056,0.446349,nan
8.692723,0.320099,0.010409,0.104201,0.434709,nan
8.759612,0.317223,0.009931,0.097013,0.424167,nan
8.826502,0.314597,0.009491,0.090441,0.414528,nan
8.893391,0.312085,0.009083,0.084436,0.405605,nan
8.960281,0.309571,0.008705,0.078951,0.397227,nan
9.027170,0.306956,0.008353,0.073939,0.389248,nan
9.094060,0.304168,0.008022,0.069357,0.381547,nan
9.160950,0.301159,0.007711,0.065165,0.374034,nan
9.227839,0.297910,0.007415,0.061324,0.366650,nan
9.294729,0.294426,0.007135,0.057800,0.359360,nan
9.361618,0.290730,0.006866,0.054561,0.352157,nan
9.428508,0.286864,0.006609,0.051579,0.345051,nan
9.495397,0.282879,0.006361,0.048828,0.338069,nan
9.562287,0.278831,0.006123,0.046286,0.331241,nan
9.629177,0.274777,0.005894,0.043932,0.324602,nan
9.696066,0.270764,0.005673,0.041747,0.318183,nan
9.762956,0.266833,0.005460,0.039715,0.312008,nan
9.829845,0.263011,0.005256,0.037823,0.306090,nan
9.896735,0.259313,0.005059,0.036057,0.300430,nan
9.963624,0.255739,0.004871,0.034406,0.295017,nan
10.030514,0.252278,0.004691,0.032860,0.289830,nan
10.097403,0.248910,0.004519,0.031410,0.284839,nan
10.164293,0.245609,0.004355,0.030047,0.280011,nan
10.231183,0.242346,0.004199,0.028765,0.275310,nan
10.298072,0.239096,0.004050,0.027557,0.270703,nan
10.364962,0.235837,0.003909,0.026417,0.266163,nan
10.431851,0.232558,0.003775,0.025340,0.261673,nan
10.498741,0.229259,0.003648,0.024321,0.257228,nan
10.565630,0.225950,0.003528,0.023356,0.252834,nan
10.632520,0.222656,0.003416,0.022441,0.248513,nan
10.699410,0.219414,0.003310,0.021573,0.244297,nan
10.766299,0.216269,0.003211,0.020748,0.240228,nan
10.833189,0.213274,0.003119,0.019963,0.236357,nan
10.900078,0.210488,0.003035,0.019216,0.232739,nan
10.966968,0.207970,0.002957,0.018504,0.229431,nan
11.033857,0.205774,0.002886,0.017825,0.226486,nan
11.100747,0.203953,0.002822,0.017177,0.223953,nan
11.167637,0.202547,0.002766,0.016558,0.221871,nan
11.234526,0.201586,0.002715,0.015966,0.220268,nan
11.301416,0.201087,0.002671,0.015400,0.219158,nan
11.368305,0.201052,0.002633,0.014858,0.218544,nan
11.435195,0.201470,0.002601,0.014339,0.218409,nan
11.502084,0.202312,0.002573,0.013841,0.218726,nan
11.568974,0.203539,0.002550,0.013363,0.219452,nan
11.635863,0.205098,0.002530,0.012904,0.220532,nan
11.702753,0.206926,0.002513,0.012463,0.221902,nan
11.769643,0.208953,0.002497,0.012040,0.223490,nan
11.836532,0.211106,0.002482,0.011633,0.225221,nan
11.903422,0.213310,0.002467,0.011241,0.227018,nan
11.970311,0.215491,0.002451,0.010864,0.228805,nan
12.037201,0.217580,0.002433,0.010500,0.230513,nan
