# E,I
524.791000,0.000136
524.891334,0.000141
524.991669,0.000145
525.092003,0.000150
525.192338,0.000155
525.292672,0.000160
525.393007,0.000165
525.493341,0.000171
525.593676,0.000177
525.694010,0.000183
525.794344,0.000189
525.894679,0.000196
525.995013,0.000203
526.095348,0.000210
526.195682,0.000218
526.296017,0.000226
526.396351,0.000235
526.496686,0.000244
526.597020,0.000254
526.697355,0.000264
526.797689,0.000275
526.898023,0.000286
526.998358,0.000298
527.098692,0.000311
527.199027,0.000325
527.299361,0.000339
527.399696,0.000355
527.500030,0.000372
527.600365,0.000390
527.700699,0.000409
527.801033,0.000430
527.901368,0.000452
528.001702,0.000476
528.102037,0.000502
528.202371,0.000530
528.302706,0.000561
528.403040,0.000594
528.503375,0.000631
528.603709,0.000671
528.704043,0.000716
528.804378,0.000765
528.904712,0.000820
529.005047,0.000881
529.105381,0.000950
529.205716,0.001028
529.306050,0.001116
529.406385,0.001218
529.506719,0.001336
529.607054,0.001474
529.707388,0.001638
529.807722,0.001836
529.908057,0.002081
530.008391,0.002392
530.108726,0.002804
530.209060,0.003377
530.309395,0.004218
530.409729,0.005511
530.510064,0.007550
530.610398,0.010775
530.710732,0.015751
530.811067,0.023079
530.911401,0.033193
531.011736,0.046063
531.112070,0.060911
531.212405,0.076097
531.312739,0.089326
531.413074,0.098202
531.513408,0.100969
531.613742,0.097119
531.714077,0.087589
531.814411,0.074449
531.914746,0.060249
532.015080,0.047333
532.115415,0.037414
532.215749,0.031504
532.316084,0.030120
532.416418,0.033542
532.516753,0.041924
532.617087,0.055167
532.717421,0.072584
532.817756,0.092566
532.918090,0.112485
533.018425,0.129045
533.118759,0.139067
533.219094,0.140437
533.319428,0.132809
533.419763,0.117714
533.520097,0.098023
533.620431,0.077016
533.720766,0.057476
533.821100,0.041145
533.921435,0.028639
534.021769,0.019723
534.122104,0.013705
534.222438,0.009785
534.322773,0.007264
534.423107,0.005627
534.523441,0.004529
534.623776,0.003759
534.724110,0.003195
534.824445,0.002763
534.924779,0.002423
535.025114,0.002146
535.125448,0.001918
535.225783,0.001727
535.326117,0.001564
535.426452,0.001424
535.526786,0.001303
535.627120,0.001198
535.727455,0.001105
535.827789,0.001023
535.928124,0.000950
536.028458,0.000884
536.128793,0.000825
536.229127,0.000772
536.329462,0.000725
536.429796,0.000681
536.530130,0.000641
536.630465,0.000605
536.730799,0.000572
536.831134,0.000541
536.931468,0.000513
537.031803,0.000487
537.132137,0.000462
537.232472,0.000440
537.332806,0.000419
537.433140,0.000400
537.533475,0.000382
537.633809,0.000365
537.734144,0.000349
537.834478,0.000334
537.934813,0.000320
