E32,I32,E12,I12
398.400000,0.500000,415.700000,0.250000
401.982000,0.002040,419.282000,0.001020
403.152000,0.011937,420.452000,0.005968
403.959000,0.032058,421.259000,0.016029
406.379000,0.000784,423.679000,0.000392
406.495000,0.000013,423.795000,0.000006
407.239000,0.000005,424.539000,0.000003
407.769000,0.000012,425.069000,0.000006
408.350000,0.000095,425.650000,0.000047
408.666000,0.000189,425.966000,0.000095
409.110000,0.051737,426.410000,0.025869
409.567000,0.002551,426.867000,0.001275
410.918000,0.000604,428.218000,0.000302
411.961000,0.000055,429.261000,0.000028
412.782000,0.000053,430.082000,0.000027
412.954000,0.000064,430.254000,0.000032
414.022000,0.001055,431.322000,0.000527
414.823000,0.001382,432.123000,0.000691
415.014000,0.000034,432.314000,0.000017
415.297000,0.000225,432.597000,0.000112
416.400000,0.000183,433.700000,0.000091
416.630000,0.000028,433.930000,0.000014
418.658000,0.000011,435.958000,0.000006
419.131000,0.001032,436.431000,0.000516
419.188000,0.000088,436.488000,0.000044
419.364000,0.000014,436.664000,0.000007
419.756000,0.000050,437.056000,0.000025
421.474000,0.000011,438.774000,0.000005
425.251000,0.000008,442.551000,0.000004
426.177000,0.000005,443.477000,0.000003
