# E,I32,I12,Ibg,Itot
380.000000,0.001487,0.000000,0.000000,0.001411
380.267559,0.001533,0.000004,0.000066,0.001526
380.535117,0.001581,0.000008,0.000101,0.001613
380.802676,0.001630,0.000012,0.000132,0.001698
381.070234,0.001682,0.000016,0.000203,0.001826
381.337793,0.001736,0.000020,0.000258,0.001939
381.605351,0.001793,0.000024,0.000315,0.002056
381.872910,0.001852,0.000029,0.000393,0.002198
382.140468,0.001913,0.000033,0.000488,0.002359
382.408027,0.001978,0.000038,0.000561,0.002501
382.675585,0.002045,0.000042,0.000637,0.002649
382.943144,0.002115,0.000047,0.000696,0.002783
383.210702,0.002189,0.000052,0.000742,0.002908
383.478261,0.002266,0.000057,0.000820,0.003068
383.745819,0.002348,0.000062,0.000898,0.003232
384.013378,0.002433,0.000067,0.000941,0.003366
384.280936,0.002523,0.000073,0.000983,0.003503
384.548495,0.002617,0.000078,0.001054,0.003673
384.816054,0.002717,0.000084,0.001137,0.003861
385.083612,0.002822,0.000090,0.001216,0.004051
385.351171,0.002932,0.000095,0.001304,0.004256
385.618729,0.003050,0.000101,0.001372,0.004447
385.886288,0.003174,0.000108,0.001468,0.004674
386.153846,0.003306,0.000114,0.001535,0.004878
386.421405,0.003446,0.000120,0.001613,0.005103
386.688963,0.003594,0.000127,0.001686,0.005332
386.956522,0.003753,0.000134,0.001793,0.005603
387.224080,0.003922,0.000141,0.001893,0.005879
387.491639,0.004103,0.000148,0.001987,0.006161
387.759197,0.004296,0.000155,0.002062,0.006437
388.026756,0.004504,0.000162,0.002186,0.006777
388.294314,0.004727,0.000170,0.002282,0.007103
388.561873,0.004968,0.000178,0.002389,0.007459
388.829431,0.005228,0.000186,0.002517,0.007855
389.096990,0.005509,0.000194,0.002653,0.008281
389.364548,0.005815,0.000203,0.002779,0.008722
389.632107,0.006148,0.000212,0.002875,0.009160
389.899666,0.006513,0.000221,0.002991,0.009649
390.167224,0.006912,0.000230,0.003113,0.010180
390.434783,0.007352,0.000240,0.003228,0.010744
390.702341,0.007838,0.000249,0.003345,0.011358
390.969900,0.008378,0.000260,0.003465,0.012028
391.237458,0.008981,0.000270,0.003573,0.012749
391.505017,0.009658,0.000281,0.003721,0.013585
391.772575,0.010423,0.000292,0.003871,0.014510
392.040134,0.011294,0.000303,0.004013,0.015535
392.307692,0.012293,0.000315,0.004173,0.016706
392.575251,0.013452,0.000327,0.004352,0.018056
392.842809,0.014811,0.000339,0.004533,0.019609
393.110368,0.016432,0.000352,0.004743,0.021452
393.377926,0.018401,0.000365,0.004928,0.023620
393.645485,0.020856,0.000379,0.005153,0.026313
393.913043,0.024012,0.000393,0.005415,0.029747
394.180602,0.028222,0.000408,0.005697,0.034253
394.448161,0.034056,0.000423,0.006054,0.040460
394.715719,0.042418,0.000438,0.006472,0.049256
