Edup,Idup,Eddn,Iddn,Epup,Ipup,Epdn,Ipdn,Eoct,Iocgt
0.573000,1.699500,-24.519000,0.000011,0.573000,0.174397,-22.614000,0.000004,-9.019000,1.687230
1.852000,0.881072,-22.614000,0.000637,1.852000,0.059135,-18.140000,0.000046,-7.690000,2.000000
4.284000,1.662167,-22.418000,0.000073,4.284000,0.217776,-16.807000,0.000019,-2.336000,2.312770
8.261000,0.000903,-20.300000,0.000166,8.261000,0.000016,-16.673000,0.000006,-4.778000,2.445493
8.520000,0.020532,-20.116000,0.000009,8.520000,0.000344,-14.807000,0.000009,-8.267000,3.554507
9.576000,0.000862,-19.150000,0.000093,9.576000,0.000012,-12.987000,0.000122,-5.610000,6.000000
9.591000,0.006734,-18.140000,0.003239,9.591000,0.000097,-12.460000,0.000020,-5.155000,6.000000
9.769000,0.038600,-17.859000,0.000101,9.769000,0.000542,-12.151000,0.003150,-6.867000,6.000000
10.071000,0.029557,-16.807000,0.001005,10.071000,0.000398,-11.795000,0.000484,-5.523000,6.000000
11.872000,0.001861,-16.673000,0.000429,11.872000,0.000073,-11.608000,0.000014,,
12.320000,0.000566,-16.609000,0.000075,12.320000,0.000006,-11.297000,0.000011,,
12.370000,0.047043,-14.870000,0.000008,12.370000,0.001729,-9.570000,0.000048,,
13.344000,0.012119,-14.807000,0.000302,13.344000,0.000399,-6.908000,0.078728,,
13.471000,0.053475,-12.987000,0.002979,13.471000,0.000477,-5.527000,0.288576,,
13.647000,0.000299,-12.460000,0.000429,13.647000,0.000003,-5.321000,0.307332,,
14.788000,0.026626,-12.151000,0.054816,14.788000,0.000207,-5.161000,0.162708,,
15.979000,0.000380,-11.795000,0.007449,15.979000,0.000010,-1.100000,0.158635,,
16.533000,0.010319,-11.608000,0.000290,16.533000,0.000246,0.050000,0.210647,,
17.564000,0.041137,-11.297000,0.000168,17.564000,0.000892,3.776000,0.241510,,
19.948000,0.000151,-11.267000,0.000020,20.578000,0.000001,7.345000,0.000177,,
19.971000,0.000063,-10.593000,0.000022,20.583000,0.000002,8.384000,0.000234,,
19.989000,0.000075,-9.570000,0.000356,22.770000,0.000004,9.591000,0.000040,,
20.028000,0.000011,-6.908000,0.111647,23.666000,0.000003,9.713000,0.000440,,
20.504000,0.000023,-5.527000,0.046081,24.202000,0.000005,11.068000,0.000565,,
20.578000,0.000169,-5.321000,0.024165,24.968000,0.000003,11.646000,0.000066,,
20.583000,0.000421,-5.161000,0.005736,25.168000,0.000003,12.159000,0.001322,,
21.830000,0.000116,-1.100000,0.739649,27.033000,0.000005,13.098000,0.000443,,
21.841000,0.000122,0.050000,1.674518,27.608000,0.000005,13.308000,0.000384,,
22.162000,0.000122,3.776000,1.643816,28.170000,0.000006,15.221000,0.000120,,
22.619000,0.000064,7.345000,0.008797,28.187000,0.000003,16.305000,0.000278,,
22.770000,0.000289,8.384000,0.013652,32.310000,0.000004,17.485000,0.000697,,
23.573000,0.000022,9.591000,0.002802,,,24.176000,0.000003,,
23.666000,0.000736,9.713000,0.031156,,,24.945000,0.000003,,
23.972000,0.000161,11.068000,0.013140,,,26.958000,0.000004,,
23.973000,0.000053,11.646000,0.005993,,,27.521000,0.000003,,
24.013000,0.000082,12.159000,0.035092,,,28.161000,0.000007,,
24.073000,0.000050,13.098000,0.047618,,,32.228000,0.000003,,
24.202000,0.000390,13.308000,0.011627,,,,,,
24.243000,0.000022,15.221000,0.004448,,,,,,
24.855000,0.000100,16.305000,0.011429,,,,,,
24.968000,0.001067,17.485000,0.031929,,,,,,
25.168000,0.000989,19.996000,0.000177,,,,,,
26.164000,0.000077,20.474000,0.000023,,,,,,
26.358000,0.000019,20.561000,0.000303,,,,,,
26.572000,0.000034,20.654000,0.000095,,,,,,
27.033000,0.000456,21.284000,0.000146,,,,,,
27.430000,0.000231,21.830000,0.000124,,,,,,
27.566000,0.000023,22.180000,0.000149,,,,,,
27.608000,0.000517,22.675000,0.000059,,,,,,
27.924000,0.000015,22.744000,0.000135,,,,,,
28.170000,0.000663,22.892000,0.000241,,,,,,
28.187000,0.000315,23.496000,0.000098,,,,,,
28.640000,0.000479,23.562000,0.000171,,,,,,
28.780000,0.000109,23.592000,0.000481,,,,,,
29.387000,0.000200,24.038000,0.000059,,,,,,
29.990000,0.000233,24.176000,0.000277,,,,,,
31.516000,0.000085,24.813000,0.000155,,,,,,
32.310000,0.000482,24.850000,0.000053,,,,,,
,,24.945000,0.000820,,,,,,
,,25.279000,0.000162,,,,,,
,,26.254000,0.000199,,,,,,
,,26.659000,0.000102,,,,,,
,,26.958000,0.000404,,,,,,
,,27.293000,0.000065,,,,,,
,,27.521000,0.000260,,,,,,
,,28.149000,0.000522,,,,,,
,,28.161000,0.000697,,,,,,
,,28.180000,0.000193,,,,,,
,,29.385000,0.000211,,,,,,
,,31.535000,0.000088,,,,,,
,,32.228000,0.000405,,,,,,
