# E,dup,ddn,pup,pdn,oct,totup,totdn
-12.000000,0.000000,0.003815,0.000000,0.006622,0.223293,0.111646,0.122084
-11.919732,0.000047,0.003845,0.000005,0.006844,0.231924,0.116013,0.126650
-11.839465,0.000094,0.003791,0.000010,0.007068,0.241073,0.120640,0.131395
-11.759197,0.000142,0.003663,0.000014,0.007295,0.250788,0.125551,0.136351
-11.678930,0.000191,0.003469,0.000019,0.007526,0.261123,0.130772,0.141557
-11.598662,0.000241,0.003222,0.000024,0.007763,0.272139,0.136335,0.147055
-11.518395,0.000292,0.002934,0.000030,0.008007,0.283906,0.142274,0.152894
-11.438127,0.000344,0.002617,0.000035,0.008259,0.296503,0.148630,0.159127
-11.357860,0.000396,0.002284,0.000040,0.008521,0.310021,0.155447,0.165816
-11.277592,0.000450,0.001946,0.000046,0.008795,0.324568,0.162779,0.173025
-11.197324,0.000505,0.001614,0.000051,0.009081,0.340265,0.170688,0.180828
-11.117057,0.000560,0.001298,0.000057,0.009381,0.357258,0.179246,0.189307
-11.036789,0.000617,0.001004,0.000063,0.009696,0.375714,0.188537,0.198557
-10.956522,0.000675,0.000741,0.000068,0.010027,0.395834,0.198660,0.208685
-10.876254,0.000734,0.000512,0.000074,0.010377,0.417850,0.209733,0.219814
-10.795987,0.000794,0.000323,0.000080,0.010744,0.442039,0.221894,0.232087
-10.715719,0.000855,0.000176,0.000087,0.011132,0.468728,0.235306,0.245671
-10.635452,0.000917,0.000072,0.000093,0.011540,0.498300,0.250160,0.260762
-10.555184,0.000981,0.000013,0.000099,0.011969,0.531202,0.266681,0.277584
-10.474916,0.001046,0.000000,0.000106,0.012422,0.567946,0.285125,0.296396
-10.394649,0.001112,0.000032,0.000113,0.012899,0.609119,0.305784,0.317491
-10.314381,0.001179,0.000109,0.000120,0.013402,0.655370,0.328984,0.341196
-10.234114,0.001248,0.000230,0.000127,0.013931,0.707401,0.355075,0.367862
-10.153846,0.001318,0.000395,0.000134,0.014489,0.765949,0.384426,0.397858
-10.073579,0.001390,0.000603,0.000141,0.015077,0.831747,0.417404,0.431553
-9.993311,0.001463,0.000853,0.000148,0.015696,0.905487,0.454355,0.469293
-9.913043,0.001537,0.001145,0.000156,0.016349,0.987764,0.495575,0.511376
-9.832776,0.001613,0.001479,0.000164,0.017037,1.079017,0.541286,0.558025
-9.752508,0.001691,0.001854,0.000171,0.017764,1.179478,0.591602,0.609356
-9.672241,0.001771,0.002270,0.000179,0.018530,1.289119,0.646510,0.665360
-9.591973,0.001852,0.002728,0.000188,0.019340,1.407630,0.705854,0.725883
-9.511706,0.001934,0.003227,0.000196,0.020195,1.534410,0.769336,0.790628
-9.431438,0.002019,0.003770,0.000205,0.021100,1.668594,0.836520,0.859166
-9.351171,0.002106,0.004355,0.000213,0.022057,1.809097,0.906867,0.930961
-9.270903,0.002194,0.004985,0.000222,0.023070,1.954686,0.979759,1.005398
-9.190635,0.002284,0.005661,0.000231,0.024143,2.104047,1.054539,1.081828
-9.110368,0.002377,0.006384,0.000241,0.025281,2.255851,1.130543,1.159590
-9.030100,0.002471,0.007155,0.000250,0.026487,2.408793,1.207118,1.238038
-8.949833,0.002568,0.007976,0.000260,0.027767,2.561607,1.283631,1.316546
-8.869565,0.002666,0.008849,0.000270,0.029125,2.713057,1.359465,1.394503
-8.789298,0.002768,0.009776,0.000280,0.030568,2.861912,1.434004,1.471300
-8.709030,0.002871,0.010757,0.000291,0.032100,3.006923,1.506623,1.546319
-8.628763,0.002977,0.011795,0.000301,0.033728,3.146822,1.576689,1.618934
-8.548495,0.003085,0.012890,0.000312,0.035457,3.280359,1.643577,1.688527
-8.468227,0.003196,0.014043,0.000324,0.037294,3.406384,1.706712,1.754529
-8.387960,0.003310,0.015254,0.000335,0.039245,3.523961,1.765626,1.816479
-8.307692,0.003426,0.016522,0.000347,0.041315,3.632507,1.820027,1.874091
-8.227425,0.003546,0.017847,0.000359,0.043511,3.731919,1.869864,1.927318
-8.147157,0.003668,0.019226,0.000371,0.045838,3.822671,1.915374,1.976399
-8.066890,0.003793,0.020656,0.000384,0.048300,3.905842,1.957098,2.021877
-7.986622,0.003922,0.022132,0.000397,0.050903,3.983080,1.995859,2.064575
-7.906355,0.004053,0.023649,0.000410,0.053651,4.056472,2.032700,2.105536
-7.826087,0.004188,0.025200,0.000424,0.056546,4.128359,2.068792,2.145925
-7.745819,0.004327,0.026777,0.000438,0.059591,4.201092,2.105311,2.186914
