Ed,Id,Ep,Ip,Eoct,Ioct
24.519000,0.000007,22.614000,0.000000,9.019000,0.077558
22.614000,0.000431,18.140000,0.000002,7.690000,0.091936
22.418000,0.000049,16.807000,0.000001,2.336000,0.106313
20.300000,0.000112,16.673000,0.000000,4.778000,0.112414
20.116000,0.000006,14.807000,0.000000,8.267000,0.163393
19.150000,0.000063,12.987000,0.000006,5.610000,0.275807
18.140000,0.002190,12.460000,0.000001,5.155000,0.275807
17.859000,0.000069,12.151000,0.000145,6.867000,0.275807
16.807000,0.000680,11.795000,0.000022,5.523000,0.275807
16.673000,0.000290,11.608000,0.000001,,
16.609000,0.000051,11.297000,0.000001,,
14.870000,0.000005,9.570000,0.000002,,
14.807000,0.000204,6.908000,0.003619,,
12.987000,0.002013,5.527000,0.013265,,
12.460000,0.000290,5.321000,0.014127,,
12.151000,0.037055,5.161000,0.007479,,
11.795000,0.005036,1.100000,0.007292,,
11.608000,0.000196,,,,
11.297000,0.000113,,,,
11.267000,0.000014,,,,
10.593000,0.000015,,,,
9.570000,0.000240,,,,
6.908000,0.075473,,,,
5.527000,0.031151,,,,
5.321000,0.016335,,,,
5.161000,0.003878,,,,
1.100000,0.500000,,,,
