# E,Id,Ip,Ioct,Itot,Ibg
-4.752080,0.000258,0.000030,0.000000,0.000000,nan
-4.685190,0.000400,0.000035,0.000104,0.000251,nan
-4.618301,0.000547,0.000039,0.000210,0.000508,nan
-4.551411,0.000699,0.000044,0.000318,0.000774,nan
-4.484522,0.000856,0.000049,0.000429,0.001047,nan
-4.417632,0.001020,0.000055,0.000542,0.001328,nan
-4.350743,0.001189,0.000060,0.000657,0.001618,nan
-4.283853,0.001364,0.000065,0.000775,0.001917,nan
-4.216963,0.001546,0.000071,0.000895,0.002225,nan
-4.150074,0.001735,0.000077,0.001018,0.002542,nan
-4.083184,0.001931,0.000083,0.001144,0.002870,nan
-4.016295,0.002135,0.000089,0.001272,0.003209,nan
-3.949405,0.002346,0.000095,0.001404,0.003558,nan
-3.882516,0.002567,0.000102,0.001538,0.003920,nan
-3.815626,0.002796,0.000108,0.001676,0.004293,nan
-3.748737,0.003035,0.000115,0.001816,0.004680,nan
-3.681847,0.003283,0.000122,0.001960,0.005080,nan
-3.614957,0.003543,0.000130,0.002108,0.005494,nan
-3.548068,0.003813,0.000137,0.002258,0.005923,nan
-3.481178,0.004095,0.000145,0.002413,0.006368,nan
-3.414289,0.004390,0.000154,0.002571,0.006829,nan
-3.347399,0.004699,0.000162,0.002733,0.007308,nan
-3.280510,0.005021,0.000171,0.002900,0.007806,nan
-3.213620,0.005358,0.000180,0.003070,0.008323,nan
-3.146730,0.005712,0.000189,0.003245,0.008860,nan
-3.079841,0.006083,0.000199,0.003424,0.009420,nan
-3.012951,0.006472,0.000209,0.003607,0.010003,nan
-2.946062,0.006880,0.000219,0.003796,0.010611,nan
-2.879172,0.007309,0.000230,0.003989,0.011245,nan
-2.812283,0.007761,0.000242,0.004188,0.011906,nan
-2.745393,0.008237,0.000254,0.004392,0.012598,nan
-2.678503,0.008738,0.000266,0.004602,0.013321,nan
-2.611614,0.009267,0.000279,0.004817,0.014079,nan
-2.544724,0.009825,0.000292,0.005039,0.014872,nan
-2.477835,0.010416,0.000306,0.005266,0.015705,nan
-2.410945,0.011041,0.000321,0.005501,0.016579,nan
-2.344056,0.011703,0.000336,0.005742,0.017498,nan
-2.277166,0.012406,0.000352,0.005990,0.018466,nan
-2.210277,0.013153,0.000369,0.006245,0.019485,nan
-2.143387,0.013947,0.000387,0.006509,0.020561,nan
-2.076497,0.014794,0.000405,0.006780,0.021697,nan
-2.009608,0.015697,0.000425,0.007060,0.022900,nan
-1.942718,0.016662,0.000446,0.007349,0.024175,nan
-1.875829,0.017694,0.000468,0.007646,0.025528,nan
-1.808939,0.018801,0.000491,0.007954,0.026966,nan
-1.742050,0.019990,0.000515,0.008272,0.028497,nan
-1.675160,0.021269,0.000541,0.008600,0.030132,nan
-1.608270,0.022648,0.000569,0.008940,0.031879,nan
-1.541381,0.024138,0.000599,0.009291,0.033750,nan
-1.474491,0.025751,0.000630,0.009655,0.035759,nan
-1.407602,0.027502,0.000664,0.010031,0.037920,nan
-1.340712,0.029406,0.000701,0.010422,0.040252,nan
-1.273823,0.031483,0.000740,0.010827,0.042774,nan
-1.206933,0.033753,0.000782,0.011247,0.045508,nan
-1.140043,0.036244,0.000828,0.011684,0.048481,nan
-1.073154,0.038983,0.000877,0.012138,0.051725,nan
-1.006264,0.042005,0.000931,0.012610,0.055275,nan
-0.939375,0.045350,0.000991,0.013102,0.059172,nan
-0.872485,0.049066,0.001055,0.013614,0.063465,nan
-0.805596,0.053206,0.001127,0.014149,0.068213,nan
-0.738706,0.057834,0.001206,0.014707,0.073480,nan
-0.671817,0.063026,0.001293,0.015290,0.079344,nan
-0.604927,0.068869,0.001390,0.015901,0.085896,nan
-0.538037,0.075460,0.001499,0.016540,0.093239,nan
-0.471148,0.082916,0.001621,0.017211,0.101489,nan
-0.404258,0.091363,0.001757,0.017916,0.110780,nan
-0.337369,0.100943,0.001911,0.018658,0.121258,nan
-0.270479,0.111809,0.002084,0.019439,0.133082,nan
-0.203590,0.124123,0.002278,0.020264,0.146419,nan
-0.136700,0.138047,0.002497,0.021136,0.161439,nan
-0.069810,0.153738,0.002742,0.022060,0.178304,nan
-0.002921,0.171334,0.003015,0.023042,0.197159,nan
0.063969,0.190938,0.003318,0.024086,0.218117,nan
0.130858,0.212607,0.003652,0.025200,0.241241,nan
0.197748,0.236328,0.004017,0.026391,0.266524,nan
0.264637,0.261998,0.004410,0.027669,0.293874,nan
0.331527,0.289413,0.004830,0.029044,0.323092,nan
0.398417,0.318247,0.005272,0.030527,0.353860,nan
0.465306,0.348050,0.005728,0.032134,0.385735,nan
0.532196,0.378244,0.006191,0.033879,0.418147,nan
0.599085,0.408136,0.006651,0.035782,0.450411,nan
0.665975,0.436940,0.007096,0.037865,0.481751,nan
0.732864,0.463810,0.007513,0.040151,0.511333,nan
0.799754,0.487882,0.007891,0.042668,0.538308,nan
0.866643,0.508325,0.008218,0.045447,0.561864,nan
0.933533,0.524394,0.008481,0.048522,0.581277,nan
1.000423,0.535475,0.008674,0.051929,0.595962,nan
1.067312,0.541137,0.008788,0.055704,0.605516,nan
1.134202,0.541155,0.008822,0.059885,0.609750,nan
1.201091,0.535531,0.008776,0.064507,0.608701,nan
1.267981,0.524496,0.008652,0.069597,0.602631,nan
1.334870,0.508487,0.008457,0.075178,0.592005,nan
1.401760,0.488120,0.008201,0.081257,0.577456,nan
1.468650,0.464144,0.007895,0.087827,0.559738,nan
1.535539,0.437391,0.007550,0.094859,0.539667,nan
1.602429,0.408727,0.007180,0.102301,0.518069,nan
1.669318,0.378996,0.006796,0.110077,0.495724,nan
1.736208,0.348984,0.006412,0.118081,0.473325,nan
1.803097,0.319381,0.006036,0.126184,0.451443,nan
1.869987,0.290762,0.005678,0.134234,0.430510,nan
1.936877,0.263576,0.005345,0.142066,0.410817,nan
2.003766,0.238147,0.005040,0.149503,0.392515,nan
2.070656,0.214677,0.004769,0.156375,0.375640,nan
2.137545,0.193266,0.004532,0.162522,0.360136,nan
2.204435,0.173926,0.004330,0.167813,0.345880,nan
2.271324,0.156602,0.004162,0.172147,0.332720,nan
2.338214,0.141189,0.004028,0.175471,0.320493,nan
2.405103,0.127548,0.003927,0.177779,0.309055,nan
