E,I
530.200000,0.210647
530.723000,0.174397
532.002000,0.059135
533.926000,0.241510
534.434000,0.217776
537.495000,0.000177
538.411000,0.000016
538.534000,0.000234
538.670000,0.000344
539.726000,0.000012
539.741000,0.000137
539.863000,0.000440
539.919000,0.000542
540.221000,0.000398
541.218000,0.000565
541.796000,0.000066
542.022000,0.000073
542.309000,0.001322
542.470000,0.000006
542.520000,0.001729
543.248000,0.000443
543.458000,0.000384
543.494000,0.000399
543.621000,0.000477
543.797000,0.000003
544.938000,0.000207
545.371000,0.000120
546.129000,0.000010
546.455000,0.000278
546.683000,0.000246
547.635000,0.000697
547.714000,0.000892
550.728000,0.000001
550.733000,0.000002
552.920000,0.000004
553.816000,0.000003
554.326000,0.000003
554.352000,0.000005
555.095000,0.000003
555.118000,0.000003
555.318000,0.000003
557.108000,0.000004
557.183000,0.000005
557.671000,0.000003
557.758000,0.000005
558.311000,0.000007
558.320000,0.000006
558.337000,0.000003
562.378000,0.000003
562.460000,0.000004
