# E,I
524.791000,0.000589
524.891334,0.000610
524.991669,0.000633
525.092003,0.000656
525.192338,0.000681
525.292672,0.000707
525.393007,0.000734
525.493341,0.000763
525.593676,0.000794
525.694010,0.000826
525.794344,0.000860
525.894679,0.000897
525.995013,0.000936
526.095348,0.000977
526.195682,0.001021
526.296017,0.001068
526.396351,0.001118
526.496686,0.001173
526.597020,0.001231
526.697355,0.001293
526.797689,0.001361
526.898023,0.001434
526.998358,0.001513
527.098692,0.001600
527.199027,0.001694
527.299361,0.001798
527.399696,0.001912
527.500030,0.002037
527.600365,0.002177
527.700699,0.002332
527.801033,0.002506
527.901368,0.002703
528.001702,0.002925
528.102037,0.003180
528.202371,0.003474
528.302706,0.003816
528.403040,0.004220
528.503375,0.004704
528.603709,0.005296
528.704043,0.006039
528.804378,0.007006
528.904712,0.008323
529.005047,0.010210
529.105381,0.013047
529.205716,0.017446
529.306050,0.024323
529.406385,0.034893
529.506719,0.050521
529.607054,0.072366
529.707388,0.100852
529.807722,0.135137
529.908057,0.172857
530.008391,0.210401
530.108726,0.243707
530.209060,0.269294
530.309395,0.285028
530.409729,0.290272
530.510064,0.285478
530.610398,0.271618
530.710732,0.249901
530.811067,0.221886
530.911401,0.189758
531.011736,0.156361
531.112070,0.124839
531.212405,0.098001
531.312739,0.077734
531.413074,0.064710
531.513408,0.058421
531.613742,0.057427
531.714077,0.059714
531.814411,0.063077
531.914746,0.065522
532.015080,0.065637
532.115415,0.062845
532.215749,0.057439
532.316084,0.050372
532.416418,0.042899
532.516753,0.036203
532.617087,0.031170
532.717421,0.028356
532.817756,0.028126
532.918090,0.030863
533.018425,0.037168
533.118759,0.047936
533.219094,0.064252
533.319428,0.087074
533.419763,0.116748
533.520097,0.152507
533.620431,0.192204
533.720766,0.232474
533.821100,0.269365
533.921435,0.299207
534.021769,0.319330
534.122104,0.328348
534.222438,0.325988
534.322773,0.312760
534.423107,0.289773
534.523441,0.258782
534.623776,0.222291
534.724110,0.183428
534.824445,0.145483
534.924779,0.111274
535.025114,0.082624
535.125448,0.060177
535.225783,0.043573
535.326117,0.031839
535.426452,0.023792
535.526786,0.018340
535.627120,0.014619
535.727455,0.012017
535.827789,0.010135
535.928124,0.008721
536.028458,0.007621
536.128793,0.006741
536.229127,0.006022
536.329462,0.005423
536.429796,0.004918
536.530130,0.004488
536.630465,0.004120
536.730799,0.003803
536.831134,0.003529
536.931468,0.003293
537.031803,0.003088
537.132137,0.002910
537.232472,0.002753
537.332806,0.002611
537.433140,0.002481
537.533475,0.002359
537.633809,0.002246
537.734144,0.002143
537.834478,0.002054
537.934813,0.001982
538.035147,0.001929
538.135482,0.001894
538.235816,0.001874
538.336151,0.001862
538.436485,0.001847
538.536819,0.001823
538.637154,0.001784
538.737488,0.001730
538.837823,0.001665
538.938157,0.001599
539.038492,0.001545
539.138826,0.001515
539.239161,0.001515
539.339495,0.001550
539.439829,0.001617
539.540164,0.001704
539.640498,0.001797
539.740833,0.001878
539.841167,0.001928
539.941502,0.001936
540.041836,0.001898
540.142171,0.001817
540.242505,0.001706
540.342839,0.001581
540.443174,0.001458
540.543508,0.001352
540.643843,0.001273
540.744177,0.001225
540.844512,0.001205
540.944846,0.001206
541.045181,0.001221
541.145515,0.001241
541.245849,0.001263
541.346184,0.001287
541.446518,0.001320
541.546853,0.001375
541.647187,0.001464
541.747522,0.001596
541.847856,0.001776
541.948191,0.001996
542.048525,0.002238
542.148860,0.002473
542.249194,0.002671
542.349528,0.002800
542.449863,0.002844
542.550197,0.002800
542.650532,0.002684
542.750866,0.002524
542.851201,0.002353
542.951535,0.002199
543.051870,0.002077
543.152204,0.001989
543.252538,0.001924
543.352873,0.001865
543.453207,0.001792
543.553542,0.001694
543.653876,0.001566
543.754211,0.001413
543.854545,0.001248
543.954880,0.001083
544.055214,0.000932
544.155548,0.000803
544.255883,0.000702
544.356217,0.000628
544.456552,0.000578
544.556886,0.000548
544.657221,0.000533
544.757555,0.000525
544.857890,0.000522
544.958224,0.000517
545.058559,0.000510
545.158893,0.000499
545.259227,0.000485
545.359562,0.000468
545.459896,0.000451
545.560231,0.000437
545.660565,0.000428
545.760900,0.000427
545.861234,0.000436
545.961569,0.000456
546.061903,0.000484
546.162237,0.000519
546.262572,0.000557
546.362906,0.000594
546.463241,0.000627
546.563575,0.000653
546.663910,0.000674
546.764244,0.000695
546.864579,0.000722
546.964913,0.000761
547.065247,0.000818
547.165582,0.000894
547.265916,0.000984
547.366251,0.001077
547.466585,0.001159
547.566920,0.001213
547.667254,0.001227
547.767589,0.001195
547.867923,0.001118
547.968258,0.001008
548.068592,0.000877
548.168926,0.000741
548.269261,0.000612
548.369595,0.000499
548.469930,0.000406
548.570264,0.000331
548.670599,0.000274
548.770933,0.000230
548.871268,0.000197
548.971602,0.000172
549.071936,0.000153
549.172271,0.000137
549.272605,0.000125
549.372940,0.000114
549.473274,0.000105
549.573609,0.000098
549.673943,0.000091
549.774278,0.000085
549.874612,0.000080
549.974946,0.000075
550.075281,0.000071
550.175615,0.000067
550.275950,0.000064
550.376284,0.000061
550.476619,0.000058
550.576953,0.000055
550.677288,0.000052
550.777622,0.000049
550.877957,0.000047
550.978291,0.000044
551.078625,0.000042
551.178960,0.000039
551.279294,0.000037
551.379629,0.000035
551.479963,0.000033
551.580298,0.000031
551.680632,0.000029
551.780967,0.000028
551.881301,0.000026
551.981635,0.000025
552.081970,0.000023
552.182304,0.000022
552.282639,0.000021
552.382973,0.000020
552.483308,0.000019
552.583642,0.000018
552.683977,0.000017
552.784311,0.000016
552.884645,0.000015
552.984980,0.000014
553.085314,0.000012
553.185649,0.000011
553.285983,0.000010
553.386318,0.000009
553.486652,0.000009
553.586987,0.000008
553.687321,0.000007
553.787656,0.000007
553.887990,0.000006
553.988324,0.000006
554.088659,0.000005
554.188993,0.000005
554.289328,0.000004
554.389662,0.000003
554.489997,0.000003
554.590331,0.000002
554.690666,0.000001
554.791000,0.000000
