E32,I32,E12,I12
0.000000,0.557081,13.200000,0.278541
2.401000,0.032270,15.601000,0.016135
3.324000,0.015139,16.524000,0.007569
4.054000,0.001296,17.254000,0.000648
5.256000,0.003810,18.456000,0.001905
6.365000,0.010269,19.565000,0.005135
6.698000,0.015804,19.898000,0.007902
7.432000,0.188693,20.632000,0.094346
8.436000,0.030755,21.636000,0.015378
9.097000,0.001947,22.297000,0.000974
9.563000,0.034139,22.763000,0.017069
14.029000,0.010098,27.229000,0.005049
14.182000,0.022359,27.382000,0.011180
14.473000,0.015465,27.673000,0.007733
14.957000,0.039721,28.157000,0.019861
15.551000,0.003746,28.751000,0.001873
16.771000,0.016444,29.971000,0.008222
