Edup,Idup,Eddn,Iddn,Epup,Ipup,Epdn,Ipdn,Eoctup,Ioctup,Eoctdn,Ioctdn
-19.665000,0.000741,1.817000,-2.289231,-15.641000,0.000584,1.817000,-0.131899,-7.820000,1.000000,-7.820000,-1.000000
-18.803000,0.001434,2.567000,-0.701338,-15.316000,0.001019,2.567000,-0.106093,-4.957000,1.991000,-4.957000,-1.991000
-17.898000,0.002223,3.361000,-0.731456,-10.913000,0.004524,3.361000,-0.082460,-6.871000,2.995500,-6.871000,-2.995500
-17.663000,0.001712,9.981000,-0.277773,-10.785000,0.000730,9.981000,-0.001884,-6.934000,3.000000,-6.934000,-3.000000
-17.479000,0.000670,10.901000,-0.077011,-10.192000,0.001457,10.901000,-0.000453,-5.580000,3.000000,-5.580000,-3.000000
-17.247000,0.023567,11.321000,-0.039732,-9.955000,0.000947,11.321000,-0.000797,-5.486000,3.000000,-5.486000,-3.000000
-17.023000,0.010220,11.441000,-0.087254,-9.540000,0.003216,11.441000,-0.001720,-5.090000,3.000000,-5.090000,-3.000000
-16.694000,0.001244,11.674000,-0.114042,-9.139000,0.008182,11.674000,-0.002175,,,,
-16.597000,0.144708,11.767000,-0.092097,-8.542000,0.004873,11.767000,-0.000477,,,,
-16.078000,0.001051,12.417000,-0.038905,-8.357000,0.008062,12.417000,-0.000670,,,,
-15.913000,0.000546,12.632000,-0.115987,-7.548000,0.001257,12.632000,-0.000534,,,,
-15.641000,0.026732,13.227000,-0.031865,-6.946000,0.001954,13.227000,-0.000493,,,,
-15.316000,0.044387,13.289000,-0.053193,-5.866000,0.010577,13.289000,-0.000817,,,,
-15.218000,0.001568,25.401000,-0.002484,-5.058000,0.010526,,,,,,
-12.704000,0.076785,26.834000,-0.001251,-4.823000,0.003429,,,,,,
-11.903000,0.012873,26.851000,-0.001760,-4.650000,0.050177,,,,,,
-11.461000,0.091108,27.020000,-0.006298,-4.162000,0.059475,,,,,,
-10.913000,0.309679,28.396000,-0.001483,-3.690000,0.335752,,,,,,
-10.819000,0.001222,28.398000,-0.001647,-3.653000,0.739206,,,,,,
-10.785000,0.013339,,,-3.187000,0.144745,,,,,,
-10.533000,0.046476,,,-1.905000,2.175717,,,,,,
-10.192000,0.022995,,,-0.500000,0.426981,,,,,,
-10.031000,0.001215,,,0.229000,0.316961,,,,,,
-9.955000,0.014046,,,9.723000,0.000739,,,,,,
-9.816000,0.001607,,,11.501000,0.001045,,,,,,
-9.540000,0.154523,,,,,,,,,,
-9.139000,0.096382,,,,,,,,,,
-9.093000,0.016923,,,,,,,,,,
-8.695000,0.005794,,,,,,,,,,
-8.542000,0.047609,,,,,,,,,,
-8.483000,0.000498,,,,,,,,,,
-8.357000,0.074061,,,,,,,,,,
-8.351000,0.008711,,,,,,,,,,
-7.652000,0.003191,,,,,,,,,,
-7.630000,0.002722,,,,,,,,,,
-7.548000,0.008604,,,,,,,,,,
-6.946000,0.010406,,,,,,,,,,
-6.792000,0.020690,,,,,,,,,,
-5.866000,0.118106,,,,,,,,,,
-5.058000,0.068533,,,,,,,,,,
-4.823000,0.005093,,,,,,,,,,
-4.650000,0.232670,,,,,,,,,,
-4.162000,0.046011,,,,,,,,,,
-3.690000,0.136592,,,,,,,,,,
-3.653000,1.027303,,,,,,,,,,
-3.187000,0.020861,,,,,,,,,,
-1.905000,0.609765,,,,,,,,,,
-0.500000,0.425466,,,,,,,,,,
0.229000,0.596510,,,,,,,,,,
9.723000,0.028791,,,,,,,,,,
11.219000,0.000806,,,,,,,,,,
11.501000,0.053480,,,,,,,,,,
26.876000,0.001014,,,,,,,,,,
