E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-12.000000,0.125075,-0.000000,0.012865,-0.000000,0.077622,-0.077622,0.215562,-0.077622
-11.919732,0.129721,-0.000030,0.013364,-0.000002,0.080277,-0.080277,0.223363,-0.080309
-11.839465,0.134402,-0.000061,0.013882,-0.000005,0.083064,-0.083064,0.231348,-0.083130
-11.759197,0.139083,-0.000092,0.014417,-0.000007,0.085994,-0.085994,0.239494,-0.086093
-11.678930,0.143726,-0.000124,0.014970,-0.000009,0.089077,-0.089077,0.247773,-0.089210
-11.598662,0.148289,-0.000156,0.015540,-0.000012,0.092325,-0.092325,0.256154,-0.092492
-11.518395,0.152724,-0.000189,0.016126,-0.000014,0.095751,-0.095751,0.264602,-0.095954
-11.438127,0.156985,-0.000222,0.016728,-0.000017,0.099371,-0.099371,0.273084,-0.099610
-11.357860,0.161023,-0.000256,0.017344,-0.000019,0.103202,-0.103202,0.281569,-0.103477
-11.277592,0.164795,-0.000290,0.017973,-0.000022,0.107262,-0.107262,0.290030,-0.107574
-11.197324,0.168259,-0.000325,0.018615,-0.000024,0.111573,-0.111573,0.298447,-0.111923
-11.117057,0.171383,-0.000361,0.019268,-0.000027,0.116159,-0.116159,0.306810,-0.116547
-11.036789,0.174139,-0.000397,0.019933,-0.000030,0.121048,-0.121048,0.315120,-0.121475
-10.956522,0.176510,-0.000434,0.020608,-0.000033,0.126273,-0.126273,0.323391,-0.126740
-10.876254,0.178489,-0.000471,0.021295,-0.000036,0.131869,-0.131869,0.331653,-0.132376
-10.795987,0.180077,-0.000509,0.021992,-0.000038,0.137880,-0.137880,0.339949,-0.138427
-10.715719,0.181285,-0.000548,0.022703,-0.000041,0.144353,-0.144353,0.348341,-0.144943
-10.635452,0.182133,-0.000588,0.023426,-0.000044,0.151345,-0.151345,0.356905,-0.151978
-10.555184,0.182646,-0.000628,0.024165,-0.000047,0.158923,-0.158923,0.365734,-0.159598
-10.474916,0.182856,-0.000669,0.024921,-0.000051,0.167161,-0.167161,0.374937,-0.167880
-10.394649,0.182797,-0.000711,0.025695,-0.000054,0.176147,-0.176147,0.384639,-0.176911
-10.314381,0.182508,-0.000753,0.026489,-0.000057,0.185982,-0.185982,0.394978,-0.186792
-10.234114,0.182023,-0.000796,0.027305,-0.000060,0.196781,-0.196781,0.406109,-0.197638
