E,Id,Ip,Ioct,Itot,Ibg
-1.034329,0.002779,0.005629,0.002159,0.010567,nan
-0.982446,0.007846,0.005963,0.002284,0.016092,nan
-0.930563,0.013430,0.006327,0.002411,0.022169,nan
-0.878680,0.019582,0.006726,0.002542,0.028851,nan
-0.826797,0.026353,0.007162,0.002676,0.036191,nan
-0.774914,0.033792,0.007638,0.002814,0.044244,nan
-0.723031,0.041947,0.008157,0.002955,0.053059,nan
-0.671149,0.050861,0.008722,0.003100,0.062683,nan
-0.619266,0.060571,0.009335,0.003248,0.073154,nan
-0.567383,0.071104,0.010000,0.003401,0.084504,nan
-0.515500,0.082476,0.010717,0.003558,0.096750,nan
-0.463617,0.094690,0.011487,0.003718,0.109895,nan
-0.411734,0.107731,0.012312,0.003884,0.123927,nan
-0.359851,0.121568,0.013191,0.004054,0.138813,nan
-0.307968,0.136148,0.014122,0.004229,0.154499,nan
-0.256085,0.151396,0.015105,0.004408,0.170909,nan
-0.204202,0.167217,0.016136,0.004593,0.187946,nan
-0.152319,0.183495,0.017211,0.004783,0.205490,nan
-0.100436,0.200093,0.018326,0.004979,0.223399,nan
-0.048553,0.216858,0.019477,0.005181,0.241515,nan
0.003329,0.233622,0.020657,0.005389,0.259667,nan
0.055212,0.250210,0.021861,0.005603,0.277674,nan
0.107095,0.266442,0.023085,0.005823,0.295349,nan
0.158978,0.282140,0.024322,0.006051,0.312513,nan
0.210861,0.297136,0.025570,0.006285,0.328992,nan
0.262744,0.311278,0.026825,0.006528,0.344631,nan
0.314627,0.324434,0.028086,0.006778,0.359298,nan
0.366510,0.336502,0.029352,0.007036,0.372889,nan
0.418393,0.347409,0.030625,0.007303,0.385337,nan
0.470276,0.357120,0.031910,0.007579,0.396609,nan
0.522159,0.365640,0.033212,0.007864,0.406716,nan
0.574042,0.373009,0.034537,0.008160,0.415706,nan
0.625925,0.379306,0.035894,0.008466,0.423666,nan
0.677807,0.384644,0.037294,0.008782,0.430720,nan
0.729690,0.389165,0.038746,0.009111,0.437022,nan
0.781573,0.393034,0.040260,0.009451,0.442745,nan
0.833456,0.396431,0.041846,0.009804,0.448081,nan
0.885339,0.399543,0.043512,0.010171,0.453227,nan
0.937222,0.402559,0.045265,0.010552,0.458376,nan
0.989105,0.405654,0.047106,0.010948,0.463708,nan
1.040988,0.408987,0.049036,0.011360,0.469384,nan
1.092871,0.412691,0.051052,0.011789,0.475532,nan
1.144754,0.416870,0.053144,0.012236,0.482250,nan
1.196637,0.421589,0.055299,0.012702,0.489591,nan
1.248520,0.426878,0.057501,0.013189,0.497568,nan
1.300403,0.432727,0.059728,0.013697,0.506151,nan
1.352285,0.439089,0.061953,0.014228,0.515269,nan
1.404168,0.445881,0.064148,0.014784,0.524813,nan
1.456051,0.452993,0.066281,0.015366,0.534640,nan
1.507934,0.460291,0.068319,0.015977,0.544587,nan
1.559817,0.467625,0.070227,0.016618,0.554470,nan
1.611700,0.474836,0.071974,0.017292,0.564102,nan
1.663583,0.481768,0.073526,0.018002,0.573296,nan
1.715466,0.488273,0.074856,0.018750,0.581879,nan
1.767349,0.494221,0.075938,0.019540,0.589700,nan
1.819232,0.499507,0.076754,0.020375,0.596636,nan
1.871115,0.504055,0.077289,0.021258,0.602603,nan
1.922998,0.507824,0.077536,0.022195,0.607556,nan
1.974881,0.510812,0.077493,0.023191,0.611496,nan
2.026763,0.513055,0.077167,0.024249,0.614471,nan
2.078646,0.514627,0.076569,0.025378,0.616573,nan
2.130529,0.515638,0.075717,0.026582,0.617937,nan
2.182412,0.516229,0.074636,0.027870,0.618735,nan
2.234295,0.516569,0.073353,0.029250,0.619172,nan
2.286178,0.516846,0.071900,0.030731,0.619476,nan
2.338061,0.517260,0.070311,0.032323,0.619893,nan
2.389944,0.518015,0.068622,0.034036,0.620673,nan
2.441827,0.519314,0.066868,0.035884,0.622067,nan
2.493710,0.521346,0.065085,0.037880,0.624311,nan
2.545593,0.524282,0.063305,0.040038,0.627624,nan
2.597476,0.528265,0.061557,0.042374,0.632197,nan
2.649359,0.533409,0.059869,0.044907,0.638185,nan
2.701241,0.539788,0.058262,0.047654,0.645705,nan
2.753124,0.547438,0.056754,0.050637,0.654830,nan
2.805007,0.556350,0.055358,0.053878,0.665586,nan
2.856890,0.566471,0.054082,0.057400,0.677953,nan
2.908773,0.577707,0.052929,0.061228,0.691863,nan
2.960656,0.589919,0.051897,0.065388,0.707204,nan
3.012539,0.602933,0.050982,0.069909,0.723824,nan
3.064422,0.616540,0.050175,0.074819,0.741534,nan
3.116305,0.630502,0.049464,0.080148,0.760114,nan
3.168188,0.644559,0.048834,0.085927,0.779321,nan
3.220071,0.658439,0.048270,0.092187,0.798896,nan
3.271954,0.671859,0.047755,0.098959,0.818573,nan
