E32,I32,E12,I12
463.200000,0.273893,485.500000,0.136946
463.731000,0.132551,486.031000,0.066275
465.080000,0.100241,487.380000,0.050120
465.765000,0.169102,488.065000,0.084551
467.786000,0.000695,490.086000,0.000348
468.162000,0.019757,490.462000,0.009879
468.496000,0.004397,490.796000,0.002199
470.044000,0.099997,492.344000,0.049999
470.495000,0.042679,492.795000,0.021340
470.658000,0.036156,492.958000,0.018078
471.115000,0.001062,493.415000,0.000531
471.950000,0.010872,494.250000,0.005436
472.167000,0.001977,494.467000,0.000988
472.704000,0.025088,495.004000,0.012544
473.078000,0.011809,495.378000,0.005904
473.815000,0.019549,496.115000,0.009774
474.486000,0.002105,496.786000,0.001053
474.682000,0.009171,496.982000,0.004585
475.788000,0.000341,498.088000,0.000170
476.604000,0.004816,498.904000,0.002408
477.049000,0.003593,499.349000,0.001797
477.212000,0.015707,499.512000,0.007854
478.945000,0.013048,501.245000,0.006524
480.359000,0.000882,502.659000,0.000441
482.029000,0.000390,504.329000,0.000195
