E,I32,I12,Ibg,Itot
445.000000,0.004612,0.000000,0.000000,0.000000
445.183946,0.004797,0.000011,0.000000,0.000197
445.367893,0.004987,0.000022,0.000000,0.000399
445.551839,0.005181,0.000034,0.000000,0.000606
445.735786,0.005382,0.000045,0.000000,0.000818
445.919732,0.005587,0.000057,0.000000,0.001037
446.103679,0.005799,0.000068,0.000000,0.001261
446.287625,0.006016,0.000080,0.000000,0.001491
446.471572,0.006240,0.000092,0.000000,0.001728
446.655518,0.006470,0.000105,0.000000,0.001971
446.839465,0.006706,0.000117,0.000000,0.002221
447.023411,0.006950,0.000129,0.000000,0.002479
447.207358,0.007200,0.000142,0.000000,0.002743
447.391304,0.007459,0.000155,0.000000,0.003016
447.575251,0.007725,0.000168,0.000000,0.003296
447.759197,0.007999,0.000181,0.000000,0.003585
447.943144,0.008282,0.000195,0.000000,0.003882
448.127090,0.008573,0.000208,0.000000,0.004189
448.311037,0.008874,0.000222,0.000000,0.004505
448.494983,0.009185,0.000236,0.000000,0.004831
448.678930,0.009505,0.000250,0.000000,0.005167
448.862876,0.009836,0.000264,0.000000,0.005514
449.046823,0.010179,0.000279,0.000000,0.005873
449.230769,0.010532,0.000294,0.000000,0.006243
449.414716,0.010898,0.000308,0.000000,0.006625
449.598662,0.011277,0.000324,0.000000,0.007021
449.782609,0.011668,0.000339,0.000000,0.007430
449.966555,0.012074,0.000354,0.000000,0.007853
450.150502,0.012494,0.000370,0.000000,0.008291
450.334448,0.012930,0.000386,0.000000,0.008745
450.518395,0.013382,0.000402,0.000000,0.009215
450.702341,0.013851,0.000419,0.000000,0.009702
450.886288,0.014338,0.000435,0.000000,0.010208
451.070234,0.014843,0.000452,0.000000,0.010733
451.254181,0.015369,0.000469,0.000000,0.011278
451.438127,0.015915,0.000487,0.000000,0.011844
451.622074,0.016484,0.000504,0.000000,0.012433
451.806020,0.017076,0.000522,0.000000,0.013046
451.989967,0.017692,0.000541,0.000000,0.013684
452.173913,0.018335,0.000559,0.000000,0.014349
452.357860,0.019006,0.000578,0.000000,0.015041
452.541806,0.019707,0.000597,0.000000,0.015764
452.725753,0.020438,0.000616,0.000000,0.016519
452.909699,0.021204,0.000636,0.000000,0.017307
453.093645,0.022004,0.000656,0.000000,0.018131
453.277592,0.022843,0.000676,0.000000,0.018994
453.461538,0.023722,0.000696,0.000000,0.019898
453.645485,0.024644,0.000717,0.000000,0.020845
453.829431,0.025612,0.000738,0.000000,0.021839
454.013378,0.026630,0.000760,0.000000,0.022883
454.197324,0.027701,0.000781,0.000000,0.023981
454.381271,0.028829,0.000804,0.000000,0.025137
454.565217,0.030019,0.000826,0.000000,0.026354
454.749164,0.031274,0.000849,0.000000,0.027639
454.933110,0.032602,0.000872,0.000000,0.028996
455.117057,0.034006,0.000896,0.000000,0.030431
455.301003,0.035495,0.000920,0.000000,0.031950
455.484950,0.037075,0.000944,0.000000,0.033562
455.668896,0.038754,0.000969,0.000000,0.035274
455.852843,0.040541,0.000994,0.000000,0.037094
456.036789,0.042447,0.001020,0.000000,0.039034
456.220736,0.044482,0.001046,0.000000,0.041105
456.404682,0.046660,0.001072,0.000000,0.043320
456.588629,0.048995,0.001099,0.000000,0.045692
456.772575,0.051503,0.001127,0.000000,0.048240
456.956522,0.054204,0.001154,0.000000,0.050982
457.140468,0.057119,0.001183,0.000000,0.053939
457.324415,0.060273,0.001212,0.000000,0.057136
457.508361,0.063695,0.001241,0.000000,0.060604
457.692308,0.067419,0.001271,0.000000,0.064375
457.876254,0.071484,0.001301,0.000000,0.068489
458.060201,0.075935,0.001332,0.000000,0.072992
458.244147,0.080828,0.001364,0.000000,0.077939
458.428094,0.086229,0.001396,0.000000,0.083397
458.612040,0.092214,0.001428,0.000000,0.089443
458.795987,0.098878,0.001461,0.000000,0.096171
458.979933,0.106337,0.001495,0.000000,0.103698
459.163880,0.114728,0.001530,0.000000,0.112163
459.347826,0.124222,0.001565,0.000000,0.121737
459.531773,0.135030,0.001601,0.000000,0.132630
459.715719,0.147405,0.001637,0.000000,0.145099
459.899666,0.161659,0.001674,0.000000,0.159457
460.083612,0.178167,0.001712,0.000000,0.176079
460.267559,0.197368,0.001750,0.000000,0.195407
460.451505,0.219770,0.001790,0.000000,0.217953
460.635452,0.245937,0.001830,0.000000,0.244281
460.819398,0.276458,0.001871,0.000000,0.274985
461.003344,0.311906,0.001912,0.000000,0.310639
461.187291,0.352766,0.001955,0.000000,0.351731
461.371237,0.399344,0.001998,0.000000,0.398568
461.555184,0.451659,0.002042,0.000000,0.451170
461.739130,0.509335,0.002088,0.000000,0.509158
461.923077,0.571503,0.002134,0.000000,0.571661
462.107023,0.636753,0.002181,0.000000,0.637260
462.290970,0.703139,0.002229,0.000000,0.704002
462.474916,0.768273,0.002278,0.000000,0.769488
462.658863,0.829502,0.002328,0.000000,0.831051
462.842809,0.884145,0.002379,0.000000,0.885998
463.026756,0.929777,0.002431,0.000000,0.931894
463.210702,0.964497,0.002484,0.000000,0.966828
463.394649,0.987143,0.002539,0.000000,0.989633
463.578595,0.997406,0.002594,0.000000,1.000000
463.762542,0.995830,0.002651,0.000000,0.998474
463.946488,0.983692,0.002709,0.000000,0.986338
