Edup,Idup,Eddn,Iddn,Epup,Ipup,Epdn,Ipdn,Eoctup,Ioctup,Eoctdn,Ioctdn
-17.933000,0.001570,-14.601000,-0.005546,-9.212000,0.001656,-8.380000,-0.000634,-8.520000,1.000000,-8.520000,-1.000000
-16.255000,0.001909,-14.250000,-0.002236,-8.422000,0.004791,-7.820000,-0.000754,-5.655000,1.987000,-5.655000,-1.987000
-15.473000,0.030024,-12.611000,-0.005046,-6.561000,0.001862,-7.676000,-0.000966,-7.570000,2.994000,-7.570000,-2.994000
-15.147000,0.001184,-11.767000,-0.000038,-4.324000,0.053257,-5.815000,-0.001816,-7.634000,3.000000,-7.634000,-3.000000
-13.178000,0.003926,-11.742000,-0.000064,-3.987000,0.011300,-4.042000,-0.001587,-6.280000,3.000000,-6.280000,-3.000000
-13.031000,0.002186,-10.931000,-0.023686,-3.695000,0.092618,-3.511000,-0.008167,-6.186000,3.000000,-6.186000,-3.000000
-12.260000,0.051926,-10.759000,-0.004406,-2.779000,0.047621,-3.306000,-0.001449,-5.790000,3.000000,-5.790000,-3.000000
-11.935000,0.009542,-9.893000,-0.000899,-2.273000,0.946005,-3.071000,-0.065312,,,,
-11.833000,0.001996,-9.014000,-0.008283,-1.591000,0.241185,-2.733000,-0.008039,,,,
-11.714000,0.015195,-8.380000,-0.034881,-1.048000,1.595655,-2.140000,-0.480585,,,,
-11.565000,0.024700,-8.197000,-0.005166,2.824000,0.167915,-1.312000,-0.091892,,,,
-11.511000,0.043178,-8.070000,-0.007431,5.487000,0.002240,-1.025000,-0.041205,,,,
-10.664000,0.002500,-7.820000,-0.036605,6.710000,0.006630,-0.650000,-0.296054,,,,
-9.212000,0.115671,-7.676000,-0.040147,7.711000,0.011268,-0.220000,-0.387827,,,,
-8.705000,0.013333,-7.271000,-0.003577,10.123000,0.000574,2.988000,-0.003402,,,,
-8.422000,0.259384,-6.483000,-0.000856,12.333000,0.000581,3.436000,-0.004972,,,,
-7.591000,0.018935,-6.332000,-0.003353,,,3.979000,-0.002576,,,,
-7.198000,0.003723,-5.815000,-0.039051,,,4.215000,-0.108726,,,,
-6.812000,0.004549,-5.088000,-0.004006,,,7.443000,-0.005351,,,,
-6.561000,0.058918,-4.042000,-0.011083,,,7.725000,-0.000840,,,,
-6.261000,0.018149,-3.511000,-0.037640,,,8.498000,-0.007871,,,,
-4.324000,0.464713,-3.306000,-0.017530,,,12.349000,-0.000710,,,,
-3.987000,0.074658,-3.071000,-0.160082,,,13.036000,-0.000507,,,,
-3.695000,0.468783,-2.733000,-0.013104,,,,,,,,
-2.779000,0.071738,-2.602000,-0.001088,,,,,,,,
-2.273000,0.416598,-2.140000,-0.128312,,,,,,,,
-1.591000,0.002629,-1.312000,-0.027112,,,,,,,,
-1.048000,0.815276,-1.025000,-0.059274,,,,,,,,
2.824000,1.194622,-0.650000,-0.407622,,,,,,,,
5.487000,0.014704,-0.220000,-1.092936,,,,,,,,
6.710000,0.162526,2.988000,-0.242062,,,,,,,,
7.711000,0.346642,3.414000,-0.000110,,,,,,,,
10.123000,0.028037,3.436000,-0.020829,,,,,,,,
12.333000,0.039887,3.979000,-0.131827,,,,,,,,
15.237000,0.004816,4.215000,-1.317638,,,,,,,,
16.123000,0.006391,7.400000,-0.038234,,,,,,,,
19.227000,0.002681,7.443000,-0.186763,,,,,,,,
19.850000,0.002612,7.725000,-0.009479,,,,,,,,
20.749000,0.005673,7.886000,-0.033868,,,,,,,,
,,8.293000,-0.000072,,,,,,,,
,,8.498000,-0.289806,,,,,,,,
,,8.764000,-0.051795,,,,,,,,
,,12.349000,-0.048822,,,,,,,,
,,13.036000,-0.038416,,,,,,,,
,,15.246000,-0.004336,,,,,,,,
,,15.249000,-0.000522,,,,,,,,
,,15.581000,-0.006905,,,,,,,,
,,16.141000,-0.004999,,,,,,,,
,,16.470000,-0.004989,,,,,,,,
,,19.914000,-0.000869,,,,,,,,
,,19.937000,-0.004860,,,,,,,,
,,20.841000,-0.008593,,,,,,,,
