E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-12.000000,0.044527,-0.000000,0.001293,-0.000000,0.059958,-0.059958,0.105779,-0.059958
-11.919732,0.045698,-0.000619,0.001371,-0.000031,0.062508,-0.062508,0.109577,-0.063158
-11.839465,0.046497,-0.001296,0.001452,-0.000062,0.065248,-0.065248,0.113196,-0.066606
-11.759197,0.046922,-0.002027,0.001534,-0.000095,0.068202,-0.068202,0.116657,-0.070323
-11.678930,0.046981,-0.002803,0.001619,-0.000128,0.071400,-0.071400,0.119999,-0.074331
-11.598662,0.046696,-0.003613,0.001706,-0.000162,0.074875,-0.074875,0.123277,-0.078651
-11.518395,0.046099,-0.004442,0.001796,-0.000197,0.078670,-0.078670,0.126565,-0.083309
-11.438127,0.045235,-0.005270,0.001888,-0.000232,0.082832,-0.082832,0.129955,-0.088335
-11.357860,0.044157,-0.006079,0.001984,-0.000269,0.087418,-0.087418,0.133559,-0.093766
-11.277592,0.042927,-0.006846,0.002083,-0.000307,0.092496,-0.092496,0.137507,-0.099649
-11.197324,0.041614,-0.007553,0.002186,-0.000345,0.098145,-0.098145,0.141945,-0.106043
-11.117057,0.040289,-0.008181,0.002293,-0.000385,0.104458,-0.104458,0.147041,-0.113024
-11.036789,0.039027,-0.008714,0.002405,-0.000426,0.111544,-0.111544,0.152976,-0.120685
-10.956522,0.037900,-0.009144,0.002521,-0.000468,0.119529,-0.119529,0.159951,-0.129142
-10.876254,0.036980,-0.009466,0.002643,-0.000511,0.128559,-0.128559,0.168183,-0.138537
-10.795987,0.036332,-0.009681,0.002772,-0.000555,0.138802,-0.138802,0.177906,-0.149038
-10.715719,0.036017,-0.009796,0.002908,-0.000601,0.150448,-0.150448,0.189373,-0.160845
-10.635452,0.036089,-0.009825,0.003052,-0.000648,0.163714,-0.163714,0.202855,-0.174187
-10.555184,0.036593,-0.009786,0.003205,-0.000697,0.178842,-0.178842,0.218640,-0.189325
-10.474916,0.037566,-0.009703,0.003368,-0.000748,0.196102,-0.196102,0.237036,-0.206552
-10.394649,0.039036,-0.009601,0.003542,-0.000800,0.215793,-0.215793,0.258371,-0.226194
-10.314381,0.041020,-0.009507,0.003728,-0.000854,0.238242,-0.238242,0.282990,-0.248603
-10.234114,0.043526,-0.009452,0.003927,-0.000911,0.263801,-0.263801,0.311254,-0.274163
-10.153846,0.046553,-0.009462,0.004141,-0.000969,0.292847,-0.292847,0.343540,-0.303278
-10.073579,0.050088,-0.009563,0.004369,-0.001031,0.325780,-0.325780,0.380237,-0.336374
-9.993311,0.054110,-0.009781,0.004612,-0.001095,0.363017,-0.363017,0.421739,-0.373894
-9.913043,0.058585,-0.010136,0.004870,-0.001163,0.404986,-0.404986,0.468441,-0.416285
-9.832776,0.063470,-0.010645,0.005145,-0.001235,0.452118,-0.452118,0.520732,-0.463998
-9.752508,0.068712,-0.011324,0.005434,-0.001310,0.504841,-0.504841,0.578987,-0.517476
-9.672241,0.074248,-0.012184,0.005738,-0.001391,0.563569,-0.563569,0.643554,-0.577143
-9.591973,0.080006,-0.013230,0.006056,-0.001476,0.628686,-0.628686,0.714748,-0.643393
-9.511706,0.085905,-0.014468,0.006386,-0.001567,0.700541,-0.700541,0.792832,-0.716576
-9.431438,0.091858,-0.015896,0.006726,-0.001665,0.779427,-0.779427,0.878012,-0.796988
-9.351171,0.097773,-0.017512,0.007076,-0.001768,0.865570,-0.865570,0.970418,-0.884851
-9.270903,0.103550,-0.019308,0.007431,-0.001879,0.959112,-0.959112,1.070093,-0.980299
