Ed,Id,Ep,Ip,Eoct,Ioct
17.933000,0.000963,9.212000,0.000091,8.520000,0.110392
16.255000,0.001171,8.422000,0.000264,5.655000,0.219349
15.473000,0.018414,8.380000,0.000035,7.570000,0.330514
15.147000,0.000726,7.820000,0.000042,7.634000,0.331176
14.601000,0.003401,7.676000,0.000053,6.280000,0.331176
14.250000,0.001372,6.561000,0.000103,6.186000,0.331176
13.178000,0.002408,5.815000,0.000100,5.790000,0.331176
13.031000,0.001340,4.324000,0.002940,,
12.611000,0.003095,4.042000,0.000088,,
12.260000,0.031846,3.987000,0.000624,,
11.935000,0.005852,3.695000,0.005112,,
11.833000,0.001224,3.511000,0.000451,,
11.714000,0.009319,3.306000,0.000080,,
11.565000,0.015148,3.071000,0.003605,,
11.511000,0.026481,2.779000,0.002628,,
10.931000,0.014502,2.733000,0.000444,,
10.759000,0.002702,2.273000,0.052216,,
10.664000,0.001533,2.140000,0.026526,,
9.893000,0.000551,1.591000,0.013312,,
9.212000,0.070940,1.312000,0.005072,,
9.014000,0.005080,1.048000,0.088074,,
8.705000,0.008177,1.025000,0.002274,,
8.422000,0.159077,0.650000,0.016341,,
8.380000,0.021050,,,,
8.197000,0.002716,,,,
8.070000,0.001934,,,,
7.820000,0.022210,,,,
7.676000,0.024406,,,,
7.591000,0.011613,,,,
7.271000,0.002194,,,,
7.198000,0.002283,,,,
6.812000,0.002790,,,,
6.561000,0.036134,,,,
6.332000,0.000896,,,,
6.261000,0.011130,,,,
5.815000,0.023950,,,,
5.088000,0.002261,,,,
4.324000,0.285004,,,,
4.042000,0.006770,,,,
3.987000,0.045787,,,,
3.695000,0.287500,,,,
3.511000,0.020864,,,,
3.306000,0.002885,,,,
3.071000,0.096483,,,,
2.779000,0.043996,,,,
2.733000,0.006768,,,,
2.273000,0.255495,,,,
2.140000,0.077626,,,,
1.591000,0.001612,,,,
1.312000,0.009854,,,,
1.048000,0.500000,,,,
1.025000,0.013890,,,,
0.650000,0.245105,,,,
