E,Id,Ip,Ioct,Itot,Ibg
-3.000000,0.000000,0.001246,0.000000,0.000000,nan
-2.939799,0.000317,0.001289,0.000036,0.000395,nan
-2.879599,0.000649,0.001333,0.000072,0.000808,nan
-2.819398,0.000996,0.001379,0.000110,0.001240,nan
-2.759197,0.001360,0.001427,0.000148,0.001691,nan
-2.698997,0.001742,0.001478,0.000187,0.002164,nan
-2.638796,0.002144,0.001532,0.000226,0.002659,nan
-2.578595,0.002566,0.001588,0.000267,0.003179,nan
-2.518395,0.003011,0.001648,0.000308,0.003726,nan
-2.458194,0.003480,0.001711,0.000351,0.004301,nan
-2.397993,0.003976,0.001778,0.000394,0.004907,nan
-2.337793,0.004501,0.001848,0.000438,0.005547,nan
-2.277592,0.005058,0.001923,0.000483,0.006225,nan
-2.217391,0.005649,0.002002,0.000529,0.006942,nan
-2.157191,0.006279,0.002087,0.000576,0.007704,nan
-2.096990,0.006951,0.002177,0.000624,0.008516,nan
-2.036789,0.007670,0.002273,0.000673,0.009382,nan
-1.976589,0.008443,0.002377,0.000723,0.010309,nan
-1.916388,0.009274,0.002488,0.000774,0.011304,nan
-1.856187,0.010173,0.002607,0.000827,0.012376,nan
-1.795987,0.011148,0.002737,0.000880,0.013535,nan
-1.735786,0.012210,0.002877,0.000935,0.014794,nan
-1.675585,0.013372,0.003030,0.000992,0.016167,nan
-1.615385,0.014650,0.003197,0.001049,0.017672,nan
-1.555184,0.016063,0.003380,0.001108,0.019329,nan
-1.494983,0.017632,0.003583,0.001168,0.021163,nan
-1.434783,0.019384,0.003807,0.001230,0.023204,nan
-1.374582,0.021351,0.004057,0.001294,0.025487,nan
-1.314381,0.023570,0.004337,0.001358,0.028054,nan
-1.254181,0.026085,0.004653,0.001425,0.030954,nan
-1.193980,0.028947,0.005009,0.001493,0.034245,nan
-1.133779,0.032217,0.005413,0.001563,0.037994,nan
-1.073579,0.035963,0.005873,0.001635,0.042277,nan
-1.013378,0.040264,0.006400,0.001708,0.047184,nan
