E,I
525.007080,0.000459
525.107385,0.000481
525.207690,0.000505
525.307995,0.000531
525.408299,0.000559
525.508604,0.000589
525.608909,0.000621
525.709214,0.000656
525.809519,0.000695
525.909824,0.000737
526.010129,0.000783
526.110433,0.000834
526.210738,0.000890
526.311043,0.000953
526.411348,0.001023
526.511653,0.001101
526.611958,0.001189
526.712263,0.001288
526.812567,0.001402
526.912872,0.001532
527.013177,0.001684
527.113482,0.001861
527.213787,0.002071
527.314092,0.002322
527.414396,0.002630
527.514701,0.003017
527.615006,0.003521
527.715311,0.004217
527.815616,0.005249
527.915921,0.006914
528.016226,0.009780
528.116530,0.014886
528.216835,0.023936
528.317140,0.039405
528.417445,0.064305
528.517750,0.101424
528.618055,0.151960
528.718359,0.213909
528.818664,0.280994
528.918969,0.343040
529.019274,0.388256
529.119579,0.406872
529.219884,0.394616
529.320189,0.354331
529.420493,0.294892
529.520798,0.227991
529.621103,0.164389
529.721408,0.111267
529.821713,0.071465
529.922018,0.044324
530.022323,0.027261
530.122627,0.017227
530.222932,0.011606
530.323237,0.008541
530.423542,0.006877
530.523847,0.005975
530.624152,0.005515
530.724456,0.005356
530.824761,0.005471
530.925066,0.005927
531.025371,0.006903
531.125676,0.008758
531.225981,0.012097
531.326286,0.017832
531.426590,0.027126
531.526895,0.041164
531.627200,0.060674
531.727505,0.085307
531.827810,0.113100
531.928115,0.140422
532.028420,0.162623
532.128724,0.175341
532.229029,0.175978
532.329334,0.164674
532.429639,0.144292
532.529944,0.119460
532.630249,0.095138
532.730553,0.075405
532.830858,0.062818
532.931163,0.058364
533.031468,0.061676
533.131773,0.071247
533.232078,0.084578
533.332383,0.098414
533.432687,0.109261
533.532992,0.114188
533.633297,0.111633
533.733602,0.101851
533.833907,0.086740
533.934212,0.069126
534.034517,0.051823
534.134821,0.036897
534.235126,0.025355
534.335431,0.017252
534.435736,0.012036
534.536041,0.008919
534.636346,0.007149
534.736650,0.006134
534.836955,0.005479
534.937260,0.004965
535.037565,0.004508
535.137870,0.004118
535.238175,0.003855
535.338480,0.003798
535.438784,0.004011
535.539089,0.004520
535.639394,0.005297
535.739699,0.006252
535.840004,0.007250
535.940309,0.008155
536.040613,0.008874
536.140918,0.009413
536.241223,0.009879
536.341528,0.010451
536.441833,0.011300
536.542138,0.012505
536.642443,0.013996
536.742747,0.015552
536.843052,0.016861
536.943357,0.017625
537.043662,0.017669
537.143967,0.017004
537.244272,0.015828
537.344577,0.014438
537.444881,0.013126
537.545186,0.012061
537.645491,0.011252
537.745796,0.010573
537.846101,0.009845
537.946406,0.008931
538.046710,0.007791
538.147015,0.006492
538.247320,0.005163
538.347625,0.003939
538.447930,0.002916
538.548235,0.002136
538.648540,0.001589
538.748844,0.001237
538.849149,0.001032
538.949454,0.000932
539.049759,0.000901
539.150064,0.000909
539.250369,0.000932
539.350674,0.000947
539.450978,0.000940
