E,I32,I12,Ibg,Itot
445.000000,0.004471,0.000749,0.000000,0.005220
445.185274,0.004617,0.000774,0.000000,0.005391
445.370549,0.004769,0.000800,0.000000,0.005569
445.555823,0.004928,0.000827,0.000000,0.005755
445.741098,0.005094,0.000854,0.000000,0.005948
445.926372,0.005267,0.000882,0.000000,0.006149
446.111647,0.005448,0.000912,0.000000,0.006360
446.296921,0.005638,0.000942,0.000000,0.006579
446.482196,0.005836,0.000973,0.000000,0.006809
446.667470,0.006044,0.001005,0.000000,0.007049
446.852745,0.006262,0.001038,0.000000,0.007300
447.038019,0.006491,0.001072,0.000000,0.007563
447.223294,0.006732,0.001107,0.000000,0.007839
447.408568,0.006985,0.001144,0.000000,0.008129
447.593843,0.007251,0.001181,0.000000,0.008433
447.779117,0.007532,0.001220,0.000000,0.008752
447.964392,0.007827,0.001260,0.000000,0.009088
448.149666,0.008139,0.001302,0.000000,0.009441
448.334941,0.008469,0.001345,0.000000,0.009814
448.520215,0.008818,0.001390,0.000000,0.010207
448.705489,0.009187,0.001436,0.000000,0.010623
448.890764,0.009578,0.001484,0.000000,0.011062
449.076038,0.009993,0.001534,0.000000,0.011527
449.261313,0.010434,0.001586,0.000000,0.012019
449.446587,0.010903,0.001639,0.000000,0.012542
449.631862,0.011403,0.001695,0.000000,0.013097
449.817136,0.011936,0.001753,0.000000,0.013688
450.002411,0.012505,0.001813,0.000000,0.014318
450.187685,0.013115,0.001875,0.000000,0.014990
450.372960,0.013768,0.001940,0.000000,0.015708
450.558234,0.014469,0.002008,0.000000,0.016477
450.743509,0.015223,0.002079,0.000000,0.017302
450.928783,0.016036,0.002152,0.000000,0.018188
451.114058,0.016913,0.002229,0.000000,0.019143
451.299332,0.017862,0.002309,0.000000,0.020172
451.484607,0.018891,0.002393,0.000000,0.021284
451.669881,0.020009,0.002481,0.000000,0.022490
451.855155,0.021227,0.002572,0.000000,0.023800
452.040430,0.022558,0.002668,0.000000,0.025226
452.225704,0.024015,0.002768,0.000000,0.026783
452.410979,0.025615,0.002874,0.000000,0.028489
452.596253,0.027379,0.002984,0.000000,0.030363
452.781528,0.029328,0.003100,0.000000,0.032428
452.966802,0.031491,0.003222,0.000000,0.034713
453.152077,0.033901,0.003350,0.000000,0.037250
453.337351,0.036595,0.003484,0.000000,0.040079
453.522626,0.039622,0.003626,0.000000,0.043248
453.707900,0.043039,0.003776,0.000000,0.046815
453.893175,0.046917,0.003934,0.000000,0.050851
454.078449,0.051344,0.004101,0.000000,0.055444
454.263724,0.056427,0.004278,0.000000,0.060704
454.448998,0.062305,0.004465,0.000000,0.066769
454.634273,0.069153,0.004663,0.000000,0.073816
