Edup,Idup,Eddn,Iddn,Epup,Ipup,Epdn,Ipdn,Eoctup,Ioctup,Eoctdn,Ioctdn
-21.593000,0.004989,-21.593000,-0.004989,-8.000000,1.696432,-8.000000,-1.696432,-7.820000,1.000000,-7.820000,-1.000000
-20.927000,0.004857,-20.927000,-0.004857,-6.800000,2.765126,-6.800000,-2.765126,-6.934000,3.000000,-6.934000,-3.000000
-17.060000,0.002024,-17.060000,-0.002024,1.242000,0.233315,1.242000,-0.233315,-5.580000,3.000000,-5.580000,-3.000000
-15.792000,0.001348,-15.792000,-0.001348,3.777000,0.300342,3.777000,-0.300342,-5.486000,3.000000,-5.486000,-3.000000
-8.000000,0.295463,-8.000000,-0.295463,12.542000,0.000433,12.542000,-0.000433,-5.090000,3.000000,-5.090000,-3.000000
-6.800000,0.228177,-6.800000,-0.228177,15.051000,0.001028,15.051000,-0.001028,,,,
1.242000,2.636460,1.242000,-2.636460,16.819000,0.000626,16.819000,-0.000626,,,,
3.777000,1.621821,3.777000,-1.621821,18.931000,0.001120,18.931000,-0.001120,,,,
12.542000,0.038271,12.542000,-0.038271,,,,,,,,
15.051000,0.028858,15.051000,-0.028858,,,,,,,,
16.819000,0.086513,16.819000,-0.086513,,,,,,,,
18.931000,0.044304,18.931000,-0.044304,,,,,,,,
