E,dup,ddn,pup,pdn,octup,octdn,totup,totdn
-12.000000,0.000000,-0.000000,0.014051,-0.014051,0.032223,-0.032223,0.046274,-0.046274
-11.919732,0.000364,-0.000364,0.014682,-0.014682,0.033457,-0.033457,0.048504,-0.048504
-11.839465,0.000747,-0.000747,0.015354,-0.015354,0.034773,-0.034773,0.050874,-0.050874
-11.759197,0.001151,-0.001151,0.016071,-0.016071,0.036179,-0.036179,0.053401,-0.053401
-11.678930,0.001578,-0.001578,0.016836,-0.016836,0.037688,-0.037688,0.056101,-0.056101
-11.598662,0.002028,-0.002028,0.017654,-0.017654,0.039311,-0.039311,0.058994,-0.058994
-11.518395,0.002506,-0.002506,0.018532,-0.018532,0.041064,-0.041064,0.062103,-0.062103
-11.438127,0.003012,-0.003012,0.019477,-0.019477,0.042965,-0.042965,0.065454,-0.065454
-11.357860,0.003550,-0.003550,0.020496,-0.020496,0.045033,-0.045033,0.069079,-0.069079
-11.277592,0.004124,-0.004124,0.021598,-0.021598,0.047292,-0.047292,0.073013,-0.073013
-11.197324,0.004735,-0.004735,0.022795,-0.022795,0.049768,-0.049768,0.077298,-0.077298
-11.117057,0.005389,-0.005389,0.024100,-0.024100,0.052494,-0.052494,0.081984,-0.081984
-11.036789,0.006090,-0.006090,0.025530,-0.025530,0.055506,-0.055506,0.087127,-0.087127
-10.956522,0.006843,-0.006843,0.027105,-0.027105,0.058844,-0.058844,0.092793,-0.092793
-10.876254,0.007654,-0.007654,0.028850,-0.028850,0.062557,-0.062557,0.099061,-0.099061
-10.795987,0.008529,-0.008529,0.030796,-0.030796,0.066696,-0.066696,0.106021,-0.106021
-10.715719,0.009474,-0.009474,0.032980,-0.032980,0.071325,-0.071325,0.113779,-0.113779
-10.635452,0.010499,-0.010499,0.035452,-0.035452,0.076509,-0.076509,0.122461,-0.122461
-10.555184,0.011612,-0.011612,0.038271,-0.038271,0.082327,-0.082327,0.132209,-0.132209
-10.474916,0.012823,-0.012823,0.041511,-0.041511,0.088861,-0.088861,0.143195,-0.143195
-10.394649,0.014142,-0.014142,0.045264,-0.045264,0.096207,-0.096207,0.155613,-0.155613
-10.314381,0.015581,-0.015581,0.049644,-0.049644,0.104465,-0.104465,0.169691,-0.169691
-10.234114,0.017154,-0.017154,0.054789,-0.054789,0.113748,-0.113748,0.185690,-0.185690
-10.153846,0.018872,-0.018872,0.060863,-0.060863,0.124176,-0.124176,0.203911,-0.203911
-10.073579,0.020752,-0.020752,0.068065,-0.068065,0.135876,-0.135876,0.224693,-0.224693
-9.993311,0.022807,-0.022807,0.076625,-0.076625,0.148986,-0.148986,0.248418,-0.248418
-9.913043,0.025051,-0.025051,0.086809,-0.086809,0.163649,-0.163649,0.275508,-0.275508
-9.832776,0.027499,-0.027499,0.098916,-0.098916,0.180013,-0.180013,0.306428,-0.306428
-9.752508,0.030165,-0.030165,0.113279,-0.113279,0.198231,-0.198231,0.341676,-0.341676
-9.672241,0.033061,-0.033061,0.130253,-0.130253,0.218460,-0.218460,0.381774,-0.381774
-9.591973,0.036196,-0.036196,0.150211,-0.150211,0.240856,-0.240856,0.427262,-0.427262
-9.511706,0.039577,-0.039577,0.173527,-0.173527,0.265573,-0.265573,0.478677,-0.478677
-9.431438,0.043208,-0.043208,0.200563,-0.200563,0.292762,-0.292762,0.536533,-0.536533
-9.351171,0.047088,-0.047088,0.231645,-0.231645,0.322565,-0.322565,0.601299,-0.601299
-9.270903,0.051211,-0.051211,0.267046,-0.267046,0.355118,-0.355118,0.673375,-0.673375
-9.190635,0.055564,-0.055564,0.306956,-0.306956,0.390541,-0.390541,0.753061,-0.753061
-9.110368,0.060130,-0.060130,0.351464,-0.351464,0.428940,-0.428940,0.840533,-0.840533
-9.030100,0.064882,-0.064882,0.400538,-0.400538,0.470403,-0.470403,0.935823,-0.935823
-8.949833,0.069789,-0.069789,0.454005,-0.454005,0.515000,-0.515000,1.038794,-1.038794
-8.869565,0.074813,-0.074813,0.511549,-0.511549,0.562775,-0.562775,1.149137,-1.149137
-8.789298,0.079909,-0.079909,0.572707,-0.572707,0.613751,-0.613751,1.266366,-1.266366
-8.709030,0.085028,-0.085028,0.636880,-0.636880,0.667922,-0.667922,1.389831,-1.389831
-8.628763,0.090116,-0.090116,0.703357,-0.703357,0.725262,-0.725262,1.518735,-1.518735
-8.548495,0.095118,-0.095118,0.771338,-0.771338,0.785712,-0.785712,1.652168,-1.652168
-8.468227,0.099975,-0.099975,0.839980,-0.839980,0.849194,-0.849194,1.789148,-1.789148
-8.387960,0.104631,-0.104631,0.908428,-0.908428,0.915601,-0.915601,1.928660,-1.928660
-8.307692,0.109032,-0.109032,0.975866,-0.975866,0.984807,-0.984807,2.069705,-2.069705
-8.227425,0.113128,-0.113128,1.041548,-1.041548,1.056664,-1.056664,2.211340,-2.211340
-8.147157,0.116873,-0.116873,1.104832,-1.104832,1.131008,-1.131008,2.352713,-2.352713
-8.066890,0.120229,-0.120229,1.165192,-1.165192,1.207659,-1.207659,2.493080,-2.493080
-7.986622,0.123165,-0.123165,1.222227,-1.222227,1.286429,-1.286429,2.631821,-2.631821
-7.906355,0.125656,-0.125656,1.275646,-1.275646,1.367120,-1.367120,2.768421,-2.768421
-7.826087,0.127687,-0.127687,1.325242,-1.325242,1.449529,-1.449529,2.902459,-2.902459
-7.745819,0.129251,-0.129251,1.370858,-1.370858,1.533452,-1.533452,3.033561,-3.033561
-7.665552,0.130345,-0.130345,1.412341,-1.412341,1.618682,-1.618682,3.161369,-3.161369
-7.585284,0.130975,-0.130975,1.449499,-1.449499,1.705015,-1.705015,3.285490,-3.285490
-7.505017,0.131150,-0.131150,1.482064,-1.482064,1.792245,-1.792245,3.405460,-3.405460
-7.424749,0.130886,-0.130886,1.509663,-1.509663,1.880164,-1.880164,3.520713,-3.520713
-7.344482,0.130199,-0.130199,1.531809,-1.531809,1.968561,-1.968561,3.630569,-3.630569
-7.264214,0.129108,-0.129108,1.547907,-1.547907,2.057218,-2.057218,3.734234,-3.734234
-7.183946,0.127636,-0.127636,1.557284,-1.557284,2.145905,-2.145905,3.830825,-3.830825
-7.103679,0.125805,-0.125805,1.559232,-1.559232,2.234372,-2.234372,3.919409,-3.919409
-7.023411,0.123639,-0.123639,1.553069,-1.553069,2.322347,-2.322347,3.999055,-3.999055
-6.943144,0.121162,-0.121162,1.538205,-1.538205,2.409527,-2.409527,4.068893,-4.068893
-6.862876,0.118400,-0.118400,1.514208,-1.514208,2.495571,-2.495571,4.128179,-4.128179
-6.782609,0.115380,-0.115380,1.480867,-1.480867,2.580098,-2.580098,4.176345,-4.176345
-6.702341,0.112130,-0.112130,1.438238,-1.438238,2.662676,-2.662676,4.213044,-4.213044
-6.622074,0.108682,-0.108682,1.386672,-1.386672,2.742824,-2.742824,4.238178,-4.238178
-6.541806,0.105066,-0.105066,1.326823,-1.326823,2.820009,-2.820009,4.251899,-4.251899
-6.461538,0.101317,-0.101317,1.259633,-1.259633,2.893647,-2.893647,4.254597,-4.254597
-6.381271,0.097469,-0.097469,1.186291,-1.186291,2.963104,-2.963104,4.246864,-4.246864
-6.301003,0.093558,-0.093558,1.108183,-1.108183,3.027707,-3.027707,4.229447,-4.229447
-6.220736,0.089621,-0.089621,1.026817,-1.026817,3.086749,-3.086749,4.203188,-4.203188
-6.140468,0.085694,-0.085694,0.943757,-0.943757,3.139506,-3.139506,4.168958,-4.168958
-6.060201,0.081813,-0.081813,0.860544,-0.860544,3.185244,-3.185244,4.127601,-4.127601
-5.979933,0.078011,-0.078011,0.778625,-0.778625,3.223243,-3.223243,4.079879,-4.079879
-5.899666,0.074319,-0.074319,0.699299,-0.699299,3.252812,-3.252812,4.026430,-4.026430
-5.819398,0.070765,-0.070765,0.623670,-0.623670,3.273309,-3.273309,3.967744,-3.967744
-5.739130,0.067374,-0.067374,0.552619,-0.552619,3.284159,-3.284159,3.904153,-3.904153
-5.658863,0.064167,-0.064167,0.486792,-0.486792,3.284876,-3.284876,3.835835,-3.835835
-5.578595,0.061160,-0.061160,0.426599,-0.426599,3.275079,-3.275079,3.762839,-3.762839
-5.498328,0.058366,-0.058366,0.372234,-0.372234,3.254509,-3.254509,3.685109,-3.685109
-5.418060,0.055793,-0.055793,0.323697,-0.323697,3.223039,-3.223039,3.602528,-3.602528
-5.337793,0.053445,-0.053445,0.280823,-0.280823,3.180688,-3.180688,3.514956,-3.514956
-5.257525,0.051324,-0.051324,0.243322,-0.243322,3.127625,-3.127625,3.422272,-3.422272
-5.177258,0.049429,-0.049429,0.210810,-0.210810,3.064170,-3.064170,3.324409,-3.324409
-5.096990,0.047753,-0.047753,0.182843,-0.182843,2.990791,-2.990791,3.221387,-3.221387
-5.016722,0.046293,-0.046293,0.158945,-0.158945,2.908100,-2.908100,3.113338,-3.113338
-4.936455,0.045038,-0.045038,0.138636,-0.138636,2.816838,-2.816838,3.000512,-3.000512
-4.856187,0.043982,-0.043982,0.121451,-0.121451,2.717862,-2.717862,2.883294,-2.883294
-4.775920,0.043113,-0.043113,0.106949,-0.106949,2.612128,-2.612128,2.762190,-2.762190
-4.695652,0.042422,-0.042422,0.094729,-0.094729,2.500671,-2.500671,2.637822,-2.637822
-4.615385,0.041901,-0.041901,0.084431,-0.084431,2.384581,-2.384581,2.510913,-2.510913
-4.535117,0.041538,-0.041538,0.075742,-0.075742,2.264980,-2.264980,2.382260,-2.382260
-4.454849,0.041326,-0.041326,0.068389,-0.068389,2.143000,-2.143000,2.252715,-2.252715
-4.374582,0.041256,-0.041256,0.062143,-0.062143,2.019760,-2.019760,2.123159,-2.123159
-4.294314,0.041322,-0.041322,0.056810,-0.056810,1.896343,-1.896343,1.994475,-1.994475
-4.214047,0.041515,-0.041515,0.052232,-0.052232,1.773780,-1.773780,1.867528,-1.867528
-4.133779,0.041832,-0.041832,0.048276,-0.048276,1.653030,-1.653030,1.743137,-1.743137
-4.053512,0.042267,-0.042267,0.044836,-0.044836,1.534964,-1.534964,1.622066,-1.622066
