E,Id,Ip,Ioct,Itot,Ibg
-1.969896,0.000000,0.000000,0.000000,0.000000,nan
-1.919728,0.000001,0.000010,0.000052,0.000063,nan
-1.869561,0.000002,0.000019,0.000106,0.000127,nan
-1.819394,0.000003,0.000029,0.000161,0.000193,nan
-1.769227,0.000004,0.000039,0.000217,0.000260,nan
-1.719059,0.000006,0.000049,0.000274,0.000329,nan
-1.668892,0.000007,0.000060,0.000332,0.000399,nan
-1.618725,0.000008,0.000070,0.000392,0.000471,nan
-1.568558,0.000009,0.000081,0.000453,0.000544,nan
-1.518391,0.000010,0.000092,0.000516,0.000619,nan
-1.468223,0.000012,0.000103,0.000580,0.000695,nan
-1.418056,0.000013,0.000115,0.000646,0.000773,nan
-1.367889,0.000014,0.000126,0.000713,0.000853,nan
-1.317722,0.000016,0.000138,0.000782,0.000935,nan
-1.267554,0.000017,0.000150,0.000852,0.001019,nan
-1.217387,0.000018,0.000162,0.000924,0.001104,nan
-1.167220,0.000020,0.000174,0.000998,0.001192,nan
-1.117053,0.000021,0.000187,0.001074,0.001282,nan
-1.066886,0.000023,0.000200,0.001151,0.001374,nan
-1.016718,0.000024,0.000213,0.001231,0.001468,nan
-0.966551,0.000026,0.000227,0.001313,0.001565,nan
-0.916384,0.000027,0.000240,0.001396,0.001664,nan
-0.866217,0.000029,0.000254,0.001482,0.001765,nan
-0.816049,0.000030,0.000268,0.001571,0.001869,nan
-0.765882,0.000032,0.000283,0.001661,0.001976,nan
-0.715715,0.000034,0.000298,0.001754,0.002086,nan
-0.665548,0.000035,0.000313,0.001850,0.002198,nan
-0.615381,0.000037,0.000328,0.001948,0.002313,nan
-0.565213,0.000039,0.000344,0.002049,0.002432,nan
-0.515046,0.000041,0.000360,0.002153,0.002554,nan
-0.464879,0.000043,0.000376,0.002260,0.002679,nan
-0.414712,0.000044,0.000393,0.002370,0.002807,nan
-0.364544,0.000046,0.000410,0.002484,0.002940,nan
-0.314377,0.000048,0.000427,0.002600,0.003076,nan
-0.264210,0.000050,0.000445,0.002721,0.003216,nan
-0.214043,0.000052,0.000463,0.002845,0.003360,nan
-0.163876,0.000054,0.000481,0.002973,0.003508,nan
-0.113708,0.000057,0.000500,0.003105,0.003661,nan
-0.063541,0.000059,0.000519,0.003241,0.003819,nan
-0.013374,0.000061,0.000539,0.003382,0.003982,nan
0.036793,0.000063,0.000559,0.003527,0.004150,nan
0.086961,0.000065,0.000580,0.003678,0.004323,nan
0.137128,0.000068,0.000601,0.003834,0.004502,nan
0.187295,0.000070,0.000622,0.003995,0.004688,nan
0.237462,0.000073,0.000644,0.004162,0.004879,nan
0.287630,0.000075,0.000667,0.004335,0.005078,nan
0.337797,0.000078,0.000690,0.004515,0.005283,nan
0.387964,0.000080,0.000714,0.004702,0.005496,nan
