E,I
525.018616,0.002464
525.118876,0.002546
525.219137,0.002631
525.319397,0.002720
525.419658,0.002814
525.519918,0.002912
525.620179,0.003015
525.720440,0.003123
525.820700,0.003236
525.920961,0.003355
526.021221,0.003480
526.121482,0.003612
526.221742,0.003752
526.322003,0.003899
526.422263,0.004054
526.522524,0.004219
526.622785,0.004393
526.723045,0.004578
526.823306,0.004775
526.923566,0.004985
527.023827,0.005208
527.124087,0.005447
527.224348,0.005703
527.324608,0.005977
527.424869,0.006271
527.525130,0.006588
527.625390,0.006930
527.725651,0.007301
527.825911,0.007703
527.926172,0.008140
528.026432,0.008618
528.126693,0.009141
528.226953,0.009717
528.327214,0.010352
528.427475,0.011057
528.527735,0.011843
528.627996,0.012724
528.728256,0.013717
528.828517,0.014845
528.928777,0.016135
529.029038,0.017624
529.129298,0.019359
529.229559,0.021404
529.329819,0.023846
529.430080,0.026807
529.530341,0.030455
529.630601,0.035033
529.730862,0.040883
529.831122,0.048478
529.931383,0.058445
530.031643,0.071562
530.131904,0.088686
530.232164,0.110595
530.332425,0.137704
530.432686,0.169714
530.532946,0.205263
530.633207,0.241757
530.733467,0.275548
530.833728,0.302504
530.933988,0.318919
531.034249,0.322449
531.134509,0.312777
531.234770,0.291701
531.335031,0.262647
531.435291,0.229776
531.535552,0.197041
531.635812,0.167485
531.736073,0.142947
531.836333,0.124143
531.936594,0.110980
532.036854,0.102921
532.137115,0.099304
532.237376,0.099540
532.337636,0.103198
532.437897,0.110013
532.538157,0.119830
532.638418,0.132524
532.738678,0.147896
532.838939,0.165567
532.939199,0.184881
533.039460,0.204849
533.139720,0.224165
533.239981,0.241298
533.340242,0.254681
533.440502,0.262946
533.540763,0.265164
533.641023,0.261024
533.741284,0.250889
533.841544,0.235719
533.941805,0.216887
534.042065,0.195933
534.142326,0.174323
534.242587,0.153275
534.342847,0.133663
534.443108,0.116005
534.543368,0.100516
534.643629,0.087182
534.743889,0.075845
534.844150,0.066275
534.944410,0.058221
535.044671,0.051438
535.144932,0.045709
535.245192,0.040848
535.345453,0.036702
535.445713,0.033144
535.545974,0.030073
535.646234,0.027406
535.746495,0.025076
535.846755,0.023030
535.947016,0.021224
536.047277,0.019622
536.147537,0.018194
536.247798,0.016917
536.348058,0.015769
536.448319,0.014734
536.548579,0.013797
536.648840,0.012946
536.749100,0.012171
536.849361,0.011464
536.949622,0.010816
537.049882,0.010221
537.150143,0.009674
537.250403,0.009169
537.350664,0.008702
537.450924,0.008269
537.551185,0.007868
537.651445,0.007495
537.751706,0.007147
537.851966,0.006823
537.952227,0.006520
538.052488,0.006237
538.152748,0.005971
538.253009,0.005722
538.353269,0.005488
538.453530,0.005268
538.553790,0.005061
