E,I32,I12,Ibg,Itot
-7.342500,0.025697,0.000000,0.000000,0.000000
-7.234210,0.026883,0.000037,0.000000,0.001254
-7.125920,0.028118,0.000074,0.000000,0.002560
-7.017630,0.029406,0.000112,0.000000,0.003921
-6.909340,0.030751,0.000150,0.000000,0.005341
-6.801050,0.032157,0.000189,0.000000,0.006823
-6.692760,0.033625,0.000228,0.000000,0.008371
-6.584470,0.035162,0.000268,0.000000,0.009989
-6.476180,0.036771,0.000309,0.000000,0.011682
-6.367890,0.038457,0.000350,0.000000,0.013455
-6.259600,0.040225,0.000391,0.000000,0.015313
-6.151310,0.042081,0.000434,0.000000,0.017261
-6.043020,0.044032,0.000477,0.000000,0.019307
-5.934729,0.046083,0.000520,0.000000,0.021457
-5.826439,0.048242,0.000565,0.000000,0.023719
-5.718149,0.050517,0.000610,0.000000,0.026100
-5.609859,0.052917,0.000655,0.000000,0.028611
-5.501569,0.055452,0.000702,0.000000,0.031260
-5.393279,0.058132,0.000749,0.000000,0.034059
-5.284989,0.060969,0.000797,0.000000,0.037020
-5.176699,0.063976,0.000845,0.000000,0.040156
-5.068409,0.067167,0.000895,0.000000,0.043481
-4.960119,0.070557,0.000945,0.000000,0.047012
-4.851829,0.074164,0.000996,0.000000,0.050767
-4.743539,0.078008,0.001047,0.000000,0.054766
-4.635249,0.082110,0.001100,0.000000,0.059030
-4.526959,0.086494,0.001153,0.000000,0.063584
-4.418669,0.091187,0.001208,0.000000,0.068456
-4.310379,0.096218,0.001263,0.000000,0.073677
-4.202089,0.101621,0.001319,0.000000,0.079280
-4.093799,0.107434,0.001376,0.000000,0.085304
-3.985509,0.113698,0.001434,0.000000,0.091793
-3.877219,0.120460,0.001493,0.000000,0.098794
-3.768929,0.127773,0.001553,0.000000,0.106362
-3.660639,0.135696,0.001614,0.000000,0.114556
-3.552349,0.144294,0.001676,0.000000,0.123445
-3.444059,0.153641,0.001739,0.000000,0.133104
-3.335769,0.163818,0.001804,0.000000,0.143615
-3.227478,0.174915,0.001869,0.000000,0.155071
-3.119188,0.187030,0.001936,0.000000,0.167574
-3.010898,0.200271,0.002003,0.000000,0.181234
-2.902608,0.214754,0.002072,0.000000,0.196170
-2.794318,0.230602,0.002142,0.000000,0.212507
-2.686028,0.247943,0.002214,0.000000,0.230380
-2.577738,0.266911,0.002287,0.000000,0.249922
-2.469448,0.287636,0.002361,0.000000,0.271270
-2.361158,0.310245,0.002436,0.000000,0.294553
-2.252868,0.334855,0.002513,0.000000,0.319891
-2.144578,0.361560,0.002591,0.000000,0.347381
-2.036288,0.390430,0.002671,0.000000,0.377094
-1.927998,0.421497,0.002753,0.000000,0.409064
-1.819708,0.454744,0.002835,0.000000,0.443273
-1.711418,0.490096,0.002920,0.000000,0.479644
-1.603128,0.527405,0.003006,0.000000,0.518026
-1.494838,0.566447,0.003094,0.000000,0.558188
-1.386548,0.606911,0.003184,0.000000,0.599811
-1.278258,0.648393,0.003275,0.000000,0.642481
-1.169968,0.690400,0.003368,0.000000,0.685691
-1.061678,0.732351,0.003463,0.000000,0.728847
-0.953388,0.773592,0.003560,0.000000,0.771275
-0.845098,0.813408,0.003659,0.000000,0.812242
-0.736808,0.851045,0.003760,0.000000,0.850976
-0.628518,0.885739,0.003864,0.000000,0.886691
-0.520227,0.916743,0.003969,0.000000,0.918621
-0.411937,0.943361,0.004077,0.000000,0.946051
-0.303647,0.964977,0.004187,0.000000,0.968350
-0.195357,0.981087,0.004299,0.000000,0.985000
-0.087067,0.991322,0.004414,0.000000,0.995623
0.021223,0.995469,0.004531,0.000000,1.000000
0.129513,0.993479,0.004651,0.000000,0.998080
0.237803,0.985471,0.004774,0.000000,0.989988
0.346093,0.971728,0.004899,0.000000,0.976011
0.454383,0.952678,0.005027,0.000000,0.956590
0.562673,0.928874,0.005158,0.000000,0.932293
0.670963,0.900969,0.005293,0.000000,0.903790
0.779253,0.869682,0.005430,0.000000,0.871819
0.887543,0.835768,0.005571,0.000000,0.837154
0.995833,0.799985,0.005715,0.000000,0.800575
1.104123,0.763065,0.005862,0.000000,0.762833
1.212413,0.725694,0.006013,0.000000,0.724631
1.320703,0.688486,0.006168,0.000000,0.686600
1.428993,0.651974,0.006326,0.000000,0.649288
1.537283,0.616600,0.006489,0.000000,0.613148
1.645573,0.582715,0.006655,0.000000,0.578540
1.753863,0.550578,0.006826,0.000000,0.545731
1.862153,0.520366,0.007002,0.000000,0.514902
1.970443,0.492179,0.007181,0.000000,0.486156
2.078733,0.466053,0.007366,0.000000,0.459530
2.187024,0.441973,0.007555,0.000000,0.435010
2.295314,0.419881,0.007750,0.000000,0.412535
2.403604,0.399689,0.007950,0.000000,0.392015
2.511894,0.381290,0.008155,0.000000,0.373341
2.620184,0.364563,0.008366,0.000000,0.356390
2.728474,0.349385,0.008583,0.000000,0.341034
2.836764,0.335631,0.008806,0.000000,0.327147
2.945054,0.323184,0.009035,0.000000,0.314607
3.053344,0.311933,0.009271,0.000000,0.303301
3.161634,0.301776,0.009514,0.000000,0.293126
3.269924,0.292623,0.009765,0.000000,0.283988
3.378214,0.284394,0.010022,0.000000,0.275806
3.486504,0.277018,0.010288,0.000000,0.268508
3.594794,0.270435,0.010561,0.000000,0.262032
3.703084,0.264591,0.010844,0.000000,0.256324
