Ed,Id,Ep,Ip,Eoct,Ioct
19.665000,0.000361,15.641000,0.000014,7.820000,0.048671
18.803000,0.000698,15.316000,0.000025,4.957000,0.096904
17.898000,0.001082,10.913000,0.000110,6.871000,0.145794
17.663000,0.000833,10.785000,0.000018,6.934000,0.146013
17.479000,0.000326,10.192000,0.000035,5.580000,0.146013
17.247000,0.011470,9.955000,0.000023,5.486000,0.146013
17.023000,0.004974,9.540000,0.000078,5.090000,0.146013
16.694000,0.000605,9.139000,0.000199,,
16.597000,0.070431,8.542000,0.000119,,
16.078000,0.000511,8.357000,0.000196,,
15.913000,0.000266,7.548000,0.000031,,
15.641000,0.013011,6.946000,0.000048,,
15.316000,0.021604,5.866000,0.000257,,
15.218000,0.000763,5.058000,0.000256,,
12.704000,0.037372,4.823000,0.000083,,
11.903000,0.006265,4.650000,0.001221,,
11.461000,0.044343,4.162000,0.001447,,
10.913000,0.150724,3.690000,0.008171,,
10.819000,0.000595,3.653000,0.017989,,
10.785000,0.006492,3.187000,0.003522,,
10.533000,0.022620,1.905000,0.052947,,
10.192000,0.011192,0.500000,0.010391,,
10.031000,0.000591,,,,
9.955000,0.006837,,,,
9.816000,0.000782,,,,
9.540000,0.075208,,,,
9.139000,0.046910,,,,
9.093000,0.008236,,,,
8.695000,0.002820,,,,
8.542000,0.023172,,,,
8.483000,0.000242,,,,
8.357000,0.036046,,,,
8.351000,0.004240,,,,
7.652000,0.001553,,,,
7.630000,0.001325,,,,
7.548000,0.004187,,,,
6.946000,0.005065,,,,
6.792000,0.010070,,,,
5.866000,0.057484,,,,
5.058000,0.033356,,,,
4.823000,0.002479,,,,
4.650000,0.113243,,,,
4.162000,0.022394,,,,
3.690000,0.066481,,,,
3.653000,0.500000,,,,
3.187000,0.010153,,,,
1.905000,0.296779,,,,
0.500000,0.207079,,,,
