E,I
520.076000,0.000933
520.192809,0.000962
520.309619,0.000993
520.426428,0.001025
520.543237,0.001058
520.660047,0.001093
520.776856,0.001129
520.893666,0.001167
521.010475,0.001207
521.127284,0.001249
521.244094,0.001293
521.360903,0.001338
521.477712,0.001387
521.594522,0.001437
521.711331,0.001490
521.828140,0.001546
521.944950,0.001605
522.061759,0.001668
522.178569,0.001733
522.295378,0.001803
522.412187,0.001876
522.528997,0.001954
522.645806,0.002037
522.762615,0.002125
522.879425,0.002219
522.996234,0.002318
523.113043,0.002425
523.229853,0.002539
523.346662,0.002661
523.463472,0.002792
523.580281,0.002932
523.697090,0.003084
523.813900,0.003248
523.930709,0.003425
524.047518,0.003618
524.164328,0.003828
524.281137,0.004057
524.397946,0.004307
524.514756,0.004583
524.631565,0.004887
524.748375,0.005225
524.865184,0.005600
524.981993,0.006021
525.098803,0.006494
525.215612,0.007030
525.332421,0.007643
525.449231,0.008348
525.566040,0.009168
525.682849,0.010132
525.799659,0.011280
525.916468,0.012665
526.033278,0.014362
526.150087,0.016470
526.266896,0.019122
526.383706,0.022491
526.500515,0.026793
526.617324,0.032277
526.734134,0.039214
526.850943,0.047858
526.967753,0.058391
527.084562,0.070855
527.201371,0.085083
527.318181,0.100632
527.434990,0.116770
527.551799,0.132506
527.668609,0.146692
527.785418,0.158186
527.902227,0.166039
528.019037,0.169673
528.135846,0.168999
528.252656,0.164450
528.369465,0.156902
528.486274,0.147526
528.603084,0.137582
528.719893,0.128217
528.836702,0.120309
528.953512,0.114376
529.070321,0.110561
529.187130,0.108684
529.303940,0.108331
529.420749,0.108969
529.537559,0.110046
529.654368,0.111075
529.771177,0.111681
529.887987,0.111621
530.004796,0.110773
530.121605,0.109115
530.238415,0.106691
530.355224,0.103578
530.472033,0.099870
530.588843,0.095655
530.705652,0.091011
530.822462,0.086008
530.939271,0.080704
531.056080,0.075158
531.172890,0.069433
531.289699,0.063602
531.406508,0.057754
531.523318,0.051985
531.640127,0.046401
531.756936,0.041100
531.873746,0.036171
531.990555,0.031677
532.107365,0.027658
532.224174,0.024125
532.340983,0.021064
532.457793,0.018443
532.574602,0.016219
532.691411,0.014341
532.808221,0.012758
532.925030,0.011423
533.041839,0.010293
533.158649,0.009332
533.275458,0.008509
533.392268,0.007800
533.509077,0.007184
533.625886,0.006646
533.742696,0.006174
533.859505,0.005756
533.976314,0.005384
534.093124,0.005052
534.209933,0.004755
534.326742,0.004487
534.443552,0.004246
534.560361,0.004028
534.677171,0.003830
534.793980,0.003651
534.910789,0.003489
535.027599,0.003342
535.144408,0.003209
535.261217,0.003089
535.378027,0.002981
535.494836,0.002884
535.611645,0.002799
535.728455,0.002724
535.845264,0.002659
535.962074,0.002605
536.078883,0.002560
536.195692,0.002525
536.312502,0.002500
536.429311,0.002484
536.546120,0.002477
536.662930,0.002479
536.779739,0.002488
536.896548,0.002504
537.013358,0.002525
537.130167,0.002551
537.246977,0.002581
537.363786,0.002612
537.480595,0.002644
537.597405,0.002676
537.714214,0.002708
537.831023,0.002739
537.947833,0.002770
538.064642,0.002800
538.181452,0.002830
538.298261,0.002859
538.415070,0.002888
538.531880,0.002915
538.648689,0.002939
538.765498,0.002959
538.882308,0.002973
538.999117,0.002979
539.115926,0.002974
539.232736,0.002959
539.349545,0.002931
539.466355,0.002890
539.583164,0.002837
539.699973,0.002772
539.816783,0.002698
539.933592,0.002614
540.050401,0.002525
540.167211,0.002430
540.284020,0.002333
540.400829,0.002234
540.517639,0.002135
540.634448,0.002038
540.751258,0.001941
